response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1048,0.0957,0.0955,0.0001,0.0073,0.0003,200,0.0026
0.1057,0.0955,0.0919,0.0001,0.0065,0.0001,200,0.0027
0.1072,0.0968,0.0957,0.0002,0.0092,0.0000,200,0.0026
0.1071,0.1009,0.0928,0.0001,0.0022,0.0000,200,0.0028
0.1100,0.0936,0.0926,0.0001,0.0095,0.0029,200,0.0028
0.1103,0.0969,0.0943,0.0000,0.0080,0.0030,200,0.0027
0.1104,0.0966,0.0941,0.0016,0.0072,0.0030,200,0.0026
0.1121,0.0000,0.0957,0.0000,0.0016,0.0001,200,0.0025
0.1305,0.0953,0.0938,0.0002,0.0327,0.0001,200,0.0026
0.1374,0.0941,0.0924,0.0001,0.0394,0.0001,200,0.0028
0.1426,0.0948,0.0922,0.0000,0.0440,0.0000,200,0.0027
0.1452,0.0968,0.0964,0.0000,0.0459,0.0001,200,0.0027
0.1555,0.0950,0.0936,0.0001,0.0561,0.0000,200,0.0027
0.1624,0.0000,0.0956,0.0000,0.0502,0.0001,200,0.0026
0.1625,0.0000,0.0957,0.0028,0.0524,0.0000,200,0.0025
0.1636,0.0970,0.0956,0.0008,0.0650,0.0000,200,0.0025
0.1637,0.1211,0.0955,0.0001,0.0413,0.0000,200,0.0026
0.1637,0.0959,0.0930,0.0001,0.0637,0.0000,200,0.0028
0.1656,0.0000,0.0956,0.0028,0.0554,0.0000,200,0.0025
0.1660,0.0000,0.0956,0.0000,0.0554,0.0000,200,0.0026
0.1672,0.1337,0.0940,0.0000,0.0315,0.0001,200,0.0026
0.1681,0.0966,0.0943,0.0018,0.0682,0.0001,200,0.0026
0.1707,0.0000,0.0919,0.0000,0.0274,0.0005,200,0.0027
0.1711,0.0938,0.0925,0.0002,0.0733,0.0000,200,0.0028
0.0266,0.0000,0.0000,0.0000,0.0093,0.0000,200,0.1479
0.1723,0.0000,0.0956,0.0000,0.0609,0.0009,200,0.0026
0.1721,0.0950,0.0932,0.0111,0.0619,0.0000,200,0.0029
0.0089,0.0000,0.0000,0.0000,0.0072,0.0000,200,0.1665
0.0059,0.0000,0.0000,0.0000,0.0058,0.0001,200,0.1707
0.1743,0.0000,0.0957,0.0031,0.0637,0.0000,200,0.0025
0.1823,0.0000,0.0943,0.0000,0.0515,0.0002,200,0.0026
0.0100,0.0000,0.0000,0.0002,0.0097,0.0001,200,0.1754
0.1850,0.1252,0.0932,0.0001,0.0556,0.0001,200,0.0029
0.1852,0.0000,0.0931,0.0000,0.0347,0.0001,200,0.0029
0.1859,0.0958,0.0931,0.0001,0.0857,0.0004,200,0.0029
0.1862,0.1305,0.0926,0.0000,0.0519,0.0000,200,0.0028
