response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1168,0.1121,0.1117,0.0000,0.0046,0.0001,200,0.0024
0.1170,0.1129,0.1124,0.0001,0.0040,0.0000,200,0.0023
0.1177,0.1119,0.1118,0.0001,0.0057,0.0001,200,0.0025
0.1190,0.0000,0.1117,0.0000,0.0017,0.0000,200,0.0021
0.1204,0.0000,0.1123,0.0000,0.0015,0.0000,200,0.0023
0.1670,0.0000,0.1124,0.0000,0.0489,0.0001,200,0.0023
0.0489,0.0000,0.0000,0.0000,0.0023,0.0000,200,0.1227
0.1734,0.1124,0.1122,0.0000,0.0608,0.0001,200,0.0021
0.0024,0.0000,0.0000,0.0000,0.0023,0.0001,200,0.1755
0.1771,0.1128,0.1116,0.0002,0.0640,0.0000,200,0.0024
0.0019,0.0000,0.0000,0.0000,0.0018,0.0000,200,0.1794
0.1891,0.1389,0.1113,0.0001,0.0500,0.0001,200,0.0025
0.1914,0.1446,0.1118,0.0001,0.0467,0.0000,200,0.0024
0.0849,0.0000,0.0637,0.0000,0.0447,0.0001,200,0.1192
0.0832,0.0000,0.0617,0.0000,0.0381,0.0000,200,0.1211
0.0361,0.0000,0.0137,0.0000,0.0336,0.0000,200,0.1692
0.0027,0.0000,0.0000,0.0000,0.0026,0.0001,200,0.2054
0.2075,0.0000,0.1125,0.0000,0.0871,0.0001,200,0.0023
0.0308,0.0000,0.0000,0.0000,0.0307,0.0001,200,0.1813
0.0030,0.0000,0.0000,0.0000,0.0029,0.0001,200,0.2099
0.0027,0.0000,0.0000,0.0001,0.0024,0.0001,200,0.2129
0.0956,0.0000,0.0626,0.0000,0.0536,0.0001,200,0.1202
0.2196,0.0000,0.1121,0.0000,0.1022,0.0000,200,0.0021
0.0019,0.0000,0.0000,0.0000,0.0018,0.0000,200,0.2217
0.2347,0.1489,0.1117,0.0001,0.0857,0.0000,200,0.0024
0.0609,0.0000,0.0000,0.0000,0.0609,0.0000,200,0.1779
0.0020,0.0000,0.0000,0.0000,0.0019,0.0000,200,0.2389
0.0716,0.0000,0.0111,0.0001,0.0688,0.0001,200,0.1716
0.2459,0.0000,0.1118,0.0001,0.0891,0.0001,200,0.0025
0.0380,0.0000,0.0000,0.0000,0.0379,0.0000,200,0.2121
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.2501
0.0503,0.0000,0.0000,0.0000,0.0502,0.0001,200,0.2042
0.2551,0.0000,0.1117,0.0001,0.1013,0.0000,200,0.0024
0.0590,0.0000,0.0000,0.0000,0.0589,0.0000,200,0.2080
0.0446,0.0000,0.0000,0.0000,0.0445,0.0000,200,0.2236
0.0028,0.0000,0.0000,0.0000,0.0027,0.0000,200,0.2682
0.0041,0.0000,0.0000,0.0000,0.0040,0.0000,200,0.2670
0.1570,0.0000,0.0637,0.0000,0.1150,0.0000,200,0.1193
0.0678,0.0000,0.0000,0.0000,0.0677,0.0000,200,0.2157
0.0020,0.0000,0.0000,0.0000,0.0019,0.0001,200,0.2834
0.1052,0.0000,0.0000,0.0000,0.1050,0.0001,200,0.1938
0.1094,0.0000,0.0000,0.0000,0.1093,0.0001,200,0.1916
0.0663,0.0000,0.0000,0.0000,0.0662,0.0000,200,0.2409
0.0027,0.0000,0.0000,0.0000,0.0026,0.0001,200,0.3072
0.0743,0.0000,0.0000,0.0000,0.0742,0.0000,200,0.2372
0.0569,0.0000,0.0000,0.0000,0.0569,0.0000,200,0.2574
0.1135,0.0000,0.0000,0.0000,0.1134,0.0001,200,0.2158
0.1351,0.0000,0.0000,0.0000,0.1351,0.0000,200,0.2043
0.1011,0.0000,0.0000,0.0000,0.1010,0.0001,200,0.2432
0.0663,0.0000,0.0000,0.0000,0.0662,0.0001,200,0.3011
0.1157,0.0000,0.0000,0.0000,0.1156,0.0001,200,0.2518
0.0033,0.0000,0.0000,0.0000,0.0032,0.0000,200,0.3675
0.0614,0.0000,0.0000,0.0000,0.0613,0.0000,200,0.3099
0.0019,0.0000,0.0000,0.0000,0.0018,0.0000,200,0.3713
0.1199,0.0000,0.0000,0.0000,0.1198,0.0000,200,0.2545
0.1038,0.0000,0.0000,0.0000,0.1037,0.0000,200,0.2710
0.0015,0.0000,0.0000,0.0000,0.0014,0.0000,200,0.3748
0.0915,0.0000,0.0000,0.0000,0.0914,0.0000,200,0.2854
0.0015,0.0000,0.0000,0.0001,0.0014,0.0000,200,0.3769
0.1322,0.0000,0.0000,0.0000,0.1321,0.0000,200,0.2484
0.1098,0.0000,0.0000,0.0000,0.1098,0.0000,200,0.2710
0.0018,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.3808
0.1068,0.0000,0.0000,0.0000,0.1068,0.0000,200,0.2763
0.0551,0.0000,0.0000,0.0000,0.0550,0.0000,200,0.3293
0.1027,0.0000,0.0000,0.0000,0.1027,0.0000,200,0.2990
0.0626,0.0000,0.0000,0.0000,0.0625,0.0001,200,0.3395
0.0317,0.0000,0.0000,0.0000,0.0315,0.0002,200,0.3784
0.0042,0.0000,0.0000,0.0002,0.0038,0.0001,200,0.4102
0.0550,0.0000,0.0000,0.0000,0.0549,0.0001,200,0.3674
0.0838,0.0000,0.0000,0.0000,0.0837,0.0000,200,0.3443
0.0596,0.0000,0.0000,0.0000,0.0594,0.0001,200,0.3708
0.0025,0.0000,0.0000,0.0000,0.0023,0.0000,200,0.4304
0.0504,0.0000,0.0000,0.0000,0.0502,0.0001,200,0.3826
0.0591,0.0000,0.0000,0.0000,0.0591,0.0000,200,0.3744
0.0026,0.0000,0.0000,0.0000,0.0025,0.0000,200,0.4330
0.1285,0.0000,0.0000,0.0000,0.1284,0.0001,200,0.3144
0.0702,0.0000,0.0000,0.0000,0.0701,0.0000,200,0.3732
0.0727,0.0000,0.0000,0.0000,0.0727,0.0000,200,0.3763
0.1421,0.0000,0.0000,0.0000,0.1421,0.0000,200,0.3114
0.0569,0.0000,0.0000,0.0000,0.0568,0.0000,200,0.4018
0.0159,0.0000,0.0000,0.0000,0.0158,0.0000,200,0.4434
0.0121,0.0000,0.0000,0.0000,0.0121,0.0000,200,0.4491
0.0502,0.0000,0.0000,0.0000,0.0500,0.0000,200,0.4144
0.0028,0.0000,0.0000,0.0000,0.0027,0.0001,200,0.4645
0.0914,0.0000,0.0000,0.0000,0.0913,0.0001,200,0.3832
0.1008,0.0000,0.0000,0.0000,0.1003,0.0005,200,0.3844
0.0707,0.0000,0.0000,0.0000,0.0706,0.0001,200,0.4224
0.0622,0.0000,0.0000,0.0000,0.0621,0.0000,200,0.4329
0.0432,0.0000,0.0000,0.0000,0.0432,0.0000,200,0.4536
0.0036,0.0000,0.0000,0.0000,0.0035,0.0000,200,0.4950
0.0665,0.0000,0.0000,0.0000,0.0664,0.0000,200,0.4356
0.0440,0.0000,0.0000,0.0000,0.0439,0.0000,200,0.4586
0.0023,0.0000,0.0000,0.0000,0.0022,0.0001,200,0.5021
0.0617,0.0000,0.0000,0.0000,0.0616,0.0000,200,0.4429
0.0472,0.0000,0.0000,0.0000,0.0471,0.0000,200,0.4593
0.0027,0.0000,0.0000,0.0000,0.0027,0.0000,200,0.5065
0.1097,0.0000,0.0000,0.0000,0.1096,0.0000,200,0.4020
0.0518,0.0000,0.0000,0.0000,0.0517,0.0001,200,0.4612
0.0024,0.0000,0.0000,0.0000,0.0023,0.0001,200,0.5130
0.0874,0.0000,0.0000,0.0000,0.0873,0.0000,200,0.4281
0.1431,0.0000,0.0000,0.0000,0.1430,0.0000,200,0.3805
0.0971,0.0000,0.0000,0.0001,0.0969,0.0001,200,0.4335
0.0642,0.0000,0.0000,0.0000,0.0641,0.0001,200,0.4673
0.0467,0.0000,0.0000,0.0000,0.0465,0.0000,200,0.4851
0.0031,0.0000,0.0000,0.0000,0.0029,0.0001,200,0.5315
0.0381,0.0000,0.0000,0.0000,0.0380,0.0001,200,0.4987
0.0020,0.0000,0.0000,0.0000,0.0019,0.0001,200,0.5368
0.0676,0.0000,0.0000,0.0000,0.0674,0.0000,200,0.4746
0.0387,0.0000,0.0000,0.0000,0.0386,0.0001,200,0.5156
0.0484,0.0000,0.0000,0.0000,0.0483,0.0000,200,0.5117
0.0627,0.0000,0.0000,0.0000,0.0626,0.0000,200,0.5045
0.0596,0.0000,0.0000,0.0000,0.0595,0.0000,200,0.5092
0.0453,0.0000,0.0000,0.0000,0.0453,0.0000,200,0.5236
0.0698,0.0000,0.0000,0.0000,0.0697,0.0000,200,0.5046
0.0529,0.0000,0.0000,0.0000,0.0527,0.0000,200,0.5346
0.0910,0.0000,0.0000,0.0000,0.0908,0.0001,200,0.4968
0.0771,0.0000,0.0000,0.0000,0.0771,0.0001,200,0.5154
0.0290,0.0000,0.0000,0.0000,0.0289,0.0000,200,0.5672
0.0574,0.0000,0.0000,0.0000,0.0573,0.0001,200,0.5388
0.0092,0.0000,0.0000,0.0000,0.0091,0.0001,200,0.5874
0.0073,0.0000,0.0000,0.0000,0.0072,0.0000,200,0.5925
0.0037,0.0000,0.0000,0.0000,0.0036,0.0000,200,0.5962
0.0021,0.0000,0.0000,0.0000,0.0020,0.0000,200,0.5998
0.0374,0.0000,0.0000,0.0000,0.0374,0.0001,200,0.5690
0.1044,0.0000,0.0000,0.0000,0.1043,0.0000,200,0.5026
0.1256,0.0000,0.0000,0.0001,0.1254,0.0001,200,0.4931
0.0582,0.0000,0.0000,0.0001,0.0579,0.0002,200,0.5687
0.0531,0.0000,0.0000,0.0000,0.0530,0.0001,200,0.5743
0.0034,0.0000,0.0000,0.0001,0.0032,0.0001,200,0.6269
0.0310,0.0000,0.0000,0.0000,0.0308,0.0001,200,0.6020
0.0028,0.0000,0.0000,0.0000,0.0026,0.0001,200,0.6329
0.1086,0.0000,0.0000,0.0001,0.1084,0.0000,200,0.5306
0.1100,0.0000,0.0000,0.0000,0.1099,0.0000,200,0.5318
