response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1377,0.1334,0.1330,0.0001,0.0040,0.0001,200,0.0020
0.1378,0.1337,0.1335,0.0001,0.0040,0.0001,200,0.0022
0.1409,0.1349,0.1334,0.0001,0.0058,0.0001,200,0.0021
0.0035,0.0000,0.0000,0.0000,0.0034,0.0000,200,0.1399
0.1418,0.1340,0.1339,0.0001,0.0076,0.0000,200,0.0019
0.1426,0.1356,0.1332,0.0001,0.0067,0.0001,200,0.0019
0.0065,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.1397
0.0022,0.0000,0.0000,0.0000,0.0021,0.0000,200,0.1445
0.0037,0.0000,0.0000,0.0000,0.0036,0.0001,200,0.1430
0.0019,0.0000,0.0000,0.0000,0.0018,0.0001,200,0.1462
0.0052,0.0000,0.0000,0.0000,0.0052,0.0000,200,0.1434
0.0053,0.0000,0.0000,0.0000,0.0052,0.0001,200,0.1437
0.0033,0.0000,0.0000,0.0000,0.0032,0.0000,200,0.1467
0.0053,0.0000,0.0000,0.0000,0.0052,0.0000,200,0.1466
0.0040,0.0000,0.0000,0.0000,0.0039,0.0000,200,0.1480
0.0036,0.0000,0.0000,0.0000,0.0035,0.0000,200,0.1487
0.0036,0.0000,0.0000,0.0000,0.0036,0.0000,200,0.1490
0.0030,0.0000,0.0000,0.0000,0.0029,0.0000,200,0.1500
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.1520
0.0024,0.0000,0.0000,0.0000,0.0023,0.0001,200,0.1527
0.0046,0.0000,0.0000,0.0000,0.0045,0.0000,200,0.1523
0.0018,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.1551
0.0014,0.0000,0.0000,0.0000,0.0014,0.0000,200,0.1569
0.0074,0.0000,0.0000,0.0000,0.0073,0.0000,200,0.1519
0.0064,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.1530
0.0021,0.0000,0.0000,0.0000,0.0020,0.0000,200,0.1594
0.0078,0.0000,0.0000,0.0000,0.0077,0.0000,200,0.1537
0.0055,0.0000,0.0000,0.0000,0.0054,0.0001,200,0.1569
0.0016,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.1615
0.0052,0.0000,0.0000,0.0000,0.0051,0.0000,200,0.1583
0.0063,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.1594
0.0034,0.0000,0.0000,0.0000,0.0033,0.0000,200,0.1623
0.0050,0.0000,0.0000,0.0000,0.0049,0.0001,200,0.1615
0.0047,0.0000,0.0000,0.0000,0.0046,0.0000,200,0.1635
0.0029,0.0000,0.0000,0.0000,0.0028,0.0000,200,0.1657
0.0056,0.0000,0.0000,0.0000,0.0056,0.0000,200,0.1631
0.0048,0.0000,0.0000,0.0000,0.0048,0.0000,200,0.1657
0.0045,0.0000,0.0000,0.0000,0.0044,0.0000,200,0.1665
0.0032,0.0000,0.0000,0.0000,0.0032,0.0000,200,0.1687
0.0037,0.0000,0.0000,0.0000,0.0036,0.0000,200,0.1685
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.1710
0.0019,0.0000,0.0000,0.0000,0.0018,0.0000,200,0.1719
0.0065,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.1681
0.0028,0.0000,0.0000,0.0000,0.0028,0.0000,200,0.1738
0.0022,0.0000,0.0000,0.0000,0.0021,0.0000,200,0.1746
0.0066,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.1706
0.0051,0.0000,0.0000,0.0000,0.0051,0.0000,200,0.1727
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.1772
0.0024,0.0000,0.0000,0.0000,0.0024,0.0000,200,0.1778
0.0065,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.1768
0.0113,0.0000,0.0000,0.0000,0.0112,0.0000,200,0.1722
