response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0885,0.0815,0.0814,0.0001,0.0057,0.0001,200,0.0026
0.0882,0.0817,0.0810,0.0000,0.0064,0.0001,200,0.0032
0.0890,0.0816,0.0809,0.0004,0.0068,0.0001,200,0.0032
0.0896,0.0817,0.0807,0.0000,0.0078,0.0000,200,0.0032
0.0900,0.0814,0.0807,0.0004,0.0081,0.0001,200,0.0029
0.0900,0.0818,0.0812,0.0001,0.0080,0.0002,200,0.0030
0.0928,0.0000,0.0815,0.0000,0.0037,0.0000,200,0.0026
0.0927,0.0000,0.0816,0.0000,0.0032,0.0000,200,0.0028
0.0929,0.0830,0.0818,0.0001,0.0097,0.0000,200,0.0027
0.0950,0.0000,0.0813,0.0000,0.0061,0.0000,200,0.0025
0.0947,0.0000,0.0811,0.0000,0.0045,0.0000,200,0.0030
0.0977,0.0000,0.0806,0.0000,0.0052,0.0000,200,0.0031
0.0975,0.0000,0.0810,0.0000,0.0033,0.0000,200,0.0034
0.0981,0.0000,0.0810,0.0000,0.0081,0.0000,200,0.0029
0.0980,0.0000,0.0807,0.0000,0.0057,0.0000,200,0.0031
0.0983,0.0000,0.0811,0.0000,0.0083,0.0000,200,0.0029
0.0120,0.0000,0.0000,0.0000,0.0020,0.0000,200,0.0911
0.1000,0.0000,0.0810,0.0000,0.0076,0.0000,200,0.0032
0.0998,0.0000,0.0813,0.0000,0.0025,0.0000,200,0.0036
0.1001,0.0000,0.0812,0.0000,0.0057,0.0000,200,0.0034
0.0130,0.0000,0.0000,0.0000,0.0038,0.0000,200,0.0922
0.0125,0.0000,0.0000,0.0000,0.0021,0.0000,200,0.0928
0.1023,0.0000,0.0798,0.0000,0.0050,0.0000,200,0.0037
0.0140,0.0000,0.0000,0.0001,0.0037,0.0000,200,0.0930
0.0169,0.0000,0.0000,0.0000,0.0072,0.0001,200,0.0915
0.0135,0.0000,0.0000,0.0000,0.0053,0.0000,200,0.0953
0.0168,0.0000,0.0000,0.0000,0.0070,0.0000,200,0.0956
0.0169,0.0000,0.0000,0.0000,0.0071,0.0001,200,0.0955
0.0148,0.0000,0.0000,0.0000,0.0054,0.0000,200,0.0977
0.0196,0.0000,0.0000,0.0000,0.0091,0.0000,200,0.0929
0.0151,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.0976
0.0148,0.0000,0.0000,0.0000,0.0067,0.0001,200,0.1009
0.0127,0.0000,0.0000,0.0000,0.0031,0.0000,200,0.1031
