response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0875,0.0766,0.0762,0.0000,0.0107,0.0001,200,0.0280
0.0916,0.0767,0.0764,0.0001,0.0146,0.0001,200,0.0287
0.0917,0.0766,0.0765,0.0001,0.0148,0.0001,200,0.0288
0.0941,0.0780,0.0777,0.0001,0.0158,0.0000,200,0.0264
0.0934,0.0858,0.0825,0.0001,0.0074,0.0000,200,0.0272
0.0922,0.0769,0.0763,0.0001,0.0152,0.0000,200,0.0286
0.0967,0.0788,0.0778,0.0000,0.0156,0.0017,200,0.0260
0.0949,0.0773,0.0763,0.0000,0.0175,0.0000,200,0.0284
0.0954,0.0768,0.0761,0.0002,0.0183,0.0000,200,0.0279
0.0955,0.0799,0.0762,0.0005,0.0150,0.0001,200,0.0283
0.0970,0.0842,0.0835,0.0001,0.0124,0.0000,200,0.0269
0.0962,0.0785,0.0763,0.0002,0.0173,0.0000,200,0.0285
0.0963,0.0767,0.0764,0.0001,0.0194,0.0001,200,0.0287
0.0975,0.0773,0.0763,0.0001,0.0200,0.0000,200,0.0283
0.0117,0.0000,0.0000,0.0000,0.0116,0.0001,200,0.1156
0.0072,0.0000,0.0000,0.0000,0.0071,0.0000,200,0.1205
0.0074,0.0000,0.0000,0.0000,0.0073,0.0000,200,0.1206
0.1022,0.0768,0.0762,0.0003,0.0251,0.0000,200,0.0281
0.0076,0.0000,0.0000,0.0000,0.0061,0.0001,200,0.1227
0.1022,0.0786,0.0762,0.0003,0.0231,0.0000,200,0.0284
0.0073,0.0000,0.0000,0.0000,0.0072,0.0000,200,0.1234
0.1063,0.0824,0.0821,0.0002,0.0229,0.0007,200,0.0276
0.1058,0.0814,0.0762,0.0019,0.0223,0.0000,200,0.0282
0.0104,0.0000,0.0000,0.0000,0.0103,0.0000,200,0.1239
0.1090,0.0810,0.0791,0.0004,0.0275,0.0000,200,0.0270
0.0125,0.0000,0.0000,0.0000,0.0125,0.0000,200,0.1238
0.1095,0.0807,0.0792,0.0001,0.0287,0.0000,200,0.0271
0.0109,0.0000,0.0000,0.0000,0.0108,0.0000,200,0.1258
0.1106,0.0812,0.0791,0.0001,0.0290,0.0000,200,0.0267
0.0172,0.0000,0.0000,0.0000,0.0171,0.0000,200,0.1203
0.1107,0.0831,0.0819,0.0000,0.0275,0.0000,200,0.0279
0.1112,0.0789,0.0762,0.0000,0.0322,0.0000,200,0.0282
0.0091,0.0000,0.0000,0.0000,0.0091,0.0000,200,0.1304
0.0071,0.0000,0.0000,0.0000,0.0070,0.0000,200,0.1340
0.1142,0.0840,0.0837,0.0000,0.0300,0.0002,200,0.0275
0.0076,0.0000,0.0000,0.0000,0.0075,0.0000,200,0.1342
0.0213,0.0000,0.0000,0.0000,0.0212,0.0001,200,0.1208
0.1136,0.0768,0.0764,0.0002,0.0367,0.0000,200,0.0287
0.1143,0.0765,0.0753,0.0000,0.0377,0.0000,200,0.0288
0.1167,0.0840,0.0835,0.0000,0.0326,0.0000,200,0.0274
0.1160,0.0794,0.0763,0.0001,0.0365,0.0000,200,0.0281
0.0104,0.0000,0.0000,0.0000,0.0103,0.0000,200,0.1339
0.0089,0.0000,0.0000,0.0000,0.0089,0.0000,200,0.1367
0.0092,0.0000,0.0000,0.0000,0.0092,0.0000,200,0.1375
0.1191,0.0767,0.0764,0.0001,0.0423,0.0000,200,0.0288
0.1192,0.0769,0.0763,0.0015,0.0408,0.0000,200,0.0286
0.0247,0.0000,0.0000,0.0000,0.0246,0.0000,200,0.1233
0.1199,0.0772,0.0762,0.0000,0.0426,0.0000,200,0.0281
0.1206,0.0770,0.0763,0.0001,0.0435,0.0000,200,0.0285
0.1223,0.0838,0.0820,0.0001,0.0384,0.0000,200,0.0279
0.0097,0.0000,0.0000,0.0000,0.0096,0.0000,200,0.1410
0.0099,0.0000,0.0000,0.0001,0.0097,0.0000,200,0.1421
0.1244,0.0768,0.0764,0.0010,0.0454,0.0000,200,0.0276
0.0080,0.0000,0.0000,0.0000,0.0079,0.0000,200,0.1440
0.1278,0.0806,0.0763,0.0001,0.0469,0.0001,200,0.0282
0.1298,0.0821,0.0820,0.0000,0.0460,0.0000,200,0.0262
0.1275,0.0769,0.0764,0.0011,0.0494,0.0000,200,0.0286
0.1275,0.0768,0.0764,0.0008,0.0497,0.0002,200,0.0287
0.0105,0.0000,0.0000,0.0000,0.0103,0.0001,200,0.1468
0.0117,0.0000,0.0000,0.0000,0.0117,0.0000,200,0.1456
0.0370,0.0000,0.0000,0.0000,0.0369,0.0000,200,0.1205
0.0108,0.0000,0.0000,0.0000,0.0107,0.0000,200,0.1478
0.1366,0.0821,0.0793,0.0020,0.0519,0.0001,200,0.0261
0.1356,0.0831,0.0823,0.0001,0.0523,0.0000,200,0.0272
0.0144,0.0000,0.0000,0.0000,0.0143,0.0000,200,0.1492
0.0119,0.0000,0.0000,0.0000,0.0118,0.0000,200,0.1521
0.1383,0.0831,0.0820,0.0004,0.0539,0.0000,200,0.0263
0.0087,0.0000,0.0000,0.0000,0.0087,0.0000,200,0.1560
0.0087,0.0000,0.0000,0.0000,0.0086,0.0000,200,0.1562
0.0375,0.0000,0.0000,0.0000,0.0373,0.0001,200,0.1277
0.0376,0.0000,0.0000,0.0000,0.0376,0.0001,200,0.1306
0.0111,0.0000,0.0000,0.0000,0.0110,0.0000,200,0.1572
0.0168,0.0000,0.0000,0.0000,0.0167,0.0000,200,0.1520
0.0466,0.0000,0.0000,0.0000,0.0465,0.0000,200,0.1247
0.0141,0.0000,0.0000,0.0000,0.0140,0.0000,200,0.1573
0.0408,0.0000,0.0000,0.0000,0.0408,0.0000,200,0.1307
0.0143,0.0000,0.0000,0.0000,0.0142,0.0000,200,0.1575
0.0382,0.0000,0.0000,0.0000,0.0381,0.0000,200,0.1363
0.0372,0.0000,0.0000,0.0000,0.0372,0.0000,200,0.1373
0.0384,0.0000,0.0000,0.0000,0.0384,0.0000,200,0.1366
0.0510,0.0000,0.0000,0.0000,0.0510,0.0000,200,0.1251
0.0367,0.0000,0.0000,0.0000,0.0366,0.0001,200,0.1395
0.0123,0.0000,0.0000,0.0000,0.0122,0.0000,200,0.1652
0.0139,0.0000,0.0000,0.0000,0.0138,0.0000,200,0.1636
0.0366,0.0000,0.0000,0.0000,0.0365,0.0000,200,0.1423
0.0373,0.0000,0.0000,0.0014,0.0359,0.0000,200,0.1418
0.0147,0.0000,0.0000,0.0000,0.0146,0.0001,200,0.1647
0.0168,0.0000,0.0000,0.0000,0.0168,0.0000,200,0.1627
0.0305,0.0000,0.0000,0.0000,0.0304,0.0000,200,0.1502
