response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1754,0.1385,0.1023,0.0001,0.0354,0.0001,200,0.0047
0.1907,0.1351,0.1018,0.0001,0.0539,0.0001,200,0.0050
0.1913,0.1431,0.0998,0.0000,0.0462,0.0001,200,0.0050
0.1950,0.1355,0.1009,0.0001,0.0569,0.0001,200,0.0051
0.1960,0.1494,0.1026,0.0001,0.0455,0.0001,200,0.0047
0.1965,0.1449,0.1016,0.0000,0.0510,0.0001,200,0.0045
0.1972,0.1551,0.1013,0.0000,0.0414,0.0000,200,0.0045
0.1984,0.1352,0.1017,0.0002,0.0624,0.0001,200,0.0044
0.1985,0.1544,0.1028,0.0000,0.0433,0.0000,200,0.0047
0.1990,0.1466,0.1014,0.0001,0.0501,0.0000,200,0.0051
0.1990,0.1419,0.1008,0.0000,0.0543,0.0000,200,0.0052
0.1997,0.1461,0.1018,0.0000,0.0515,0.0000,200,0.0050
0.2004,0.1501,0.1017,0.0001,0.0487,0.0000,200,0.0050
0.2005,0.1339,0.1016,0.0001,0.0648,0.0000,200,0.0050
0.2018,0.1477,0.1010,0.0001,0.0515,0.0000,200,0.0051
0.2044,0.1617,0.1028,0.0000,0.0425,0.0001,200,0.0045
0.2042,0.1477,0.1023,0.0001,0.0554,0.0000,200,0.0048
0.2058,0.1719,0.1029,0.0000,0.0330,0.0000,200,0.0047
0.2060,0.1556,0.1016,0.0000,0.0485,0.0000,200,0.0050
0.2064,0.1637,0.1018,0.0000,0.0407,0.0000,200,0.0050
0.2068,0.1505,0.1008,0.0001,0.0535,0.0000,200,0.0051
0.2071,0.1527,0.1009,0.0001,0.0514,0.0001,200,0.0051
0.2081,0.1540,0.1013,0.0001,0.0519,0.0001,200,0.0050
0.2089,0.1703,0.1024,0.0000,0.0377,0.0001,200,0.0047
0.2117,0.1564,0.1016,0.0001,0.0536,0.0001,200,0.0050
0.2126,0.1733,0.1023,0.0000,0.0387,0.0000,200,0.0044
0.2126,0.1417,0.1016,0.0000,0.0693,0.0000,200,0.0050
0.2127,0.1336,0.1013,0.0001,0.0770,0.0000,200,0.0050
0.2132,0.1546,0.1015,0.0000,0.0568,0.0000,200,0.0050
0.2133,0.1579,0.1017,0.0001,0.0535,0.0001,200,0.0050
0.2133,0.1455,0.1013,0.0000,0.0657,0.0001,200,0.0051
0.0390,0.0000,0.0000,0.0000,0.0388,0.0000,200,0.1800
0.2158,0.1626,0.1009,0.0000,0.0506,0.0001,200,0.0051
0.2167,0.1598,0.1010,0.0001,0.0543,0.0001,200,0.0051
0.2168,0.1552,0.1010,0.0000,0.0591,0.0000,200,0.0051
0.2170,0.1588,0.1012,0.0001,0.0559,0.0000,200,0.0051
0.2185,0.1648,0.1029,0.0001,0.0534,0.0001,200,0.0045
0.2190,0.1403,0.1017,0.0001,0.0772,0.0000,200,0.0049
0.2191,0.1573,0.1007,0.0000,0.0591,0.0000,200,0.0051
0.2215,0.1461,0.1010,0.0000,0.0727,0.0001,200,0.0051
0.2225,0.1519,0.1024,0.0000,0.0697,0.0000,200,0.0047
0.2229,0.1627,0.1011,0.0000,0.0575,0.0000,200,0.0051
0.2254,0.1495,0.1024,0.0001,0.0750,0.0001,200,0.0047
0.2261,0.1610,0.1025,0.0000,0.0642,0.0000,200,0.0047
0.2271,0.1525,0.1012,0.0001,0.0724,0.0000,200,0.0051
0.2290,0.1611,0.1010,0.0001,0.0656,0.0000,200,0.0051
0.0291,0.0000,0.0000,0.0000,0.0290,0.0000,200,0.2055
0.2298,0.1533,0.1008,0.0001,0.0737,0.0000,200,0.0052
0.2338,0.1668,0.1025,0.0000,0.0665,0.0001,200,0.0050
0.2345,0.1606,0.1017,0.0001,0.0724,0.0000,200,0.0047
0.2360,0.1713,0.1010,0.0000,0.0623,0.0001,200,0.0051
0.0475,0.0000,0.0000,0.0000,0.0474,0.0000,200,0.1957
0.2384,0.1697,0.1027,0.0000,0.0682,0.0000,200,0.0050
0.0428,0.0000,0.0000,0.0000,0.0428,0.0000,200,0.2007
0.0262,0.0000,0.0000,0.0000,0.0261,0.0000,200,0.2209
0.0472,0.0000,0.0000,0.0000,0.0471,0.0000,200,0.2010
0.0451,0.0000,0.0000,0.0000,0.0450,0.0000,200,0.2031
0.0492,0.0000,0.0000,0.0000,0.0491,0.0000,200,0.2017
0.0421,0.0000,0.0000,0.0000,0.0419,0.0000,200,0.2089
0.0520,0.0000,0.0000,0.0000,0.0519,0.0000,200,0.2002
0.0486,0.0000,0.0000,0.0000,0.0484,0.0000,200,0.2054
0.0577,0.0000,0.0000,0.0000,0.0576,0.0000,200,0.1964
0.0504,0.0000,0.0000,0.0000,0.0503,0.0000,200,0.2041
0.0491,0.0000,0.0000,0.0000,0.0490,0.0000,200,0.2090
0.0429,0.0000,0.0000,0.0000,0.0428,0.0000,200,0.2182
0.0510,0.0000,0.0000,0.0000,0.0509,0.0000,200,0.2110
0.0443,0.0000,0.0000,0.0000,0.0442,0.0000,200,0.2190
0.0522,0.0000,0.0000,0.0000,0.0521,0.0000,200,0.2120
0.0584,0.0000,0.0000,0.0000,0.0583,0.0000,200,0.2070
0.0534,0.0000,0.0000,0.0000,0.0534,0.0000,200,0.2122
0.0539,0.0000,0.0000,0.0000,0.0538,0.0000,200,0.2136
0.0585,0.0000,0.0000,0.0000,0.0584,0.0001,200,0.2105
0.0400,0.0000,0.0000,0.0000,0.0399,0.0000,200,0.2308
0.0663,0.0000,0.0000,0.0000,0.0661,0.0001,200,0.2047
0.0581,0.0000,0.0000,0.0000,0.0580,0.0000,200,0.2131
0.0432,0.0000,0.0000,0.0000,0.0431,0.0001,200,0.2322
0.0721,0.0000,0.0000,0.0000,0.0720,0.0001,200,0.2041
0.0598,0.0000,0.0000,0.0000,0.0597,0.0000,200,0.2167
0.0518,0.0000,0.0000,0.0000,0.0516,0.0000,200,0.2266
0.0603,0.0000,0.0000,0.0000,0.0602,0.0001,200,0.2184
0.0589,0.0000,0.0000,0.0000,0.0588,0.0000,200,0.2220
0.0558,0.0000,0.0000,0.0000,0.0557,0.0000,200,0.2272
0.0634,0.0000,0.0000,0.0000,0.0634,0.0000,200,0.2218
0.0686,0.0000,0.0000,0.0000,0.0685,0.0001,200,0.2176
0.0835,0.0000,0.0000,0.0000,0.0834,0.0001,200,0.2028
0.0686,0.0000,0.0000,0.0000,0.0685,0.0001,200,0.2184
0.0536,0.0000,0.0000,0.0000,0.0534,0.0001,200,0.2346
0.0498,0.0000,0.0000,0.0000,0.0497,0.0000,200,0.2392
0.0648,0.0000,0.0000,0.0000,0.0647,0.0000,200,0.2242
0.0503,0.0000,0.0000,0.0000,0.0501,0.0001,200,0.2388
0.0564,0.0000,0.0000,0.0000,0.0563,0.0001,200,0.2350
0.0802,0.0000,0.0000,0.0000,0.0799,0.0002,200,0.2170
0.0636,0.0000,0.0000,0.0000,0.0635,0.0000,200,0.2341
0.0740,0.0000,0.0000,0.0000,0.0739,0.0001,200,0.2281
0.0504,0.0000,0.0000,0.0000,0.0502,0.0001,200,0.2521
0.0605,0.0000,0.0000,0.0000,0.0605,0.0000,200,0.2435
0.0631,0.0000,0.0000,0.0000,0.0630,0.0001,200,0.2432
0.0763,0.0000,0.0000,0.0000,0.0762,0.0000,200,0.2302
0.0671,0.0000,0.0000,0.0000,0.0669,0.0001,200,0.2411
0.0571,0.0000,0.0000,0.0000,0.0570,0.0001,200,0.2511
0.0651,0.0000,0.0000,0.0000,0.0651,0.0000,200,0.2434
0.0868,0.0000,0.0000,0.0000,0.0867,0.0001,200,0.2239
0.0568,0.0000,0.0000,0.0000,0.0567,0.0000,200,0.2541
0.0603,0.0000,0.0000,0.0000,0.0602,0.0001,200,0.2509
0.1005,0.0000,0.0000,0.0000,0.1004,0.0000,200,0.2115
0.0590,0.0000,0.0000,0.0000,0.0589,0.0000,200,0.2544
0.0909,0.0000,0.0000,0.0000,0.0908,0.0000,200,0.2229
0.0499,0.0000,0.0000,0.0001,0.0498,0.0000,200,0.2657
0.1003,0.0000,0.0000,0.0000,0.1002,0.0001,200,0.2177
0.0494,0.0000,0.0000,0.0000,0.0493,0.0001,200,0.2710
0.0991,0.0000,0.0000,0.0000,0.0990,0.0000,200,0.2219
0.0502,0.0000,0.0000,0.0000,0.0501,0.0001,200,0.2709
0.0467,0.0000,0.0000,0.0000,0.0466,0.0001,200,0.2810
0.0447,0.0000,0.0000,0.0000,0.0446,0.0001,200,0.2830
0.0600,0.0000,0.0000,0.0001,0.0599,0.0001,200,0.2690
0.0660,0.0000,0.0000,0.0000,0.0659,0.0000,200,0.2633
0.0533,0.0000,0.0000,0.0000,0.0532,0.0001,200,0.2787
0.0632,0.0000,0.0000,0.0000,0.0631,0.0001,200,0.2712
0.0484,0.0000,0.0000,0.0000,0.0482,0.0000,200,0.2863
