response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1190,0.1126,0.1118,0.0001,0.0062,0.0001,200,0.0057
0.1187,0.1109,0.1090,0.0004,0.0073,0.0000,200,0.0066
0.1189,0.1104,0.1083,0.0005,0.0076,0.0000,200,0.0065
0.1152,0.1114,0.1098,0.0001,0.0036,0.0001,200,0.0104
0.1323,0.1117,0.1092,0.0002,0.0202,0.0001,200,0.0061
0.1294,0.1145,0.1097,0.0004,0.0138,0.0007,200,0.0095
0.1362,0.0000,0.1103,0.0000,0.0154,0.0000,200,0.0043
0.1358,0.0000,0.1106,0.0000,0.0150,0.0000,200,0.0049
0.1343,0.1303,0.1154,0.0001,0.0038,0.0001,200,0.0102
0.1411,0.0000,0.1105,0.0000,0.0055,0.0000,200,0.0052
0.1428,0.0000,0.1116,0.0000,0.0019,0.0001,200,0.0056
0.1524,0.1129,0.1102,0.0003,0.0390,0.0001,200,0.0051
0.1566,0.1130,0.1114,0.0000,0.0434,0.0001,200,0.0055
0.1585,0.0000,0.1091,0.0000,0.0027,0.0001,200,0.0064
0.1604,0.1082,0.1075,0.0002,0.0519,0.0000,200,0.0090
0.1624,0.0000,0.1101,0.0000,0.0026,0.0001,200,0.0098
0.1669,0.1126,0.1088,0.0000,0.0542,0.0000,200,0.0056
0.1625,0.1143,0.1084,0.0000,0.0481,0.0000,200,0.0102
0.1658,0.1093,0.1075,0.0003,0.0560,0.0000,200,0.0078
0.1685,0.0000,0.1107,0.0000,0.0328,0.0001,200,0.0054
0.1676,0.1099,0.1080,0.0002,0.0571,0.0001,200,0.0068
0.1713,0.1132,0.1103,0.0001,0.0574,0.0000,200,0.0043
0.1651,0.0000,0.1292,0.0001,0.0028,0.0001,200,0.0108
0.1661,0.0000,0.1290,0.0000,0.0031,0.0000,200,0.0108
0.1679,0.0000,0.1294,0.0000,0.0020,0.0000,200,0.0108
0.1709,0.1147,0.1095,0.0004,0.0557,0.0001,200,0.0094
0.0171,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.1650
0.1728,0.1129,0.1101,0.0002,0.0597,0.0000,200,0.0100
0.1772,0.1128,0.1115,0.0003,0.0641,0.0000,200,0.0056
0.1853,0.0000,0.1103,0.0000,0.0647,0.0001,200,0.0049
0.0194,0.0000,0.0187,0.0000,0.0092,0.0001,200,0.1727
0.1873,0.0000,0.1104,0.0000,0.0530,0.0000,200,0.0053
0.1831,0.1298,0.1288,0.0001,0.0531,0.0001,200,0.0107
0.1888,0.0000,0.1106,0.0000,0.0533,0.0000,200,0.0053
0.1888,0.0000,0.1112,0.0000,0.0496,0.0000,200,0.0054
0.1869,0.1096,0.1083,0.0004,0.0767,0.0000,200,0.0076
0.1894,0.0000,0.1118,0.0000,0.0466,0.0000,200,0.0056
0.1854,0.1130,0.1099,0.0006,0.0717,0.0000,200,0.0099
0.0058,0.0000,0.0000,0.0000,0.0056,0.0001,200,0.1945
0.1946,0.1422,0.1090,0.0001,0.0521,0.0001,200,0.0061
0.0067,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.1943
0.1912,0.1300,0.1102,0.0000,0.0608,0.0001,200,0.0100
0.0139,0.0000,0.0022,0.0004,0.0120,0.0002,200,0.1922
0.0243,0.0000,0.0074,0.0001,0.0134,0.0001,200,0.1828
0.1981,0.1301,0.1298,0.0001,0.0678,0.0001,200,0.0109
0.2046,0.0000,0.1103,0.0000,0.0841,0.0001,200,0.0051
0.1995,0.1126,0.1091,0.0010,0.0858,0.0001,200,0.0103
0.0148,0.0000,0.0000,0.0002,0.0146,0.0000,200,0.1951
0.2044,0.0000,0.1119,0.0000,0.0565,0.0000,200,0.0057
0.0090,0.0000,0.0000,0.0000,0.0089,0.0000,200,0.2012
0.2001,0.1303,0.1276,0.0001,0.0696,0.0000,200,0.0105
0.2049,0.0000,0.1117,0.0001,0.0539,0.0000,200,0.0058
0.2044,0.1352,0.1047,0.0001,0.0686,0.0000,200,0.0065
0.0878,0.0000,0.0651,0.0000,0.0373,0.0000,200,0.1253
0.2046,0.1525,0.1099,0.0001,0.0519,0.0001,200,0.0095
0.0059,0.0000,0.0000,0.0000,0.0057,0.0000,200,0.2090
0.2051,0.1603,0.1100,0.0001,0.0446,0.0000,200,0.0099
0.0896,0.0000,0.0650,0.0000,0.0389,0.0001,200,0.1254
0.2077,0.1601,0.1101,0.0022,0.0453,0.0000,200,0.0100
0.2072,0.0000,0.1289,0.0001,0.0453,0.0000,200,0.0107
0.2117,0.0000,0.1090,0.0000,0.0606,0.0000,200,0.0063
