response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1283,0.1253,0.1248,0.0000,0.0027,0.0002,200,0.0407
0.1315,0.1253,0.1249,0.0001,0.0060,0.0000,200,0.0407
0.1323,0.1260,0.1257,0.0000,0.0062,0.0000,200,0.0401
0.1342,0.1249,0.1244,0.0001,0.0091,0.0000,200,0.0409
0.1347,0.1251,0.1243,0.0001,0.0095,0.0000,200,0.0408
0.1356,0.1247,0.1244,0.0001,0.0107,0.0000,200,0.0410
0.1370,0.1259,0.1258,0.0000,0.0111,0.0000,200,0.0404
0.1377,0.1252,0.1243,0.0000,0.0123,0.0000,200,0.0407
0.1397,0.0000,0.1257,0.0000,0.0070,0.0000,200,0.0396
0.1418,0.0000,0.1257,0.0000,0.0090,0.0000,200,0.0397
0.1427,0.0000,0.1258,0.0000,0.0068,0.0000,200,0.0397
0.1443,0.0000,0.1257,0.0000,0.0062,0.0000,200,0.0394
0.1746,0.0000,0.1257,0.0001,0.0351,0.0000,200,0.0400
0.1769,0.0000,0.1257,0.0000,0.0383,0.0000,200,0.0399
0.1879,0.1248,0.1244,0.0001,0.0630,0.0000,200,0.0409
0.1912,0.0000,0.1257,0.0004,0.0602,0.0000,200,0.0385
0.1960,0.0000,0.1257,0.0000,0.0546,0.0000,200,0.0401
0.2098,0.0000,0.1258,0.0000,0.0729,0.0000,200,0.0398
0.0207,0.0000,0.0205,0.0000,0.0134,0.0000,200,0.2289
0.0705,0.0000,0.0573,0.0000,0.0200,0.0000,200,0.1793
0.0131,0.0000,0.0000,0.0000,0.0130,0.0001,200,0.2496
0.0178,0.0000,0.0000,0.0000,0.0177,0.0001,200,0.2496
0.2274,0.0000,0.1245,0.0000,0.0509,0.0000,200,0.0404
0.0075,0.0000,0.0000,0.0000,0.0074,0.0001,200,0.2674
0.0076,0.0000,0.0000,0.0000,0.0075,0.0001,200,0.2749
0.2438,0.0000,0.1258,0.0000,0.0721,0.0000,200,0.0404
0.2516,0.1251,0.1244,0.0000,0.1264,0.0000,200,0.0408
0.0107,0.0000,0.0000,0.0000,0.0106,0.0001,200,0.2824
0.2581,0.1633,0.1238,0.0001,0.0947,0.0000,200,0.0411
0.0074,0.0000,0.0000,0.0000,0.0073,0.0000,200,0.2932
0.2620,0.0000,0.1259,0.0001,0.1048,0.0000,200,0.0403
0.0855,0.0000,0.0325,0.0000,0.0669,0.0000,200,0.2168
0.2643,0.1245,0.1244,0.0001,0.1396,0.0000,200,0.0410
0.2654,0.1258,0.1257,0.0000,0.1395,0.0000,200,0.0402
0.2689,0.1271,0.1264,0.0001,0.1415,0.0000,200,0.0387
0.2785,0.1260,0.1259,0.0000,0.1524,0.0001,200,0.0403
0.2788,0.1757,0.1247,0.0000,0.1030,0.0001,200,0.0406
0.2803,0.0000,0.1258,0.0000,0.1448,0.0000,200,0.0397
0.2817,0.0000,0.1258,0.0000,0.1167,0.0000,200,0.0403
0.2821,0.1248,0.1244,0.0001,0.1571,0.0001,200,0.0409
0.2865,0.0000,0.1257,0.0000,0.1441,0.0000,200,0.0401
0.2867,0.0000,0.1246,0.0000,0.1089,0.0000,200,0.0405
0.2879,0.1259,0.1258,0.0000,0.1619,0.0000,200,0.0402
0.1540,0.0000,0.0617,0.0001,0.1032,0.0000,200,0.1751
0.2883,0.1631,0.1244,0.0000,0.1251,0.0000,200,0.0410
0.2893,0.1740,0.1242,0.0000,0.1152,0.0000,200,0.0407
0.2904,0.0000,0.1248,0.0000,0.1104,0.0000,200,0.0407
0.2911,0.0000,0.1246,0.0000,0.1146,0.0000,200,0.0405
0.1555,0.0000,0.0602,0.0000,0.1035,0.0000,200,0.1765
0.2936,0.0000,0.1248,0.0000,0.1151,0.0000,200,0.0406
0.2954,0.0000,0.1257,0.0000,0.1252,0.0000,200,0.0403
0.2956,0.0000,0.1258,0.0000,0.1521,0.0000,200,0.0402
0.1548,0.0000,0.0553,0.0000,0.1058,0.0001,200,0.1815
0.2984,0.0000,0.1248,0.0000,0.1196,0.0000,200,0.0406
0.1726,0.0000,0.0673,0.0000,0.1199,0.0000,200,0.1692
0.3027,0.1687,0.1246,0.0001,0.1339,0.0001,200,0.0405
0.1617,0.0000,0.0667,0.0000,0.1134,0.0001,200,0.1824
0.3050,0.1667,0.1247,0.0001,0.1381,0.0000,200,0.0406
0.1753,0.0000,0.0645,0.0000,0.1253,0.0001,200,0.1722
0.3077,0.0000,0.1258,0.0000,0.1334,0.0000,200,0.0404
0.0489,0.0000,0.0000,0.0000,0.0488,0.0000,200,0.3005
0.3118,0.1705,0.1247,0.0000,0.1412,0.0000,200,0.0406
0.3150,0.1683,0.1244,0.0000,0.1466,0.0000,200,0.0408
0.1835,0.0000,0.0644,0.0000,0.1331,0.0000,200,0.1723
0.1788,0.0000,0.0723,0.0001,0.1275,0.0000,200,0.1774
0.0514,0.0000,0.0000,0.0000,0.0513,0.0000,200,0.3053
0.0359,0.0000,0.0000,0.0000,0.0358,0.0000,200,0.3231
0.0427,0.0000,0.0000,0.0000,0.0426,0.0000,200,0.3188
0.1897,0.0000,0.0735,0.0000,0.1387,0.0000,200,0.1755
0.0389,0.0000,0.0000,0.0000,0.0388,0.0000,200,0.3267
0.0382,0.0000,0.0000,0.0000,0.0382,0.0000,200,0.3281
0.0237,0.0000,0.0000,0.0000,0.0235,0.0000,200,0.3494
0.0203,0.0000,0.0000,0.0000,0.0202,0.0001,200,0.3567
0.0180,0.0000,0.0000,0.0000,0.0179,0.0001,200,0.3614
0.0100,0.0000,0.0000,0.0000,0.0099,0.0001,200,0.3770
0.0048,0.0000,0.0000,0.0000,0.0047,0.0001,200,0.3869
0.1806,0.0000,0.0347,0.0001,0.1602,0.0001,200,0.2146
0.3609,0.0000,0.1243,0.0001,0.1805,0.0001,200,0.0408
0.3727,0.1772,0.1244,0.0000,0.1954,0.0001,200,0.0409
0.2312,0.0000,0.0655,0.0000,0.1812,0.0001,200,0.1837
0.1834,0.0132,0.0004,0.0000,0.1701,0.0001,200,0.2361
0.1700,0.0000,0.0000,0.0000,0.1699,0.0001,200,0.2498
