response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1114,0.0940,0.0936,0.0001,0.0035,0.0001,200,0.0073
0.1166,0.1057,0.1040,0.0001,0.0083,0.0001,200,0.0073
0.1173,0.1048,0.1041,0.0002,0.0094,0.0000,200,0.0073
0.1184,0.1027,0.1021,0.0000,0.0100,0.0000,200,0.0074
0.1185,0.1047,0.1041,0.0001,0.0106,0.0001,200,0.0073
0.1192,0.0945,0.0925,0.0000,0.0108,0.0000,200,0.0073
0.1192,0.0951,0.0938,0.0005,0.0106,0.0000,200,0.0073
0.1202,0.1038,0.1036,0.0001,0.0126,0.0000,200,0.0074
0.1222,0.0000,0.1042,0.0000,0.0037,0.0000,200,0.0073
0.1229,0.0945,0.0937,0.0006,0.0147,0.0000,200,0.0074
0.1234,0.0000,0.1042,0.0000,0.0067,0.0000,200,0.0073
0.1245,0.0000,0.1036,0.0000,0.0041,0.0001,200,0.0073
0.1245,0.0000,0.1039,0.0000,0.0053,0.0000,200,0.0073
0.1255,0.0000,0.1021,0.0000,0.0033,0.0000,200,0.0074
0.1274,0.0000,0.1021,0.0000,0.0028,0.0001,200,0.0074
0.1279,0.0000,0.1021,0.0000,0.0045,0.0000,200,0.0074
0.1289,0.0000,0.1022,0.0000,0.0015,0.0000,200,0.0074
0.1492,0.0949,0.0937,0.0001,0.0411,0.0000,200,0.0074
0.1507,0.0000,0.1038,0.0000,0.0314,0.0001,200,0.0073
0.1530,0.0000,0.0937,0.0001,0.0037,0.0000,200,0.0074
0.1545,0.0956,0.0939,0.0001,0.0462,0.0000,200,0.0073
0.1552,0.0000,0.0936,0.0000,0.0020,0.0000,200,0.0073
0.0404,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.1239
0.1586,0.0948,0.0937,0.0001,0.0506,0.0000,200,0.0074
0.1590,0.1029,0.1021,0.0001,0.0505,0.0000,200,0.0074
0.1596,0.1024,0.1021,0.0001,0.0512,0.0001,200,0.0074
0.0406,0.0000,0.0000,0.0000,0.0021,0.0000,200,0.1276
0.0390,0.0000,0.0000,0.0000,0.0032,0.0001,200,0.1307
0.0397,0.0000,0.0000,0.0000,0.0044,0.0000,200,0.1318
0.0371,0.0000,0.0000,0.0000,0.0026,0.0000,200,0.1363
0.0116,0.0000,0.0000,0.0001,0.0020,0.0000,200,0.1625
0.0198,0.0000,0.0000,0.0000,0.0127,0.0000,200,0.1664
0.1790,0.0000,0.1004,0.0000,0.0509,0.0000,200,0.0074
0.1793,0.1046,0.1040,0.0001,0.0714,0.0000,200,0.0073
0.1800,0.1040,0.1029,0.0001,0.0715,0.0000,200,0.0074
0.1802,0.0000,0.1021,0.0000,0.0546,0.0000,200,0.0074
0.1803,0.0000,0.1021,0.0000,0.0573,0.0000,200,0.0074
0.1805,0.0940,0.0937,0.0001,0.0727,0.0000,200,0.0073
0.1806,0.0000,0.1042,0.0005,0.0673,0.0000,200,0.0073
0.1806,0.0000,0.0937,0.0000,0.0299,0.0000,200,0.0074
0.1816,0.0000,0.1041,0.0000,0.0629,0.0000,200,0.0073
0.0187,0.0000,0.0000,0.0000,0.0037,0.0001,200,0.1715
0.1850,0.1236,0.0939,0.0000,0.0485,0.0001,200,0.0073
0.0065,0.0000,0.0050,0.0001,0.0056,0.0002,200,0.1862
0.0064,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.1878
0.0063,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.1880
0.0105,0.0000,0.0049,0.0003,0.0095,0.0000,200,0.1863
0.0228,0.0000,0.0169,0.0000,0.0102,0.0000,200,0.1742
0.0076,0.0000,0.0000,0.0000,0.0075,0.0001,200,0.1902
0.1909,0.0000,0.0937,0.0000,0.0376,0.0000,200,0.0073
0.1914,0.0000,0.1021,0.0000,0.0669,0.0000,200,0.0074
0.0048,0.0000,0.0000,0.0000,0.0047,0.0000,200,0.1941
0.0123,0.0000,0.0000,0.0000,0.0122,0.0000,200,0.1889
0.1940,0.0000,0.1042,0.0004,0.0762,0.0000,200,0.0073
0.0044,0.0000,0.0000,0.0000,0.0043,0.0001,200,0.1970
0.0041,0.0000,0.0000,0.0000,0.0040,0.0000,200,0.1988
0.0033,0.0000,0.0000,0.0000,0.0032,0.0001,200,0.2013
0.0040,0.0000,0.0000,0.0000,0.0039,0.0001,200,0.2029
0.0824,0.0000,0.0442,0.0002,0.0429,0.0000,200,0.1246
0.0062,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.2012
0.2032,0.0000,0.0939,0.0001,0.0568,0.0001,200,0.0073
0.2053,0.0000,0.1004,0.0000,0.0763,0.0001,200,0.0074
0.0022,0.0000,0.0000,0.0000,0.0021,0.0000,200,0.2127
0.0987,0.0000,0.0494,0.0000,0.0555,0.0000,200,0.1187
0.0444,0.0000,0.0176,0.0002,0.0310,0.0001,200,0.1734
0.0918,0.0000,0.0431,0.0000,0.0528,0.0000,200,0.1265
0.0542,0.0000,0.0221,0.0000,0.0462,0.0000,200,0.1643
0.0019,0.0000,0.0000,0.0000,0.0018,0.0000,200,0.2174
0.2124,0.0000,0.0938,0.0001,0.0655,0.0000,200,0.0073
0.0913,0.0000,0.0542,0.0001,0.0565,0.0000,200,0.1353
0.2198,0.0000,0.0937,0.0000,0.0653,0.0001,200,0.0073
0.0979,0.0000,0.0564,0.0000,0.0612,0.0000,200,0.1295
0.0978,0.0000,0.0557,0.0000,0.0619,0.0000,200,0.1303
0.0605,0.0000,0.0018,0.0000,0.0544,0.0000,200,0.1682
0.0021,0.0000,0.0000,0.0000,0.0020,0.0000,200,0.2266
0.0419,0.0000,0.0000,0.0000,0.0418,0.0001,200,0.1879
0.0024,0.0000,0.0000,0.0000,0.0024,0.0000,200,0.2298
0.0449,0.0000,0.0000,0.0000,0.0448,0.0000,200,0.1874
0.0995,0.0000,0.0561,0.0000,0.0629,0.0000,200,0.1329
0.0978,0.0000,0.0544,0.0000,0.0626,0.0000,200,0.1347
0.0038,0.0000,0.0000,0.0000,0.0038,0.0000,200,0.2287
0.0383,0.0000,0.0000,0.0000,0.0383,0.0000,200,0.1943
0.1086,0.0000,0.0431,0.0000,0.0699,0.0000,200,0.1258
0.0030,0.0000,0.0000,0.0000,0.0030,0.0000,200,0.2324
0.2287,0.0000,0.0936,0.0002,0.0767,0.0000,200,0.0073
0.0047,0.0000,0.0000,0.0000,0.0046,0.0000,200,0.2325
0.0029,0.0000,0.0000,0.0000,0.0028,0.0000,200,0.2343
0.0811,0.0000,0.0280,0.0000,0.0674,0.0000,200,0.1580
0.0042,0.0000,0.0000,0.0000,0.0041,0.0001,200,0.2354
0.2325,0.0000,0.0936,0.0000,0.0804,0.0000,200,0.0073
0.0488,0.0000,0.0000,0.0000,0.0487,0.0000,200,0.1927
0.0812,0.0000,0.0257,0.0002,0.0697,0.0000,200,0.1604
0.0033,0.0000,0.0000,0.0000,0.0032,0.0000,200,0.2391
0.0549,0.0000,0.0000,0.0000,0.0548,0.0000,200,0.1876
0.0054,0.0000,0.0000,0.0000,0.0054,0.0000,200,0.2372
0.2367,0.1374,0.0936,0.0001,0.0855,0.0000,200,0.0073
0.0020,0.0000,0.0000,0.0000,0.0019,0.0001,200,0.2426
0.0578,0.0000,0.0000,0.0000,0.0578,0.0000,200,0.1877
0.0595,0.0000,0.0042,0.0003,0.0585,0.0001,200,0.1866
0.0048,0.0000,0.0000,0.0000,0.0047,0.0001,200,0.2425
0.0023,0.0000,0.0000,0.0000,0.0021,0.0000,200,0.2455
0.0820,0.0000,0.0220,0.0000,0.0746,0.0000,200,0.1659
0.2407,0.1407,0.0936,0.0001,0.0863,0.0000,200,0.0073
0.0020,0.0000,0.0000,0.0000,0.0019,0.0001,200,0.2473
0.2440,0.1308,0.0938,0.0000,0.1001,0.0001,200,0.0073
0.0525,0.0000,0.0000,0.0000,0.0525,0.0000,200,0.1989
0.0950,0.0000,0.0292,0.0001,0.0800,0.0000,200,0.1565
0.0543,0.0000,0.0000,0.0000,0.0542,0.0000,200,0.1978
0.0019,0.0000,0.0000,0.0000,0.0019,0.0001,200,0.2514
0.2470,0.0000,0.0937,0.0001,0.1056,0.0000,200,0.0074
0.0023,0.0000,0.0000,0.0000,0.0022,0.0000,200,0.2521
0.0855,0.0000,0.0001,0.0000,0.0687,0.0000,200,0.1697
0.0017,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.2552
0.0424,0.0000,0.0000,0.0000,0.0424,0.0000,200,0.2149
0.0030,0.0000,0.0000,0.0000,0.0030,0.0000,200,0.2574
0.1375,0.0000,0.0432,0.0000,0.0985,0.0000,200,0.1265
0.0692,0.0000,0.0000,0.0000,0.0691,0.0000,200,0.1982
0.2615,0.1193,0.0937,0.0000,0.1284,0.0000,200,0.0073
0.1456,0.0000,0.0432,0.0000,0.1071,0.0001,200,0.1258
0.0659,0.0000,0.0000,0.0000,0.0657,0.0001,200,0.2074
0.0489,0.0000,0.0000,0.0000,0.0478,0.0000,200,0.2271
0.0578,0.0000,0.0000,0.0000,0.0578,0.0000,200,0.2183
0.0465,0.0000,0.0000,0.0000,0.0464,0.0001,200,0.2325
0.0066,0.0000,0.0000,0.0000,0.0065,0.0001,200,0.2733
0.0733,0.0000,0.0000,0.0000,0.0732,0.0000,200,0.2069
0.0435,0.0000,0.0000,0.0000,0.0434,0.0000,200,0.2371
0.0892,0.0000,0.0000,0.0000,0.0891,0.0000,200,0.1922
0.1497,0.0000,0.0573,0.0000,0.1134,0.0000,200,0.1318
0.0054,0.0000,0.0000,0.0000,0.0053,0.0001,200,0.2799
0.0063,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.2802
0.0826,0.0000,0.0000,0.0000,0.0825,0.0000,200,0.2047
0.0452,0.0000,0.0000,0.0000,0.0451,0.0000,200,0.2447
0.0035,0.0000,0.0000,0.0000,0.0034,0.0000,200,0.2865
0.0422,0.0000,0.0000,0.0000,0.0421,0.0000,200,0.2479
0.0039,0.0000,0.0000,0.0000,0.0038,0.0000,200,0.2872
0.0588,0.0000,0.0000,0.0000,0.0588,0.0000,200,0.2326
0.0026,0.0000,0.0000,0.0000,0.0025,0.0000,200,0.2899
0.0745,0.0000,0.0000,0.0001,0.0744,0.0000,200,0.2193
0.0543,0.0000,0.0000,0.0000,0.0543,0.0000,200,0.2396
0.1284,0.0000,0.0006,0.0000,0.1214,0.0000,200,0.1670
0.0017,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.2939
0.0032,0.0000,0.0000,0.0000,0.0032,0.0000,200,0.2926
0.0636,0.0000,0.0000,0.0000,0.0635,0.0000,200,0.2323
0.0544,0.0000,0.0000,0.0000,0.0543,0.0000,200,0.2416
0.0690,0.0000,0.0000,0.0000,0.0689,0.0000,200,0.2274
0.0022,0.0000,0.0000,0.0000,0.0021,0.0000,200,0.2958
0.0501,0.0000,0.0000,0.0000,0.0500,0.0000,200,0.2479
0.2908,0.0000,0.0938,0.0001,0.1416,0.0000,200,0.0073
0.0505,0.0000,0.0000,0.0000,0.0504,0.0000,200,0.2478
0.0033,0.0000,0.0000,0.0000,0.0032,0.0000,200,0.2959
0.0673,0.0000,0.0000,0.0000,0.0672,0.0000,200,0.2322
0.0028,0.0000,0.0000,0.0000,0.0027,0.0001,200,0.2983
0.0021,0.0000,0.0000,0.0000,0.0020,0.0000,200,0.2995
0.0478,0.0000,0.0000,0.0000,0.0478,0.0001,200,0.2544
0.0025,0.0000,0.0000,0.0000,0.0024,0.0000,200,0.3011
0.1069,0.0000,0.0000,0.0000,0.1068,0.0000,200,0.1969
0.0750,0.0000,0.0000,0.0000,0.0750,0.0000,200,0.2287
0.0032,0.0000,0.0000,0.0000,0.0031,0.0001,200,0.3023
0.0020,0.0000,0.0000,0.0000,0.0019,0.0001,200,0.3037
0.0597,0.0000,0.0000,0.0000,0.0596,0.0001,200,0.2460
0.1047,0.0000,0.0000,0.0000,0.1046,0.0000,200,0.2011
0.0882,0.0000,0.0000,0.0020,0.0862,0.0000,200,0.2178
0.1442,0.0000,0.0244,0.0001,0.1339,0.0000,200,0.1618
0.0465,0.0000,0.0000,0.0000,0.0464,0.0000,200,0.2604
0.0725,0.0000,0.0000,0.0000,0.0724,0.0000,200,0.2360
0.0888,0.0000,0.0000,0.0000,0.0888,0.0000,200,0.2197
0.0029,0.0000,0.0000,0.0000,0.0028,0.0001,200,0.3058
0.0555,0.0000,0.0000,0.0000,0.0554,0.0000,200,0.2534
0.0040,0.0000,0.0000,0.0000,0.0039,0.0001,200,0.3057
0.0384,0.0000,0.0000,0.0000,0.0383,0.0000,200,0.2714
0.0677,0.0000,0.0000,0.0000,0.0676,0.0001,200,0.2440
0.0630,0.0000,0.0000,0.0000,0.0629,0.0000,200,0.2493
0.0055,0.0000,0.0000,0.0000,0.0054,0.0000,200,0.3069
0.0031,0.0000,0.0000,0.0000,0.0030,0.0000,200,0.3097
0.0717,0.0000,0.0000,0.0000,0.0716,0.0000,200,0.2424
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.3124
0.1046,0.0000,0.0000,0.0000,0.1038,0.0000,200,0.2105
0.0029,0.0000,0.0000,0.0000,0.0028,0.0000,200,0.3128
0.0023,0.0000,0.0000,0.0000,0.0022,0.0000,200,0.3157
0.0448,0.0000,0.0000,0.0000,0.0447,0.0000,200,0.2761
0.1025,0.0000,0.0000,0.0000,0.1025,0.0000,200,0.2185
0.0820,0.0000,0.0000,0.0000,0.0819,0.0000,200,0.2398
0.0818,0.0000,0.0000,0.0000,0.0817,0.0000,200,0.2416
0.0429,0.0000,0.0000,0.0000,0.0428,0.0000,200,0.2806
0.0958,0.0000,0.0000,0.0000,0.0957,0.0001,200,0.2281
0.0568,0.0000,0.0000,0.0000,0.0567,0.0000,200,0.2674
0.0679,0.0000,0.0000,0.0000,0.0678,0.0001,200,0.2569
0.0350,0.0000,0.0000,0.0000,0.0349,0.0000,200,0.2911
0.0028,0.0000,0.0000,0.0000,0.0027,0.0000,200,0.3235
0.0036,0.0000,0.0000,0.0000,0.0035,0.0001,200,0.3248
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.3284
0.0478,0.0000,0.0000,0.0000,0.0477,0.0001,200,0.2853
0.0572,0.0000,0.0000,0.0000,0.0569,0.0000,200,0.2760
0.0025,0.0000,0.0000,0.0000,0.0024,0.0001,200,0.3331
0.0493,0.0000,0.0000,0.0000,0.0492,0.0000,200,0.2899
0.1337,0.0000,0.0000,0.0000,0.1336,0.0001,200,0.2070
0.0018,0.0000,0.0000,0.0000,0.0017,0.0001,200,0.3391
