response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1387,0.1252,0.1249,0.0001,0.0134,0.0001,200,0.0071
0.1358,0.1211,0.1204,0.0000,0.0147,0.0000,200,0.0101
0.1376,0.1261,0.1256,0.0001,0.0113,0.0000,200,0.0084
0.1409,0.1270,0.1252,0.0001,0.0137,0.0000,200,0.0062
0.1412,0.1257,0.1252,0.0002,0.0152,0.0000,200,0.0066
0.1422,0.1244,0.1243,0.0001,0.0170,0.0001,200,0.0072
0.1434,0.1257,0.1255,0.0000,0.0176,0.0001,200,0.0087
0.1483,0.1257,0.1233,0.0000,0.0224,0.0000,200,0.0078
0.1498,0.1266,0.1252,0.0002,0.0229,0.0001,200,0.0063
0.1469,0.1282,0.1279,0.0000,0.0186,0.0000,200,0.0093
0.1468,0.1279,0.1278,0.0001,0.0188,0.0000,200,0.0094
0.1480,0.1262,0.1256,0.0002,0.0216,0.0000,200,0.0083
0.1505,0.1250,0.1247,0.0000,0.0254,0.0000,200,0.0059
0.1506,0.1251,0.1248,0.0000,0.0252,0.0000,200,0.0057
0.1496,0.1254,0.1250,0.0002,0.0239,0.0000,200,0.0068
0.1495,0.1252,0.1250,0.0001,0.0239,0.0002,200,0.0070
0.1504,0.1273,0.1252,0.0001,0.0230,0.0000,200,0.0061
0.1485,0.1265,0.1256,0.0001,0.0217,0.0001,200,0.0082
0.1545,0.1260,0.1256,0.0001,0.0283,0.0001,200,0.0085
0.1542,0.1262,0.1248,0.0000,0.0279,0.0001,200,0.0088
0.1568,0.1269,0.1253,0.0001,0.0297,0.0000,200,0.0062
0.1545,0.1258,0.1256,0.0001,0.0285,0.0000,200,0.0086
0.1567,0.1264,0.1252,0.0001,0.0301,0.0000,200,0.0064
0.1573,0.1250,0.1245,0.0000,0.0321,0.0000,200,0.0059
0.1575,0.1249,0.1248,0.0001,0.0323,0.0000,200,0.0057
0.1568,0.1260,0.1252,0.0003,0.0304,0.0000,200,0.0064
0.1567,0.1258,0.1253,0.0002,0.0307,0.0000,200,0.0065
0.1570,0.1264,0.1253,0.0002,0.0303,0.0000,200,0.0064
0.1572,0.1274,0.1251,0.0000,0.0298,0.0000,200,0.0061
0.1573,0.1250,0.1248,0.0000,0.0323,0.0000,200,0.0060
0.1555,0.1269,0.1257,0.0001,0.0285,0.0000,200,0.0079
0.1571,0.1266,0.1252,0.0002,0.0304,0.0000,200,0.0063
0.1570,0.1258,0.1252,0.0003,0.0308,0.0000,200,0.0065
0.1573,0.1270,0.1252,0.0002,0.0301,0.0000,200,0.0062
0.1572,0.1256,0.1251,0.0002,0.0313,0.0000,200,0.0067
0.0146,0.0000,0.0000,0.0000,0.0146,0.0000,200,0.1493
0.0180,0.0000,0.0000,0.0000,0.0180,0.0000,200,0.1460
0.1545,0.1280,0.1275,0.0001,0.0264,0.0000,200,0.0095
0.0216,0.0000,0.0000,0.0000,0.0215,0.0000,200,0.1471
0.1609,0.1275,0.1261,0.0000,0.0332,0.0000,200,0.0091
0.1621,0.1269,0.1257,0.0000,0.0351,0.0000,200,0.0080
0.1639,0.1266,0.1253,0.0002,0.0370,0.0000,200,0.0063
0.1610,0.1278,0.1258,0.0000,0.0331,0.0000,200,0.0092
0.1614,0.1278,0.1262,0.0000,0.0335,0.0000,200,0.0090
0.1608,0.1311,0.1309,0.0001,0.0297,0.0000,200,0.0097
0.1616,0.1279,0.1262,0.0001,0.0336,0.0000,200,0.0089
0.1651,0.1253,0.1250,0.0001,0.0396,0.0000,200,0.0069
0.1644,0.1264,0.1256,0.0000,0.0378,0.0001,200,0.0082
0.0213,0.0000,0.0000,0.0000,0.0212,0.0000,200,0.1521
0.0170,0.0000,0.0000,0.0000,0.0170,0.0000,200,0.1565
0.0174,0.0000,0.0000,0.0000,0.0173,0.0000,200,0.1562
0.0173,0.0000,0.0000,0.0000,0.0173,0.0000,200,0.1563
0.0172,0.0000,0.0000,0.0000,0.0171,0.0001,200,0.1564
0.0285,0.0000,0.0000,0.0000,0.0284,0.0000,200,0.1459
0.1684,0.1272,0.1252,0.0000,0.0411,0.0000,200,0.0062
0.0269,0.0000,0.0000,0.0000,0.0268,0.0001,200,0.1478
0.0289,0.0000,0.0000,0.0000,0.0289,0.0000,200,0.1458
0.1668,0.1266,0.1257,0.0001,0.0399,0.0000,200,0.0081
0.1688,0.1395,0.1248,0.0001,0.0292,0.0000,200,0.0061
0.0194,0.0000,0.0000,0.0000,0.0194,0.0000,200,0.1564
0.0269,0.0000,0.0000,0.0000,0.0268,0.0000,200,0.1563
0.0276,0.0000,0.0000,0.0000,0.0275,0.0000,200,0.1565
0.0340,0.0000,0.0000,0.0000,0.0339,0.0000,200,0.1561
0.0186,0.0000,0.0000,0.0000,0.0185,0.0001,200,0.1736
0.0197,0.0000,0.0000,0.0000,0.0197,0.0000,200,0.1726
0.0173,0.0000,0.0000,0.0000,0.0172,0.0000,200,0.1758
0.0211,0.0000,0.0000,0.0000,0.0210,0.0000,200,0.1734
0.0259,0.0000,0.0000,0.0000,0.0258,0.0000,200,0.1687
0.0331,0.0000,0.0000,0.0000,0.0330,0.0000,200,0.1640
0.0236,0.0000,0.0000,0.0000,0.0235,0.0000,200,0.1736
0.1889,0.1281,0.1262,0.0000,0.0607,0.0000,200,0.0088
0.0348,0.0000,0.0000,0.0000,0.0347,0.0000,200,0.1639
0.0291,0.0000,0.0000,0.0000,0.0290,0.0000,200,0.1701
0.0360,0.0000,0.0000,0.0000,0.0360,0.0000,200,0.1640
0.0281,0.0000,0.0000,0.0000,0.0281,0.0000,200,0.1735
0.0321,0.0000,0.0000,0.0000,0.0320,0.0000,200,0.1700
0.0274,0.0000,0.0000,0.0000,0.0274,0.0000,200,0.1748
0.0461,0.0000,0.0000,0.0000,0.0460,0.0000,200,0.1564
0.0304,0.0000,0.0000,0.0000,0.0304,0.0000,200,0.1720
0.0464,0.0000,0.0000,0.0000,0.0463,0.0000,200,0.1561
0.0324,0.0000,0.0000,0.0000,0.0324,0.0000,200,0.1701
0.0279,0.0000,0.0000,0.0000,0.0279,0.0000,200,0.1747
0.0283,0.0000,0.0000,0.0000,0.0283,0.0000,200,0.1744
0.0337,0.0000,0.0000,0.0000,0.0336,0.0000,200,0.1702
0.0070,0.0000,0.0000,0.0000,0.0070,0.0000,200,0.1971
0.0483,0.0000,0.0000,0.0000,0.0483,0.0000,200,0.1634
0.0489,0.0000,0.0000,0.0000,0.0489,0.0000,200,0.1630
0.0491,0.0000,0.0000,0.0000,0.0490,0.0000,200,0.1629
0.2025,0.1281,0.1280,0.0000,0.0743,0.0000,200,0.0096
0.0491,0.0000,0.0000,0.0000,0.0491,0.0000,200,0.1631
0.0488,0.0000,0.0000,0.0000,0.0488,0.0000,200,0.1634
0.0490,0.0000,0.0000,0.0000,0.0490,0.0000,200,0.1633
0.0492,0.0000,0.0000,0.0000,0.0489,0.0002,200,0.1632
0.0493,0.0000,0.0000,0.0000,0.0493,0.0000,200,0.1631
0.0494,0.0000,0.0000,0.0000,0.0493,0.0000,200,0.1632
0.0496,0.0000,0.0000,0.0000,0.0495,0.0001,200,0.1631
0.0493,0.0000,0.0000,0.0000,0.0493,0.0000,200,0.1634
0.0495,0.0000,0.0000,0.0000,0.0495,0.0000,200,0.1633
0.0495,0.0000,0.0000,0.0000,0.0495,0.0000,200,0.1633
0.0497,0.0000,0.0000,0.0000,0.0496,0.0000,200,0.1632
0.0525,0.0000,0.0000,0.0000,0.0524,0.0000,200,0.1638
0.0597,0.0000,0.0000,0.0000,0.0597,0.0000,200,0.1566
0.0429,0.0000,0.0000,0.0000,0.0428,0.0000,200,0.1736
0.0264,0.0000,0.0000,0.0000,0.0263,0.0000,200,0.1901
0.0235,0.0000,0.0000,0.0000,0.0234,0.0000,200,0.1931
0.0531,0.0000,0.0000,0.0000,0.0530,0.0000,200,0.1635
0.0221,0.0000,0.0000,0.0000,0.0218,0.0003,200,0.1945
0.0363,0.0000,0.0000,0.0000,0.0362,0.0000,200,0.1832
0.0514,0.0000,0.0000,0.0000,0.0514,0.0000,200,0.1704
0.0202,0.0000,0.0000,0.0000,0.0202,0.0000,200,0.2023
0.0479,0.0000,0.0000,0.0000,0.0479,0.0000,200,0.1748
0.0482,0.0000,0.0000,0.0000,0.0482,0.0000,200,0.1747
0.0401,0.0000,0.0000,0.0000,0.0400,0.0000,200,0.1840
0.0243,0.0000,0.0000,0.0000,0.0242,0.0000,200,0.2024
0.0109,0.0000,0.0000,0.0000,0.0108,0.0000,200,0.2165
0.0304,0.0000,0.0000,0.0000,0.0303,0.0000,200,0.1971
0.0276,0.0000,0.0000,0.0000,0.0275,0.0000,200,0.2001
0.0354,0.0000,0.0000,0.0000,0.0353,0.0000,200,0.1923
0.0261,0.0000,0.0000,0.0000,0.0260,0.0000,200,0.2017
0.0300,0.0000,0.0000,0.0000,0.0299,0.0000,200,0.1977
0.0643,0.0000,0.0000,0.0000,0.0643,0.0000,200,0.1635
0.0277,0.0000,0.0000,0.0000,0.0276,0.0000,200,0.2025
0.0559,0.0000,0.0000,0.0000,0.0559,0.0000,200,0.1745
0.0199,0.0000,0.0000,0.0000,0.0198,0.0000,200,0.2124
0.0159,0.0000,0.0000,0.0000,0.0158,0.0000,200,0.2166
0.0285,0.0000,0.0000,0.0000,0.0284,0.0000,200,0.2041
0.0403,0.0000,0.0000,0.0000,0.0402,0.0001,200,0.1924
0.0381,0.0000,0.0000,0.0000,0.0380,0.0000,200,0.1946
0.0225,0.0000,0.0000,0.0000,0.0224,0.0000,200,0.2128
0.0231,0.0000,0.0000,0.0000,0.0231,0.0000,200,0.2122
0.0240,0.0000,0.0000,0.0000,0.0239,0.0000,200,0.2119
0.0234,0.0000,0.0000,0.0000,0.0233,0.0000,200,0.2129
0.0261,0.0000,0.0000,0.0000,0.0254,0.0000,200,0.2122
0.0251,0.0000,0.0000,0.0000,0.0250,0.0000,200,0.2164
0.0710,0.0000,0.0000,0.0000,0.0709,0.0001,200,0.1706
0.0296,0.0000,0.0000,0.0000,0.0296,0.0000,200,0.2120
0.0298,0.0000,0.0000,0.0000,0.0298,0.0000,200,0.2121
0.0406,0.0000,0.0000,0.0000,0.0406,0.0000,200,0.2027
0.0271,0.0000,0.0000,0.0000,0.0270,0.0000,200,0.2165
0.0308,0.0000,0.0000,0.0000,0.0308,0.0000,200,0.2128
0.0417,0.0000,0.0000,0.0000,0.0417,0.0000,200,0.2021
0.0317,0.0000,0.0000,0.0000,0.0316,0.0000,200,0.2123
0.0420,0.0000,0.0000,0.0000,0.0420,0.0000,200,0.2025
0.0408,0.0000,0.0000,0.0000,0.0407,0.0000,200,0.2038
0.0456,0.0000,0.0000,0.0000,0.0456,0.0000,200,0.1992
0.0425,0.0000,0.0000,0.0000,0.0424,0.0000,200,0.2024
0.0337,0.0000,0.0000,0.0000,0.0337,0.0000,200,0.2125
0.0245,0.0000,0.0000,0.0000,0.0244,0.0000,200,0.2219
0.0443,0.0000,0.0000,0.0000,0.0442,0.0000,200,0.2027
0.0266,0.0000,0.0000,0.0000,0.0266,0.0000,200,0.2228
0.0226,0.0000,0.0000,0.0000,0.0226,0.0000,200,0.2277
0.0383,0.0000,0.0000,0.0000,0.0382,0.0000,200,0.2127
0.0333,0.0000,0.0000,0.0000,0.0332,0.0000,200,0.2195
0.0204,0.0000,0.0000,0.0000,0.0203,0.0000,200,0.2326
0.0364,0.0000,0.0000,0.0000,0.0364,0.0000,200,0.2166
0.0408,0.0000,0.0000,0.0000,0.0407,0.0000,200,0.2123
0.0403,0.0000,0.0000,0.0000,0.0402,0.0000,200,0.2129
