response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1048,0.0969,0.0965,0.0001,0.0067,0.0001,200,0.0049
0.1052,0.0967,0.0965,0.0001,0.0072,0.0001,200,0.0049
0.1057,0.0968,0.0965,0.0000,0.0072,0.0005,200,0.0049
0.1064,0.0977,0.0974,0.0001,0.0085,0.0001,200,0.0045
0.1064,0.0978,0.0977,0.0000,0.0074,0.0000,200,0.0050
0.1093,0.0980,0.0978,0.0000,0.0105,0.0000,200,0.0047
0.1092,0.0981,0.0980,0.0000,0.0098,0.0001,200,0.0050
0.1110,0.0984,0.0981,0.0000,0.0116,0.0001,200,0.0048
0.1111,0.0973,0.0963,0.0000,0.0128,0.0000,200,0.0048
0.1290,0.0982,0.0981,0.0000,0.0298,0.0001,200,0.0048
0.1306,0.0980,0.0978,0.0001,0.0317,0.0001,200,0.0047
0.1307,0.0981,0.0981,0.0000,0.0312,0.0000,200,0.0049
0.1312,0.0982,0.0978,0.0001,0.0322,0.0001,200,0.0047
0.1338,0.0983,0.0982,0.0000,0.0345,0.0001,200,0.0048
0.1338,0.0970,0.0965,0.0000,0.0357,0.0001,200,0.0049
0.1339,0.0970,0.0963,0.0000,0.0357,0.0000,200,0.0048
0.1339,0.0978,0.0975,0.0000,0.0348,0.0000,200,0.0050
0.1340,0.0971,0.0965,0.0000,0.0358,0.0000,200,0.0049
0.1341,0.0984,0.0982,0.0001,0.0346,0.0000,200,0.0048
0.1342,0.0979,0.0978,0.0000,0.0355,0.0000,200,0.0048
0.1348,0.0990,0.0977,0.0000,0.0355,0.0000,200,0.0047
0.1366,0.0974,0.0957,0.0000,0.0379,0.0000,200,0.0050
0.0313,0.0000,0.0000,0.0000,0.0312,0.0000,200,0.1106
0.0323,0.0000,0.0000,0.0000,0.0322,0.0000,200,0.1109
0.0291,0.0000,0.0000,0.0000,0.0290,0.0000,200,0.1142
0.1395,0.0980,0.0976,0.0001,0.0406,0.0000,200,0.0048
0.1399,0.0000,0.0977,0.0000,0.0344,0.0000,200,0.0047
0.1401,0.0984,0.0979,0.0000,0.0408,0.0000,200,0.0048
0.0307,0.0000,0.0000,0.0000,0.0306,0.0000,200,0.1158
0.0379,0.0000,0.0000,0.0000,0.0373,0.0000,200,0.1102
0.0385,0.0000,0.0000,0.0000,0.0367,0.0000,200,0.1097
0.0126,0.0000,0.0000,0.0000,0.0125,0.0000,200,0.1356
0.0160,0.0000,0.0000,0.0001,0.0159,0.0000,200,0.1338
0.0132,0.0000,0.0000,0.0000,0.0132,0.0000,200,0.1389
0.0134,0.0000,0.0000,0.0000,0.0133,0.0000,200,0.1390
0.0383,0.0000,0.0000,0.0000,0.0376,0.0000,200,0.1140
0.0137,0.0000,0.0000,0.0000,0.0137,0.0000,200,0.1387
0.0377,0.0000,0.0000,0.0000,0.0376,0.0000,200,0.1159
0.0423,0.0000,0.0000,0.0000,0.0422,0.0001,200,0.1114
0.0185,0.0000,0.0000,0.0000,0.0183,0.0000,200,0.1353
0.0132,0.0000,0.0000,0.0000,0.0131,0.0001,200,0.1431
0.0082,0.0000,0.0000,0.0000,0.0081,0.0001,200,0.1482
0.0086,0.0000,0.0000,0.0001,0.0085,0.0000,200,0.1480
0.0143,0.0000,0.0000,0.0000,0.0142,0.0000,200,0.1432
0.0227,0.0000,0.0000,0.0000,0.0227,0.0000,200,0.1359
0.0204,0.0000,0.0000,0.0000,0.0203,0.0000,200,0.1389
0.0211,0.0000,0.0000,0.0000,0.0211,0.0000,200,0.1388
0.0186,0.0000,0.0000,0.0000,0.0185,0.0001,200,0.1420
0.0219,0.0000,0.0000,0.0000,0.0219,0.0000,200,0.1387
0.0108,0.0000,0.0000,0.0000,0.0107,0.0000,200,0.1523
0.0136,0.0000,0.0000,0.0000,0.0135,0.0000,200,0.1498
0.0257,0.0000,0.0000,0.0000,0.0256,0.0000,200,0.1388
0.0144,0.0000,0.0000,0.0000,0.0143,0.0001,200,0.1524
0.0216,0.0000,0.0000,0.0000,0.0215,0.0000,200,0.1483
