response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1083,0.1015,0.1008,0.0000,0.0065,0.0001,200,0.0039
0.1119,0.1013,0.1009,0.0001,0.0100,0.0001,200,0.0039
0.1138,0.0997,0.0995,0.0002,0.0130,0.0003,200,0.0049
0.0068,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.1121
0.1165,0.1012,0.1007,0.0001,0.0152,0.0001,200,0.0043
0.1169,0.0992,0.0987,0.0000,0.0175,0.0001,200,0.0062
0.1202,0.1016,0.1013,0.0000,0.0184,0.0001,200,0.0039
0.1198,0.0991,0.0985,0.0001,0.0199,0.0000,200,0.0055
0.1223,0.1020,0.1005,0.0001,0.0199,0.0000,200,0.0040
0.0094,0.0000,0.0000,0.0000,0.0089,0.0004,200,0.1189
0.0103,0.0000,0.0000,0.0000,0.0102,0.0000,200,0.1187
0.0093,0.0000,0.0000,0.0000,0.0092,0.0000,200,0.1208
0.1249,0.0990,0.0984,0.0001,0.0258,0.0000,200,0.0063
0.1284,0.0996,0.0993,0.0005,0.0266,0.0001,200,0.0039
0.0087,0.0000,0.0000,0.0000,0.0086,0.0000,200,0.1253
0.0117,0.0000,0.0000,0.0000,0.0115,0.0000,200,0.1242
0.0067,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.1301
0.0140,0.0000,0.0000,0.0000,0.0139,0.0001,200,0.1231
0.0227,0.0000,0.0000,0.0000,0.0226,0.0000,200,0.1159
0.0103,0.0000,0.0000,0.0000,0.0102,0.0000,200,0.1283
0.0123,0.0000,0.0000,0.0000,0.0123,0.0000,200,0.1263
0.0098,0.0000,0.0000,0.0000,0.0097,0.0001,200,0.1289
0.0101,0.0000,0.0000,0.0000,0.0100,0.0000,200,0.1312
0.0084,0.0000,0.0000,0.0000,0.0082,0.0001,200,0.1359
0.0104,0.0000,0.0000,0.0000,0.0104,0.0000,200,0.1340
0.0091,0.0000,0.0000,0.0000,0.0090,0.0001,200,0.1368
0.0137,0.0000,0.0000,0.0000,0.0136,0.0001,200,0.1323
0.0089,0.0000,0.0000,0.0000,0.0088,0.0001,200,0.1385
0.0117,0.0000,0.0000,0.0000,0.0116,0.0001,200,0.1372
0.0113,0.0000,0.0000,0.0000,0.0112,0.0000,200,0.1386
0.0112,0.0000,0.0000,0.0000,0.0111,0.0000,200,0.1387
0.0128,0.0000,0.0000,0.0000,0.0127,0.0000,200,0.1386
0.0104,0.0000,0.0000,0.0000,0.0103,0.0000,200,0.1413
0.0121,0.0000,0.0000,0.0000,0.0120,0.0000,200,0.1444
0.0106,0.0000,0.0000,0.0000,0.0106,0.0000,200,0.1459
0.0077,0.0000,0.0000,0.0000,0.0076,0.0001,200,0.1489
0.0135,0.0000,0.0000,0.0000,0.0134,0.0000,200,0.1443
0.0139,0.0000,0.0000,0.0000,0.0138,0.0001,200,0.1460
0.0109,0.0000,0.0000,0.0000,0.0108,0.0001,200,0.1499
0.0096,0.0000,0.0000,0.0000,0.0095,0.0000,200,0.1514
0.0112,0.0000,0.0000,0.0000,0.0110,0.0001,200,0.1499
0.0147,0.0000,0.0000,0.0000,0.0147,0.0000,200,0.1474
0.0061,0.0000,0.0000,0.0000,0.0060,0.0000,200,0.1565
0.0112,0.0000,0.0000,0.0000,0.0111,0.0000,200,0.1517
0.0074,0.0000,0.0000,0.0000,0.0073,0.0000,200,0.1566
0.0081,0.0000,0.0000,0.0000,0.0080,0.0000,200,0.1578
0.0090,0.0000,0.0000,0.0000,0.0089,0.0001,200,0.1599
0.0063,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.1629
