response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1112,0.1059,0.1055,0.0001,0.0049,0.0002,200,0.0040
0.0031,0.0000,0.0000,0.0000,0.0029,0.0002,200,0.1152
0.0025,0.0000,0.0000,0.0000,0.0023,0.0000,200,0.1183
0.0034,0.0000,0.0000,0.0000,0.0033,0.0001,200,0.1208
0.0025,0.0000,0.0000,0.0000,0.0024,0.0000,200,0.1242
0.0303,0.0000,0.0000,0.0000,0.0302,0.0001,200,0.1267
0.0028,0.0000,0.0000,0.0000,0.0026,0.0001,200,0.1570
0.0020,0.0000,0.0000,0.0001,0.0018,0.0001,200,0.1598
0.0023,0.0000,0.0000,0.0000,0.0022,0.0001,200,0.1618
0.0027,0.0000,0.0000,0.0000,0.0026,0.0001,200,0.1641
0.0020,0.0000,0.0000,0.0001,0.0018,0.0001,200,0.1668
0.0026,0.0000,0.0000,0.0000,0.0024,0.0001,200,0.1689
0.0018,0.0000,0.0000,0.0000,0.0017,0.0001,200,0.1714
0.0016,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.1732
0.0018,0.0000,0.0000,0.0000,0.0017,0.0001,200,0.1748
0.0025,0.0000,0.0000,0.0000,0.0024,0.0000,200,0.1766
0.0019,0.0000,0.0000,0.0000,0.0019,0.0000,200,0.1792
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.1811
0.0016,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.1828
0.0019,0.0000,0.0000,0.0000,0.0018,0.0001,200,0.1844
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.1864
0.0019,0.0000,0.0000,0.0000,0.0018,0.0000,200,0.1881
0.0018,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.1899
0.0016,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.1917
0.0017,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.1933
0.0016,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.1950
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.1967
0.0017,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.1983
0.0018,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.2001
0.0018,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.2019
0.0018,0.0000,0.0000,0.0000,0.0017,0.0001,200,0.2037
0.0022,0.0000,0.0000,0.0000,0.0021,0.0000,200,0.2055
0.0020,0.0000,0.0000,0.0000,0.0019,0.0001,200,0.2077
0.0019,0.0000,0.0000,0.0000,0.0018,0.0000,200,0.2097
0.0019,0.0000,0.0000,0.0000,0.0018,0.0000,200,0.2116
0.0029,0.0000,0.0000,0.0000,0.0029,0.0000,200,0.2134
0.0020,0.0000,0.0000,0.0000,0.0020,0.0000,200,0.2164
0.0019,0.0000,0.0000,0.0000,0.0018,0.0000,200,0.2184
0.0021,0.0000,0.0000,0.0000,0.0020,0.0000,200,0.2203
0.0017,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.2224
0.0019,0.0000,0.0000,0.0000,0.0018,0.0000,200,0.2242
0.0017,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.2260
0.0019,0.0000,0.0000,0.0000,0.0018,0.0000,200,0.2278
0.0021,0.0000,0.0000,0.0000,0.0020,0.0000,200,0.2296
0.0022,0.0000,0.0000,0.0000,0.0021,0.0000,200,0.2317
0.0020,0.0000,0.0000,0.0000,0.0019,0.0001,200,0.2339
0.0021,0.0000,0.0000,0.0000,0.0020,0.0001,200,0.2360
0.0026,0.0000,0.0000,0.0000,0.0024,0.0001,200,0.2381
0.0025,0.0000,0.0000,0.0000,0.0024,0.0001,200,0.2406
0.0032,0.0000,0.0000,0.0000,0.0030,0.0001,200,0.2432
0.0029,0.0000,0.0000,0.0000,0.0027,0.0000,200,0.2464
0.0024,0.0000,0.0000,0.0000,0.0023,0.0001,200,0.2493
0.0024,0.0000,0.0000,0.0000,0.0023,0.0000,200,0.2517
0.0020,0.0000,0.0000,0.0000,0.0019,0.0000,200,0.2541
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.2560
0.0020,0.0000,0.0000,0.0000,0.0019,0.0000,200,0.2577
0.0023,0.0000,0.0000,0.0000,0.0022,0.0000,200,0.2597
0.0025,0.0000,0.0000,0.0000,0.0024,0.0001,200,0.2620
0.0029,0.0000,0.0000,0.0000,0.0029,0.0000,200,0.2645
0.0018,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.2674
0.0019,0.0000,0.0000,0.0000,0.0019,0.0000,200,0.2692
0.0020,0.0000,0.0000,0.0000,0.0019,0.0000,200,0.2712
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.2732
0.0019,0.0000,0.0000,0.0000,0.0018,0.0000,200,0.2750
0.0021,0.0000,0.0000,0.0000,0.0020,0.0000,200,0.2769
0.0019,0.0000,0.0000,0.0000,0.0018,0.0000,200,0.2790
0.0019,0.0000,0.0000,0.0000,0.0018,0.0000,200,0.2809
0.0020,0.0000,0.0000,0.0000,0.0020,0.0000,200,0.2828
0.0021,0.0000,0.0000,0.0000,0.0020,0.0000,200,0.2848
0.0019,0.0000,0.0000,0.0000,0.0018,0.0000,200,0.2869
0.0023,0.0000,0.0000,0.0000,0.0022,0.0000,200,0.2888
0.0026,0.0000,0.0000,0.0000,0.0025,0.0000,200,0.2911
0.0024,0.0000,0.0000,0.0000,0.0023,0.0000,200,0.2937
0.0025,0.0000,0.0000,0.0000,0.0024,0.0000,200,0.2961
0.0025,0.0000,0.0000,0.0000,0.0024,0.0000,200,0.2986
0.0022,0.0000,0.0000,0.0000,0.0020,0.0001,200,0.3011
0.0026,0.0000,0.0000,0.0000,0.0025,0.0000,200,0.3033
0.0022,0.0000,0.0000,0.0000,0.0022,0.0000,200,0.3058
0.0022,0.0000,0.0000,0.0000,0.0021,0.0000,200,0.3081
0.0034,0.0000,0.0000,0.0000,0.0033,0.0001,200,0.3103
0.0026,0.0000,0.0000,0.0000,0.0024,0.0001,200,0.3137
0.0026,0.0000,0.0000,0.0000,0.0026,0.0000,200,0.3163
0.0028,0.0000,0.0000,0.0000,0.0026,0.0001,200,0.3189
0.0027,0.0000,0.0000,0.0001,0.0025,0.0001,200,0.3217
0.0030,0.0000,0.0000,0.0000,0.0029,0.0001,200,0.3243
0.0025,0.0000,0.0000,0.0000,0.0023,0.0001,200,0.3273
0.0024,0.0000,0.0000,0.0000,0.0023,0.0000,200,0.3298
0.0027,0.0000,0.0000,0.0000,0.0026,0.0000,200,0.3322
0.0024,0.0000,0.0000,0.0000,0.0024,0.0000,200,0.3348
0.0022,0.0000,0.0000,0.0000,0.0021,0.0001,200,0.3373
0.0022,0.0000,0.0000,0.0000,0.0021,0.0000,200,0.3394
0.0020,0.0000,0.0000,0.0000,0.0020,0.0000,200,0.3416
0.0032,0.0000,0.0000,0.0000,0.0031,0.0000,200,0.3436
0.0029,0.0000,0.0000,0.0000,0.0028,0.0000,200,0.3468
0.0026,0.0000,0.0000,0.0000,0.0026,0.0000,200,0.3497
0.0030,0.0000,0.0000,0.0000,0.0030,0.0000,200,0.3524
0.0019,0.0000,0.0000,0.0000,0.0019,0.0000,200,0.3554
0.0018,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.3573
0.0022,0.0000,0.0000,0.0000,0.0021,0.0000,200,0.3591
0.0016,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.3613
0.0018,0.0000,0.0000,0.0000,0.0018,0.0000,200,0.3629
0.0020,0.0000,0.0000,0.0000,0.0019,0.0000,200,0.3647
0.0020,0.0000,0.0000,0.0000,0.0019,0.0000,200,0.3667
0.0020,0.0000,0.0000,0.0000,0.0019,0.0000,200,0.3687
0.0019,0.0000,0.0000,0.0000,0.0019,0.0000,200,0.3706
0.0018,0.0000,0.0000,0.0000,0.0018,0.0000,200,0.3726
0.0023,0.0000,0.0000,0.0000,0.0022,0.0000,200,0.3744
0.0018,0.0000,0.0000,0.0000,0.0018,0.0000,200,0.3767
0.0021,0.0000,0.0000,0.0000,0.0020,0.0000,200,0.3785
0.0022,0.0000,0.0000,0.0000,0.0022,0.0000,200,0.3806
0.0021,0.0000,0.0000,0.0000,0.0020,0.0000,200,0.3828
0.0019,0.0000,0.0000,0.0000,0.0019,0.0000,200,0.3849
0.0019,0.0000,0.0000,0.0000,0.0019,0.0000,200,0.3869
0.0021,0.0000,0.0000,0.0000,0.0020,0.0001,200,0.3888
