response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1484,0.0713,0.0709,0.0001,0.0766,0.0002,200,0.0032
0.0531,0.0000,0.0000,0.0001,0.0527,0.0002,200,0.1516
0.0607,0.0000,0.0000,0.0001,0.0603,0.0002,200,0.2047
0.0309,0.0000,0.0000,0.0000,0.0306,0.0002,200,0.2654
0.0589,0.0000,0.0000,0.0000,0.0586,0.0001,200,0.2963
0.0551,0.0000,0.0000,0.0000,0.0548,0.0002,200,0.3551
0.0357,0.0000,0.0000,0.0000,0.0354,0.0001,200,0.4102
0.0615,0.0000,0.0000,0.0000,0.0613,0.0001,200,0.4459
0.0529,0.0000,0.0000,0.0000,0.0526,0.0001,200,0.5073
0.0497,0.0000,0.0000,0.0000,0.0495,0.0001,200,0.5602
0.0374,0.0000,0.0000,0.0000,0.0373,0.0001,200,0.6099
0.0764,0.0000,0.0000,0.0000,0.0763,0.0001,200,0.6473
0.0554,0.0000,0.0000,0.0000,0.0552,0.0001,200,0.7238
0.0740,0.0000,0.0000,0.0000,0.0739,0.0001,200,0.7792
0.0501,0.0000,0.0000,0.0001,0.0498,0.0002,200,0.8532
0.0508,0.0000,0.0000,0.0001,0.0506,0.0001,200,0.9033
0.0425,0.0000,0.0000,0.0000,0.0423,0.0001,200,0.9541
0.0464,0.0000,0.0000,0.0000,0.0462,0.0001,200,0.9966
0.0596,0.0000,0.0000,0.0000,0.0594,0.0001,200,1.0430
0.0375,0.0000,0.0000,0.0000,0.0372,0.0001,200,1.1026
0.0496,0.0000,0.0000,0.0000,0.0495,0.0001,200,1.1401
0.0357,0.0000,0.0000,0.0000,0.0355,0.0001,200,1.1897
0.0643,0.0000,0.0000,0.0000,0.0640,0.0001,200,1.2254
0.0509,0.0000,0.0000,0.0000,0.0507,0.0001,200,1.2897
0.0656,0.0000,0.0000,0.0000,0.0655,0.0001,200,1.3405
0.0401,0.0000,0.0000,0.0000,0.0399,0.0001,200,1.4062
0.0601,0.0000,0.0000,0.0000,0.0600,0.0001,200,1.4463
0.0673,0.0000,0.0000,0.0000,0.0672,0.0001,200,1.5064
0.0540,0.0000,0.0000,0.0000,0.0539,0.0001,200,1.5737
0.0630,0.0000,0.0000,0.0000,0.0628,0.0001,200,1.6277
0.0649,0.0000,0.0000,0.0000,0.0648,0.0001,200,1.6908
0.0671,0.0000,0.0000,0.0000,0.0669,0.0001,200,1.7557
0.0761,0.0000,0.0000,0.0001,0.0758,0.0001,200,1.8228
0.0343,0.0000,0.0000,0.0000,0.0341,0.0001,200,1.8989
0.0457,0.0000,0.0000,0.0000,0.0455,0.0001,200,1.9332
0.0327,0.0000,0.0000,0.0000,0.0324,0.0001,200,1.9789
0.0683,0.0000,0.0000,0.0001,0.0681,0.0002,200,2.0115
0.0514,0.0000,0.0000,0.0001,0.0511,0.0001,200,2.0799
0.0605,0.0000,0.0000,0.0000,0.0604,0.0001,200,2.1313
0.0322,0.0000,0.0000,0.0001,0.0321,0.0001,200,2.1918
0.0464,0.0000,0.0000,0.0000,0.0463,0.0001,200,2.2241
0.0494,0.0000,0.0000,0.0000,0.0492,0.0001,200,2.2705
0.0573,0.0000,0.0000,0.0000,0.0571,0.0001,200,2.3199
0.0688,0.0000,0.0000,0.0000,0.0687,0.0001,200,2.3771
0.0623,0.0000,0.0000,0.0000,0.0622,0.0001,200,2.4459
0.0519,0.0000,0.0000,0.0000,0.0518,0.0001,200,2.5082
0.0406,0.0000,0.0000,0.0000,0.0404,0.0001,200,2.5602
0.0634,0.0000,0.0000,0.0000,0.0633,0.0001,200,2.6007
0.0460,0.0000,0.0000,0.0000,0.0458,0.0001,200,2.6642
0.0651,0.0000,0.0000,0.0000,0.0649,0.0001,200,2.7101
0.0436,0.0000,0.0000,0.0000,0.0435,0.0001,200,2.7752
0.2637,0.0000,0.0000,0.0000,0.2636,0.0001,200,2.8188
0.0701,0.0000,0.0000,0.0000,0.0699,0.0001,200,3.0825
0.0649,0.0000,0.0000,0.0000,0.0647,0.0001,200,3.1526
0.0509,0.0000,0.0000,0.0000,0.0508,0.0001,200,3.2174
0.0323,0.0000,0.0000,0.0000,0.0322,0.0001,200,3.2684
0.0765,0.0000,0.0000,0.0000,0.0762,0.0002,200,3.3007
0.0559,0.0000,0.0000,0.0000,0.0557,0.0001,200,3.3772
0.0540,0.0000,0.0000,0.0000,0.0537,0.0002,200,3.4331
0.0527,0.0000,0.0000,0.0000,0.0525,0.0001,200,3.4870
0.0805,0.0000,0.0000,0.0001,0.0802,0.0001,200,3.5398
0.0586,0.0000,0.0000,0.0000,0.0585,0.0001,200,3.6202
0.0548,0.0000,0.0000,0.0000,0.0546,0.0001,200,3.6788
0.0778,0.0000,0.0000,0.0000,0.0777,0.0001,200,3.7336
0.0319,0.0000,0.0000,0.0000,0.0317,0.0001,200,3.8115
0.0775,0.0000,0.0000,0.0000,0.0773,0.0001,200,3.8434
0.0475,0.0000,0.0000,0.0000,0.0472,0.0001,200,3.9209
0.0416,0.0000,0.0000,0.0000,0.0415,0.0001,200,3.9684
0.0583,0.0000,0.0000,0.0000,0.0580,0.0002,200,4.0100
0.0542,0.0000,0.0000,0.0001,0.0539,0.0001,200,4.0684
0.0639,0.0000,0.0000,0.0001,0.0637,0.0001,200,4.1226
0.0419,0.0000,0.0000,0.0000,0.0417,0.0002,200,4.1866
0.0660,0.0000,0.0000,0.0000,0.0658,0.0001,200,4.2285
0.0650,0.0000,0.0000,0.0000,0.0648,0.0001,200,4.2945
0.0631,0.0000,0.0000,0.0000,0.0628,0.0001,200,4.3595
0.0468,0.0000,0.0000,0.0000,0.0465,0.0002,200,4.4226
0.0509,0.0000,0.0000,0.0000,0.0506,0.0001,200,4.4694
0.0441,0.0000,0.0000,0.0001,0.0438,0.0002,200,4.5202
0.0538,0.0000,0.0000,0.0000,0.0536,0.0001,200,4.5643
0.0442,0.0000,0.0000,0.0000,0.0440,0.0001,200,4.6181
0.0463,0.0000,0.0000,0.0000,0.0461,0.0001,200,4.6623
0.0673,0.0000,0.0000,0.0000,0.0671,0.0001,200,4.7085
0.0334,0.0000,0.0000,0.0000,0.0332,0.0001,200,4.7759
