response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1810,0.1337,0.0972,0.0003,0.0467,0.0002,200,0.0037
0.0726,0.0000,0.0000,0.0000,0.0724,0.0001,200,0.1848
0.0467,0.0000,0.0000,0.0000,0.0465,0.0001,200,0.2574
0.0545,0.0000,0.0000,0.0000,0.0543,0.0001,200,0.3042
0.0443,0.0000,0.0000,0.0000,0.0442,0.0001,200,0.3587
0.0519,0.0000,0.0000,0.0000,0.0516,0.0002,200,0.4030
0.0625,0.0000,0.0000,0.0001,0.0621,0.0002,200,0.4549
0.0439,0.0000,0.0000,0.0001,0.0436,0.0001,200,0.5173
0.0575,0.0000,0.0000,0.0000,0.0573,0.0001,200,0.5613
0.0542,0.0000,0.0000,0.0001,0.0539,0.0001,200,0.6188
0.0661,0.0000,0.0000,0.0000,0.0658,0.0001,200,0.6730
0.0546,0.0000,0.0000,0.0000,0.0544,0.0001,200,0.7391
0.0596,0.0000,0.0000,0.0001,0.0594,0.0001,200,0.7937
0.0628,0.0000,0.0000,0.0000,0.0627,0.0001,200,0.8533
0.0778,0.0000,0.0000,0.0000,0.0777,0.0001,200,0.9162
0.0678,0.0000,0.0000,0.0000,0.0677,0.0001,200,0.9940
0.0652,0.0000,0.0000,0.0000,0.0650,0.0001,200,1.0618
0.0448,0.0000,0.0000,0.0000,0.0446,0.0001,200,1.1270
0.0675,0.0000,0.0000,0.0000,0.0674,0.0001,200,1.1718
0.0705,0.0000,0.0000,0.0000,0.0703,0.0001,200,1.2394
0.0417,0.0000,0.0000,0.0000,0.0416,0.0001,200,1.3099
0.0620,0.0000,0.0000,0.0000,0.0618,0.0001,200,1.3516
0.0461,0.0000,0.0000,0.0000,0.0459,0.0001,200,1.4136
0.0372,0.0000,0.0000,0.0000,0.0370,0.0001,200,1.4597
0.0677,0.0000,0.0000,0.0001,0.0673,0.0002,200,1.4969
0.0431,0.0000,0.0000,0.0000,0.0429,0.0001,200,1.5645
0.0564,0.0000,0.0000,0.0000,0.0563,0.0001,200,1.6077
0.0563,0.0000,0.0000,0.0000,0.0560,0.0001,200,1.6641
