response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1187,0.1131,0.1128,0.0005,0.0049,0.0001,200,0.0037
0.1195,0.1131,0.1124,0.0005,0.0042,0.0011,200,0.0031
0.1201,0.1138,0.1127,0.0001,0.0058,0.0001,200,0.0034
0.1210,0.1147,0.1123,0.0001,0.0057,0.0001,200,0.0033
0.0036,0.0000,0.0000,0.0000,0.0035,0.0000,200,0.1223
0.0033,0.0000,0.0000,0.0000,0.0030,0.0001,200,0.1235
0.1245,0.1142,0.1128,0.0003,0.0094,0.0001,200,0.0031
0.1247,0.1135,0.1131,0.0002,0.0108,0.0001,200,0.0036
0.0054,0.0000,0.0000,0.0000,0.0052,0.0001,200,0.1243
0.1274,0.1145,0.1131,0.0003,0.0119,0.0002,200,0.0031
0.1270,0.1137,0.1129,0.0005,0.0128,0.0000,200,0.0037
0.0049,0.0000,0.0000,0.0000,0.0048,0.0000,200,0.1259
0.0098,0.0000,0.0000,0.0001,0.0096,0.0001,200,0.1226
0.0059,0.0000,0.0000,0.0000,0.0057,0.0001,200,0.1268
0.0064,0.0000,0.0000,0.0000,0.0063,0.0001,200,0.1276
0.0059,0.0000,0.0000,0.0000,0.0058,0.0001,200,0.1282
0.0059,0.0000,0.0000,0.0000,0.0058,0.0001,200,0.1297
0.0049,0.0000,0.0000,0.0000,0.0048,0.0000,200,0.1307
0.0075,0.0000,0.0000,0.0000,0.0074,0.0001,200,0.1308
0.0059,0.0000,0.0000,0.0000,0.0058,0.0000,200,0.1324
0.0078,0.0000,0.0000,0.0000,0.0077,0.0001,200,0.1305
0.0058,0.0000,0.0000,0.0000,0.0057,0.0001,200,0.1340
0.0028,0.0000,0.0000,0.0000,0.0027,0.0001,200,0.1398
0.0044,0.0000,0.0000,0.0000,0.0042,0.0001,200,0.1383
0.0063,0.0000,0.0000,0.0001,0.0061,0.0001,200,0.1383
0.0093,0.0000,0.0000,0.0001,0.0088,0.0001,200,0.1427
0.0081,0.0000,0.0000,0.0000,0.0080,0.0000,200,0.1446
0.0074,0.0000,0.0000,0.0000,0.0072,0.0001,200,0.1521
0.0030,0.0000,0.0000,0.0001,0.0028,0.0001,200,0.1594
0.0033,0.0000,0.0000,0.0000,0.0031,0.0001,200,0.1624
0.0036,0.0000,0.0000,0.0000,0.0034,0.0001,200,0.1658
0.1677,0.1145,0.1130,0.0003,0.0524,0.0001,200,0.0031
0.0029,0.0000,0.0000,0.0000,0.0028,0.0001,200,0.1708
0.0053,0.0000,0.0000,0.0001,0.0051,0.0001,200,0.1736
0.0030,0.0000,0.0000,0.0000,0.0029,0.0000,200,0.1789
0.0028,0.0000,0.0000,0.0000,0.0026,0.0001,200,0.1819
0.0808,0.0000,0.0000,0.0000,0.0807,0.0001,200,0.1384
0.0043,0.0000,0.0000,0.0000,0.0042,0.0001,200,0.2192
0.0030,0.0000,0.0000,0.0000,0.0029,0.0001,200,0.2235
0.2284,0.1142,0.1134,0.0009,0.1131,0.0001,200,0.0030
0.0049,0.0000,0.0000,0.0000,0.0048,0.0001,200,0.2265
0.0794,0.0000,0.0000,0.0000,0.0792,0.0000,200,0.1527
0.0989,0.0000,0.0000,0.0000,0.0987,0.0001,200,0.1342
0.0906,0.0000,0.0000,0.0000,0.0904,0.0001,200,0.1426
0.0035,0.0000,0.0000,0.0000,0.0034,0.0001,200,0.2314
0.0049,0.0000,0.0000,0.0000,0.0048,0.0001,200,0.2320
0.0039,0.0000,0.0000,0.0000,0.0037,0.0001,200,0.2332
0.0034,0.0000,0.0000,0.0000,0.0033,0.0000,200,0.2350
0.1086,0.0000,0.0000,0.0001,0.1085,0.0001,200,0.1327
0.0048,0.0000,0.0000,0.0000,0.0047,0.0001,200,0.2370
0.0090,0.0000,0.0000,0.0000,0.0089,0.0001,200,0.2371
0.0079,0.0000,0.0000,0.0000,0.0077,0.0001,200,0.2384
