response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0101,0.0045,0.0031,0.0003,0.0044,0.0003,200,0.0042
0.0106,0.0046,0.0037,0.0002,0.0054,0.0002,200,0.0041
0.0126,0.0047,0.0036,0.0002,0.0077,0.0001,200,0.0046
0.0139,0.0044,0.0035,0.0001,0.0093,0.0001,200,0.0048
0.0141,0.0043,0.0030,0.0001,0.0095,0.0000,200,0.0047
0.0143,0.0048,0.0036,0.0003,0.0092,0.0001,200,0.0046
0.0149,0.0043,0.0031,0.0000,0.0097,0.0001,200,0.0042
0.0150,0.0055,0.0034,0.0019,0.0071,0.0001,200,0.0042
0.0155,0.0059,0.0036,0.0001,0.0094,0.0001,200,0.0049
0.0157,0.0032,0.0026,0.0005,0.0114,0.0001,200,0.0050
0.0167,0.0041,0.0030,0.0026,0.0099,0.0001,200,0.0052
0.0035,0.0000,0.0000,0.0000,0.0034,0.0001,200,0.0187
0.0032,0.0000,0.0000,0.0000,0.0031,0.0000,200,0.0204
0.0197,0.0043,0.0037,0.0003,0.0150,0.0001,200,0.0046
0.0191,0.0000,0.0031,0.0001,0.0099,0.0000,200,0.0053
0.0039,0.0000,0.0000,0.0000,0.0038,0.0000,200,0.0223
0.0234,0.0061,0.0031,0.0001,0.0168,0.0000,200,0.0042
0.0036,0.0000,0.0000,0.0000,0.0035,0.0000,200,0.0242
0.0097,0.0000,0.0000,0.0000,0.0096,0.0000,200,0.0187
0.0235,0.0044,0.0030,0.0014,0.0177,0.0000,200,0.0053
0.0062,0.0000,0.0000,0.0000,0.0061,0.0001,200,0.0243
0.0045,0.0000,0.0000,0.0000,0.0044,0.0000,200,0.0262
0.0032,0.0000,0.0000,0.0000,0.0032,0.0000,200,0.0276
0.0032,0.0000,0.0000,0.0000,0.0031,0.0000,200,0.0288
0.0052,0.0000,0.0000,0.0000,0.0051,0.0001,200,0.0279
0.0038,0.0000,0.0000,0.0000,0.0037,0.0000,200,0.0307
0.0039,0.0000,0.0000,0.0000,0.0038,0.0000,200,0.0308
0.0025,0.0000,0.0000,0.0000,0.0024,0.0001,200,0.0331
0.0021,0.0000,0.0000,0.0000,0.0020,0.0000,200,0.0348
0.0034,0.0000,0.0000,0.0000,0.0033,0.0000,200,0.0344
0.0473,0.0000,0.0000,0.0000,0.0472,0.0001,200,0.0148
0.0485,0.0000,0.0060,0.0001,0.0481,0.0001,200,0.0143
0.0395,0.0000,0.0000,0.0000,0.0394,0.0001,200,0.0237
0.0498,0.0000,0.0000,0.0000,0.0497,0.0001,200,0.0173
0.0477,0.0000,0.0000,0.0000,0.0476,0.0001,200,0.0219
0.0506,0.0000,0.0000,0.0000,0.0505,0.0001,200,0.0191
0.0649,0.0040,0.0030,0.0003,0.0605,0.0001,200,0.0048
0.0072,0.0000,0.0000,0.0000,0.0071,0.0000,200,0.0632
0.0667,0.0050,0.0037,0.0036,0.0577,0.0001,200,0.0043
0.0054,0.0000,0.0000,0.0000,0.0053,0.0001,200,0.0697
0.0093,0.0000,0.0000,0.0000,0.0092,0.0001,200,0.0671
0.0719,0.0038,0.0029,0.0006,0.0670,0.0001,200,0.0046
0.0158,0.0000,0.0000,0.0000,0.0156,0.0000,200,0.0628
0.0581,0.0000,0.0000,0.0000,0.0580,0.0001,200,0.0207
0.0044,0.0000,0.0000,0.0000,0.0043,0.0000,200,0.0751
0.0793,0.0096,0.0031,0.0001,0.0695,0.0001,200,0.0048
0.0147,0.0000,0.0000,0.0000,0.0144,0.0001,200,0.0697
