response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1653,0.1593,0.1589,0.0001,0.0057,0.0001,200,0.0059
0.1651,0.1593,0.1589,0.0000,0.0057,0.0001,200,0.0062
0.1711,0.0000,0.1594,0.0000,0.0046,0.0001,200,0.0050
0.2050,0.1600,0.1598,0.0001,0.0449,0.0001,200,0.0056
0.2104,0.1594,0.1589,0.0000,0.0509,0.0001,200,0.0061
0.2113,0.1595,0.1589,0.0001,0.0516,0.0001,200,0.0058
0.2128,0.1591,0.1589,0.0001,0.0535,0.0001,200,0.0061
0.2142,0.0000,0.1589,0.0000,0.0030,0.0000,200,0.0060
0.2201,0.1595,0.1588,0.0001,0.0604,0.0000,200,0.0057
0.0651,0.0000,0.0000,0.0000,0.0173,0.0001,200,0.1713
0.2356,0.1926,0.1588,0.0001,0.0427,0.0001,200,0.0056
0.2406,0.1917,0.1597,0.0001,0.0487,0.0001,200,0.0055
0.2451,0.0000,0.1590,0.0000,0.0334,0.0001,200,0.0062
0.2465,0.2084,0.1597,0.0001,0.0380,0.0000,200,0.0055
0.2493,0.1902,0.1589,0.0002,0.0570,0.0019,200,0.0062
0.0395,0.0000,0.0280,0.0001,0.0319,0.0001,200,0.2189
0.2553,0.0000,0.1583,0.0001,0.0439,0.0001,200,0.0061
0.2575,0.2099,0.1597,0.0001,0.0475,0.0000,200,0.0055
0.2584,0.0000,0.1595,0.0000,0.0872,0.0001,200,0.0050
0.2615,0.2102,0.1599,0.0000,0.0511,0.0001,200,0.0056
0.2649,0.0000,0.1595,0.0001,0.0595,0.0001,200,0.0054
0.0994,0.0000,0.0758,0.0001,0.0506,0.0000,200,0.1713
0.0379,0.0000,0.0105,0.0001,0.0374,0.0001,200,0.2363
0.0050,0.0000,0.0000,0.0000,0.0049,0.0001,200,0.2703
0.2699,0.0000,0.1596,0.0000,0.0594,0.0000,200,0.0055
0.0724,0.0000,0.0367,0.0000,0.0570,0.0001,200,0.2106
0.2789,0.1592,0.1589,0.0000,0.1196,0.0000,200,0.0063
0.2823,0.0000,0.1596,0.0000,0.0732,0.0001,200,0.0051
0.1164,0.0000,0.0711,0.0000,0.0720,0.0001,200,0.1761
0.0623,0.0000,0.0000,0.0000,0.0622,0.0001,200,0.2412
