response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1266,0.1190,0.1187,0.0001,0.0073,0.0001,200,0.0033
0.1264,0.1180,0.1175,0.0001,0.0082,0.0001,200,0.0035
0.1298,0.1198,0.1180,0.0002,0.0095,0.0001,200,0.0031
0.1295,0.1183,0.1171,0.0001,0.0110,0.0000,200,0.0034
0.1292,0.1178,0.1175,0.0000,0.0114,0.0000,200,0.0039
0.1298,0.1181,0.1174,0.0001,0.0111,0.0005,200,0.0034
0.1321,0.1179,0.1170,0.0001,0.0137,0.0000,200,0.0030
0.1322,0.0000,0.1186,0.0000,0.0052,0.0000,200,0.0030
0.1315,0.1174,0.1172,0.0004,0.0137,0.0000,200,0.0038
0.1334,0.0000,0.1178,0.0000,0.0064,0.0000,200,0.0031
0.1337,0.0000,0.1173,0.0001,0.0036,0.0000,200,0.0029
0.1346,0.0000,0.1175,0.0000,0.0043,0.0000,200,0.0029
0.1355,0.0000,0.1168,0.0000,0.0051,0.0000,200,0.0030
0.1361,0.0000,0.1169,0.0001,0.0037,0.0000,200,0.0030
0.1380,0.0000,0.1169,0.0000,0.0056,0.0000,200,0.0036
0.1391,0.0000,0.1169,0.0000,0.0054,0.0000,200,0.0030
0.1389,0.0000,0.1169,0.0000,0.0071,0.0001,200,0.0035
0.1401,0.0000,0.1185,0.0000,0.0102,0.0000,200,0.0033
0.1407,0.0000,0.1169,0.0000,0.0071,0.0000,200,0.0030
0.1440,0.0000,0.1171,0.0000,0.0093,0.0000,200,0.0030
0.1481,0.0000,0.1174,0.0000,0.0128,0.0000,200,0.0038
0.1486,0.0000,0.1172,0.0000,0.0139,0.0000,200,0.0038
0.1513,0.0000,0.1174,0.0000,0.0134,0.0000,200,0.0039
0.1517,0.0000,0.1175,0.0000,0.0133,0.0000,200,0.0039
0.0262,0.0000,0.0000,0.0000,0.0122,0.0000,200,0.1299
0.0267,0.0000,0.0000,0.0000,0.0129,0.0000,200,0.1299
0.0243,0.0000,0.0000,0.0000,0.0100,0.0000,200,0.1328
0.0244,0.0000,0.0000,0.0000,0.0046,0.0001,200,0.1328
0.1537,0.0000,0.1163,0.0000,0.0151,0.0000,200,0.0040
0.0250,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.1332
0.0264,0.0000,0.0000,0.0000,0.0055,0.0001,200,0.1353
0.0265,0.0000,0.0000,0.0000,0.0063,0.0001,200,0.1365
0.0278,0.0000,0.0000,0.0000,0.0073,0.0000,200,0.1352
0.0274,0.0000,0.0000,0.0000,0.0068,0.0000,200,0.1367
0.0263,0.0000,0.0000,0.0000,0.0070,0.0000,200,0.1385
0.0305,0.0000,0.0000,0.0000,0.0103,0.0000,200,0.1351
0.0273,0.0000,0.0000,0.0000,0.0082,0.0000,200,0.1391
0.0257,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.1424
0.0212,0.0000,0.0000,0.0000,0.0050,0.0000,200,0.1470
0.0321,0.0000,0.0000,0.0000,0.0123,0.0000,200,0.1375
0.0134,0.0000,0.0000,0.0000,0.0035,0.0000,200,0.1566
0.0149,0.0000,0.0000,0.0000,0.0048,0.0000,200,0.1556
0.0186,0.0000,0.0000,0.0000,0.0069,0.0000,200,0.1524
0.0283,0.0000,0.0000,0.0000,0.0089,0.0000,200,0.1437
0.0185,0.0000,0.0000,0.0000,0.0088,0.0000,200,0.1552
0.0163,0.0000,0.0000,0.0000,0.0044,0.0000,200,0.1581
0.0181,0.0000,0.0000,0.0000,0.0060,0.0000,200,0.1576
0.0145,0.0000,0.0000,0.0002,0.0055,0.0000,200,0.1617
0.0199,0.0000,0.0000,0.0000,0.0089,0.0000,200,0.1572
0.0213,0.0000,0.0000,0.0000,0.0103,0.0000,200,0.1572
0.0168,0.0000,0.0000,0.0000,0.0086,0.0000,200,0.1630
0.0132,0.0000,0.0000,0.0000,0.0068,0.0000,200,0.1682
0.0095,0.0000,0.0000,0.0000,0.0054,0.0000,200,0.1745
0.0139,0.0000,0.0000,0.0000,0.0072,0.0000,200,0.1705
0.0207,0.0000,0.0000,0.0000,0.0126,0.0000,200,0.1641
0.0168,0.0000,0.0000,0.0000,0.0111,0.0000,200,0.1681
0.0099,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.1762
0.0169,0.0000,0.0000,0.0000,0.0107,0.0000,200,0.1696
0.0098,0.0000,0.0000,0.0000,0.0053,0.0000,200,0.1771
0.0060,0.0000,0.0000,0.0000,0.0033,0.0000,200,0.1814
0.0180,0.0000,0.0000,0.0000,0.0117,0.0001,200,0.1700
0.0041,0.0000,0.0000,0.0000,0.0038,0.0000,200,0.1844
0.0054,0.0000,0.0000,0.0000,0.0048,0.0001,200,0.1840
0.0060,0.0000,0.0000,0.0000,0.0057,0.0000,200,0.1847
0.0084,0.0000,0.0000,0.0000,0.0070,0.0000,200,0.1849
0.0066,0.0000,0.0000,0.0000,0.0059,0.0000,200,0.1869
0.0082,0.0000,0.0000,0.0001,0.0076,0.0000,200,0.1862
0.0090,0.0000,0.0000,0.0000,0.0082,0.0000,200,0.1874
0.0066,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.1907
0.0096,0.0000,0.0000,0.0000,0.0090,0.0000,200,0.1880
0.0087,0.0000,0.0000,0.0000,0.0085,0.0000,200,0.1894
0.0052,0.0000,0.0000,0.0000,0.0051,0.0000,200,0.1934
0.0122,0.0000,0.0000,0.0001,0.0116,0.0002,200,0.1866
0.0060,0.0000,0.0000,0.0000,0.0059,0.0000,200,0.1943
0.0037,0.0000,0.0000,0.0000,0.0036,0.0000,200,0.1973
0.0290,0.0000,0.0000,0.0000,0.0289,0.0001,200,0.1987
0.0345,0.0000,0.0000,0.0000,0.0344,0.0001,200,0.1932
0.0298,0.0000,0.0000,0.0000,0.0297,0.0000,200,0.1981
0.0276,0.0000,0.0000,0.0000,0.0275,0.0000,200,0.2003
0.0316,0.0000,0.0000,0.0000,0.0315,0.0000,200,0.1963
0.0292,0.0000,0.0000,0.0000,0.0291,0.0000,200,0.1988
0.0305,0.0000,0.0000,0.0000,0.0304,0.0000,200,0.1976
0.0272,0.0000,0.0000,0.0000,0.0266,0.0006,200,0.2010
0.0046,0.0000,0.0000,0.0000,0.0045,0.0000,200,0.2278
0.0074,0.0000,0.0000,0.0000,0.0073,0.0001,200,0.2280
0.0082,0.0000,0.0000,0.0000,0.0076,0.0000,200,0.2279
0.0108,0.0000,0.0000,0.0000,0.0107,0.0001,200,0.2279
0.0073,0.0000,0.0000,0.0000,0.0072,0.0000,200,0.2324
0.0126,0.0000,0.0000,0.0000,0.0125,0.0001,200,0.2281
0.0133,0.0000,0.0000,0.0001,0.0131,0.0000,200,0.2282
