response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0919,0.0880,0.0873,0.0001,0.0036,0.0002,200,0.0043
0.0950,0.0881,0.0878,0.0006,0.0061,0.0001,200,0.0041
0.0956,0.0880,0.0878,0.0002,0.0073,0.0000,200,0.0041
0.0965,0.0000,0.0877,0.0000,0.0041,0.0001,200,0.0039
0.0978,0.0000,0.0879,0.0000,0.0028,0.0000,200,0.0043
0.0994,0.0000,0.0877,0.0000,0.0032,0.0000,200,0.0044
0.0995,0.0000,0.0874,0.0000,0.0040,0.0000,200,0.0043
0.1011,0.0000,0.0872,0.0000,0.0034,0.0000,200,0.0045
0.1012,0.0000,0.0874,0.0000,0.0017,0.0000,200,0.0045
0.1035,0.0000,0.0875,0.0000,0.0035,0.0000,200,0.0040
0.0121,0.0000,0.0000,0.0000,0.0026,0.0000,200,0.0962
0.0094,0.0000,0.0000,0.0000,0.0027,0.0000,200,0.0991
0.0097,0.0000,0.0000,0.0000,0.0019,0.0000,200,0.0997
0.0112,0.0000,0.0000,0.0000,0.0031,0.0000,200,0.1004
0.0097,0.0000,0.0000,0.0000,0.0031,0.0000,200,0.1020
0.0095,0.0000,0.0000,0.0000,0.0039,0.0000,200,0.1038
0.0093,0.0000,0.0000,0.0000,0.0031,0.0000,200,0.1056
0.0113,0.0000,0.0000,0.0000,0.0034,0.0000,200,0.1038
0.0100,0.0000,0.0000,0.0000,0.0023,0.0000,200,0.1057
0.0090,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.1085
0.0106,0.0000,0.0000,0.0000,0.0024,0.0000,200,0.1094
0.0118,0.0000,0.0000,0.0000,0.0050,0.0000,200,0.1083
0.0129,0.0000,0.0000,0.0000,0.0053,0.0000,200,0.1074
0.0124,0.0000,0.0000,0.0000,0.0039,0.0000,200,0.1117
0.0112,0.0000,0.0000,0.0000,0.0041,0.0000,200,0.1134
0.0136,0.0000,0.0000,0.0000,0.0051,0.0000,200,0.1116
0.0117,0.0000,0.0000,0.0000,0.0023,0.0001,200,0.1151
0.0123,0.0000,0.0000,0.0000,0.0034,0.0001,200,0.1157
0.0106,0.0000,0.0000,0.0000,0.0028,0.0000,200,0.1175
0.0127,0.0000,0.0000,0.0000,0.0046,0.0001,200,0.1202
0.0129,0.0000,0.0000,0.0000,0.0051,0.0000,200,0.1204
0.0134,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.1200
0.0109,0.0000,0.0000,0.0000,0.0020,0.0000,200,0.1246
0.0118,0.0000,0.0000,0.0000,0.0035,0.0000,200,0.1252
0.0130,0.0000,0.0000,0.0001,0.0042,0.0000,200,0.1242
0.0097,0.0000,0.0000,0.0000,0.0023,0.0001,200,0.1281
0.0062,0.0000,0.0000,0.0000,0.0024,0.0001,200,0.1334
0.0065,0.0000,0.0000,0.0000,0.0028,0.0000,200,0.1333
0.0059,0.0000,0.0000,0.0000,0.0034,0.0000,200,0.1355
0.0052,0.0000,0.0000,0.0000,0.0023,0.0000,200,0.1371
0.0090,0.0000,0.0000,0.0000,0.0062,0.0001,200,0.1370
0.0094,0.0000,0.0000,0.0000,0.0068,0.0001,200,0.1399
0.0118,0.0000,0.0000,0.0000,0.0082,0.0000,200,0.1379
0.0055,0.0000,0.0018,0.0000,0.0049,0.0001,200,0.1492
0.0126,0.0000,0.0087,0.0000,0.0055,0.0001,200,0.1423
0.0136,0.0000,0.0095,0.0000,0.0089,0.0000,200,0.1414
0.0054,0.0008,0.0004,0.0000,0.0044,0.0001,200,0.1497
0.0022,0.0000,0.0000,0.0001,0.0021,0.0000,200,0.1548
0.0047,0.0000,0.0000,0.0000,0.0046,0.0001,200,0.1549
0.0047,0.0000,0.0000,0.0000,0.0046,0.0000,200,0.1550
0.0044,0.0000,0.0000,0.0000,0.0043,0.0001,200,0.1570
0.0065,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.1551
0.0027,0.0000,0.0000,0.0000,0.0027,0.0000,200,0.1597
0.0032,0.0000,0.0000,0.0000,0.0031,0.0000,200,0.1615
0.0034,0.0000,0.0000,0.0000,0.0033,0.0000,200,0.1614
0.0052,0.0000,0.0000,0.0000,0.0051,0.0000,200,0.1596
0.0045,0.0000,0.0000,0.0000,0.0044,0.0001,200,0.1625
0.0163,0.0000,0.0000,0.0000,0.0160,0.0003,200,0.1670
0.0187,0.0000,0.0000,0.0000,0.0184,0.0003,200,0.1647
0.0187,0.0000,0.0000,0.0000,0.0186,0.0001,200,0.1648
0.0190,0.0000,0.0000,0.0000,0.0189,0.0001,200,0.1647
0.0171,0.0000,0.0000,0.0000,0.0170,0.0001,200,0.1835
