response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1062,0.1026,0.1023,0.0001,0.0033,0.0001,200,0.0057
0.1097,0.1024,0.1023,0.0000,0.0072,0.0001,200,0.0057
0.1098,0.1022,0.1021,0.0001,0.0075,0.0001,200,0.0055
0.1099,0.1020,0.1016,0.0002,0.0076,0.0000,200,0.0055
0.1104,0.1026,0.1022,0.0001,0.0076,0.0000,200,0.0052
0.1133,0.0000,0.1023,0.0000,0.0027,0.0001,200,0.0048
0.1128,0.0000,0.1021,0.0000,0.0025,0.0001,200,0.0054
0.1154,0.0000,0.1021,0.0000,0.0051,0.0000,200,0.0053
0.1157,0.0000,0.1015,0.0000,0.0055,0.0000,200,0.0054
0.1166,0.0000,0.1023,0.0000,0.0058,0.0000,200,0.0048
0.1163,0.0000,0.1023,0.0000,0.0035,0.0000,200,0.0056
0.1179,0.0000,0.1021,0.0000,0.0053,0.0000,200,0.0057
0.1192,0.0000,0.1019,0.0000,0.0043,0.0000,200,0.0059
0.1206,0.0000,0.1000,0.0000,0.0046,0.0000,200,0.0056
0.0147,0.0000,0.0000,0.0000,0.0045,0.0000,200,0.1118
0.0129,0.0000,0.0000,0.0000,0.0031,0.0001,200,0.1154
0.0151,0.0000,0.0000,0.0000,0.0068,0.0000,200,0.1153
0.0151,0.0000,0.0000,0.0000,0.0042,0.0000,200,0.1154
0.1245,0.0000,0.1019,0.0000,0.0095,0.0000,200,0.0061
0.0162,0.0000,0.0000,0.0000,0.0051,0.0000,200,0.1156
0.0163,0.0000,0.0000,0.0000,0.0037,0.0000,200,0.1182
0.0164,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.1181
0.0140,0.0000,0.0000,0.0000,0.0040,0.0000,200,0.1207
0.0137,0.0000,0.0000,0.0000,0.0041,0.0000,200,0.1211
0.0175,0.0000,0.0000,0.0000,0.0071,0.0001,200,0.1215
0.0141,0.0000,0.0000,0.0000,0.0044,0.0000,200,0.1251
0.0156,0.0000,0.0000,0.0000,0.0045,0.0000,200,0.1236
0.0190,0.0000,0.0000,0.0000,0.0063,0.0001,200,0.1219
0.0163,0.0000,0.0000,0.0000,0.0076,0.0000,200,0.1262
0.0140,0.0000,0.0000,0.0000,0.0053,0.0000,200,0.1305
0.0164,0.0000,0.0000,0.0000,0.0054,0.0001,200,0.1283
0.0182,0.0000,0.0000,0.0000,0.0056,0.0000,200,0.1265
0.0158,0.0000,0.0000,0.0000,0.0055,0.0000,200,0.1307
0.0129,0.0000,0.0000,0.0000,0.0027,0.0001,200,0.1347
0.0152,0.0000,0.0000,0.0000,0.0051,0.0000,200,0.1348
0.0184,0.0000,0.0000,0.0000,0.0075,0.0000,200,0.1317
0.0156,0.0000,0.0000,0.0000,0.0055,0.0000,200,0.1346
0.0118,0.0000,0.0000,0.0000,0.0042,0.0000,200,0.1390
0.0130,0.0000,0.0000,0.0000,0.0046,0.0000,200,0.1392
0.0094,0.0000,0.0000,0.0000,0.0036,0.0000,200,0.1445
0.0141,0.0000,0.0000,0.0000,0.0050,0.0000,200,0.1409
0.0126,0.0000,0.0000,0.0001,0.0048,0.0000,200,0.1426
0.0119,0.0000,0.0000,0.0000,0.0044,0.0000,200,0.1465
0.0146,0.0000,0.0000,0.0000,0.0069,0.0000,200,0.1447
0.0094,0.0000,0.0000,0.0000,0.0041,0.0000,200,0.1500
0.0134,0.0000,0.0000,0.0000,0.0058,0.0000,200,0.1475
0.0163,0.0000,0.0000,0.0000,0.0101,0.0000,200,0.1447
0.0119,0.0000,0.0000,0.0000,0.0048,0.0000,200,0.1522
0.0057,0.0000,0.0000,0.0000,0.0039,0.0000,200,0.1593
0.0081,0.0000,0.0000,0.0000,0.0055,0.0000,200,0.1584
0.0138,0.0000,0.0000,0.0000,0.0083,0.0000,200,0.1539
0.0171,0.0000,0.0000,0.0000,0.0094,0.0000,200,0.1508
0.0097,0.0000,0.0000,0.0000,0.0048,0.0000,200,0.1593
0.0090,0.0000,0.0000,0.0000,0.0048,0.0000,200,0.1610
0.0067,0.0000,0.0000,0.0000,0.0043,0.0000,200,0.1642
0.0258,0.0000,0.0057,0.0000,0.0253,0.0002,200,0.1677
0.0267,0.0000,0.0055,0.0000,0.0254,0.0001,200,0.1679
0.0298,0.0000,0.0083,0.0000,0.0270,0.0000,200,0.1650
0.0269,0.0000,0.0043,0.0000,0.0259,0.0001,200,0.1691
0.0267,0.0000,0.0035,0.0000,0.0257,0.0001,200,0.1699
0.0288,0.0000,0.0014,0.0002,0.0268,0.0001,200,0.1709
0.0076,0.0000,0.0000,0.0000,0.0075,0.0000,200,0.1935
0.0087,0.0000,0.0000,0.0000,0.0086,0.0001,200,0.1946
0.0088,0.0000,0.0000,0.0000,0.0087,0.0000,200,0.1959
0.0131,0.0000,0.0000,0.0000,0.0129,0.0001,200,0.1948
0.0128,0.0000,0.0000,0.0000,0.0127,0.0001,200,0.1967
0.0116,0.0000,0.0000,0.0000,0.0116,0.0000,200,0.2011
0.0090,0.0000,0.0000,0.0000,0.0088,0.0001,200,0.2047
0.0029,0.0000,0.0000,0.0000,0.0028,0.0001,200,0.2127
0.1164,0.0000,0.0345,0.0000,0.1084,0.0001,200,0.1391
0.1344,0.0000,0.0386,0.0000,0.1245,0.0001,200,0.1345
0.1031,0.0000,0.0068,0.0000,0.1018,0.0000,200,0.1665
0.1241,0.0000,0.0375,0.0001,0.1178,0.0001,200,0.1501
0.1289,0.0000,0.0229,0.0000,0.1223,0.0001,200,0.1502
0.1551,0.0000,0.0422,0.0001,0.1431,0.0001,200,0.1305
0.0828,0.0000,0.0000,0.0000,0.0827,0.0000,200,0.2079
0.1454,0.0000,0.0181,0.0001,0.1398,0.0001,200,0.1551
0.0925,0.0000,0.0000,0.0001,0.0923,0.0001,200,0.2137
0.1077,0.0000,0.0000,0.0000,0.1076,0.0001,200,0.1996
0.1471,0.0000,0.0126,0.0000,0.1418,0.0001,200,0.1610
0.1562,0.0000,0.0181,0.0001,0.1506,0.0001,200,0.1551
0.1099,0.0000,0.0000,0.0000,0.1097,0.0002,200,0.2034
0.1347,0.0000,0.0000,0.0000,0.1346,0.0001,200,0.2095
0.1370,0.0000,0.0000,0.0000,0.1368,0.0001,200,0.2156
0.1031,0.0000,0.0000,0.0000,0.1030,0.0001,200,0.2555
0.0913,0.0000,0.0000,0.0000,0.0911,0.0001,200,0.2696
0.0990,0.0000,0.0000,0.0000,0.0989,0.0001,200,0.2689
0.1081,0.0000,0.0000,0.0000,0.1080,0.0001,200,0.2742
0.1066,0.0000,0.0000,0.0000,0.1064,0.0001,200,0.2791
0.1084,0.0000,0.0000,0.0000,0.1081,0.0002,200,0.2856
0.0977,0.0000,0.0000,0.0000,0.0976,0.0001,200,0.3081
0.1048,0.0000,0.0000,0.0001,0.1045,0.0001,200,0.3073
0.0997,0.0000,0.0000,0.0000,0.0995,0.0001,200,0.3133
0.1100,0.0000,0.0000,0.0000,0.1100,0.0000,200,0.3062
0.1164,0.0000,0.0000,0.0000,0.1163,0.0000,200,0.3006
0.1339,0.0000,0.0000,0.0000,0.1338,0.0001,200,0.2907
0.1242,0.0000,0.0000,0.0000,0.1241,0.0001,200,0.3113
0.1139,0.0000,0.0000,0.0000,0.1138,0.0001,200,0.3442
0.1061,0.0000,0.0000,0.0000,0.1060,0.0001,200,0.3609
0.1122,0.0000,0.0000,0.0000,0.1121,0.0001,200,0.3587
0.1282,0.0000,0.0000,0.0001,0.1280,0.0001,200,0.3526
0.0873,0.0000,0.0000,0.0000,0.0872,0.0001,200,0.3940
0.0847,0.0000,0.0000,0.0000,0.0846,0.0001,200,0.4059
0.1251,0.0000,0.0000,0.0000,0.1250,0.0001,200,0.3679
0.1167,0.0000,0.0000,0.0000,0.1166,0.0001,200,0.3823
0.0991,0.0000,0.0000,0.0000,0.0990,0.0001,200,0.4162
0.1014,0.0000,0.0000,0.0000,0.1013,0.0001,200,0.4169
0.1009,0.0000,0.0000,0.0000,0.1008,0.0001,200,0.4246
0.1495,0.0000,0.0000,0.0000,0.1494,0.0000,200,0.3856
0.1060,0.0000,0.0000,0.0000,0.1058,0.0001,200,0.4355
0.1311,0.0000,0.0000,0.0001,0.1310,0.0000,200,0.4130
0.1361,0.0000,0.0000,0.0001,0.1359,0.0000,200,0.4122
0.0679,0.0000,0.0000,0.0000,0.0678,0.0001,200,0.4906
0.1018,0.0000,0.0000,0.0000,0.1016,0.0001,200,0.4581
0.1026,0.0000,0.0000,0.0000,0.1025,0.0001,200,0.4670
0.0902,0.0000,0.0000,0.0000,0.0901,0.0001,200,0.4813
0.0813,0.0000,0.0000,0.0000,0.0812,0.0001,200,0.4991
0.1026,0.0000,0.0000,0.0000,0.1025,0.0000,200,0.4808
0.1015,0.0000,0.0000,0.0000,0.1013,0.0001,200,0.4931
0.0845,0.0000,0.0000,0.0002,0.0841,0.0001,200,0.5153
0.1291,0.0000,0.0000,0.0000,0.1290,0.0000,200,0.4709
0.0901,0.0000,0.0000,0.0001,0.0899,0.0001,200,0.5183
0.0836,0.0000,0.0000,0.0000,0.0834,0.0001,200,0.5483
0.1090,0.0000,0.0000,0.0000,0.1089,0.0001,200,0.5255
0.1093,0.0000,0.0000,0.0000,0.1093,0.0001,200,0.5352
0.1048,0.0000,0.0000,0.0000,0.1047,0.0001,200,0.5415
0.1071,0.0000,0.0000,0.0000,0.1070,0.0001,200,0.5441
0.0941,0.0000,0.0000,0.0000,0.0939,0.0000,200,0.5585
0.0843,0.0000,0.0000,0.0000,0.0842,0.0000,200,0.5696
0.0975,0.0000,0.0000,0.0000,0.0973,0.0002,200,0.5599
0.1053,0.0000,0.0000,0.0000,0.1051,0.0001,200,0.5803
0.0827,0.0000,0.0000,0.0000,0.0825,0.0001,200,0.6085
0.1134,0.0000,0.0000,0.0000,0.1133,0.0001,200,0.5834
0.1051,0.0000,0.0000,0.0000,0.1049,0.0000,200,0.5946
0.1286,0.0000,0.0000,0.0000,0.1285,0.0000,200,0.5715
0.1055,0.0000,0.0000,0.0000,0.1054,0.0001,200,0.5998
0.1107,0.0000,0.0000,0.0000,0.1106,0.0001,200,0.6000
0.0842,0.0000,0.0000,0.0000,0.0841,0.0001,200,0.6463
0.1001,0.0000,0.0000,0.0000,0.1000,0.0001,200,0.6318
0.0818,0.0000,0.0000,0.0000,0.0817,0.0001,200,0.6512
0.1057,0.0000,0.0000,0.0000,0.1056,0.0000,200,0.6346
0.0921,0.0000,0.0000,0.0000,0.0920,0.0001,200,0.6525
0.0996,0.0000,0.0000,0.0000,0.0994,0.0001,200,0.6574
0.1037,0.0000,0.0000,0.0000,0.1036,0.0001,200,0.6539
0.1151,0.0000,0.0000,0.0000,0.1150,0.0000,200,0.6445
0.0919,0.0000,0.0000,0.0000,0.0918,0.0000,200,0.6857
0.1135,0.0000,0.0000,0.0000,0.1133,0.0001,200,0.6912
0.0952,0.0000,0.0000,0.0000,0.0951,0.0001,200,0.7107
0.1073,0.0000,0.0000,0.0000,0.1072,0.0000,200,0.6996
0.1129,0.0000,0.0000,0.0000,0.1128,0.0001,200,0.7001
0.0916,0.0000,0.0000,0.0000,0.0915,0.0001,200,0.7306
0.1255,0.0000,0.0000,0.0001,0.1254,0.0000,200,0.6968
0.1251,0.0000,0.0000,0.0000,0.1250,0.0000,200,0.7053
0.0875,0.0000,0.0000,0.0000,0.0874,0.0001,200,0.7447
0.1078,0.0000,0.0000,0.0000,0.1076,0.0001,200,0.7320
0.1087,0.0000,0.0000,0.0000,0.1086,0.0001,200,0.7330
0.0852,0.0000,0.0000,0.0000,0.0851,0.0001,200,0.7576
0.1071,0.0000,0.0000,0.0000,0.1070,0.0001,200,0.7403
0.1097,0.0000,0.0000,0.0000,0.1095,0.0001,200,0.7570
0.0620,0.0000,0.0000,0.0000,0.0619,0.0001,200,0.8069
0.1036,0.0000,0.0000,0.0000,0.1034,0.0001,200,0.7776
0.0803,0.0000,0.0000,0.0000,0.0802,0.0001,200,0.8059
0.1270,0.0000,0.0000,0.0000,0.1269,0.0001,200,0.7596
0.0711,0.0000,0.0000,0.0000,0.0710,0.0001,200,0.8223
0.0889,0.0000,0.0000,0.0000,0.0888,0.0001,200,0.8130
0.1068,0.0000,0.0000,0.0000,0.1067,0.0001,200,0.8047
0.0719,0.0000,0.0000,0.0000,0.0717,0.0001,200,0.8667
0.1115,0.0000,0.0000,0.0000,0.1113,0.0001,200,0.8322
0.0881,0.0000,0.0000,0.0000,0.0879,0.0000,200,0.8689
0.1353,0.0000,0.0000,0.0000,0.1347,0.0005,200,0.8222
0.1193,0.0000,0.0000,0.0000,0.1192,0.0001,200,0.8397
0.1121,0.0000,0.0000,0.0000,0.1120,0.0000,200,0.8474
0.1322,0.0000,0.0000,0.0000,0.1321,0.0000,200,0.8304
0.1300,0.0000,0.0000,0.0001,0.1298,0.0001,200,0.8417
0.1366,0.0000,0.0000,0.0001,0.1365,0.0001,200,0.8428
0.0916,0.0000,0.0000,0.0001,0.0914,0.0001,200,0.8934
0.0830,0.0000,0.0000,0.0000,0.0829,0.0001,200,0.9115
0.1092,0.0000,0.0000,0.0000,0.1090,0.0001,200,0.8862
0.0968,0.0000,0.0000,0.0000,0.0967,0.0001,200,0.9019
0.1195,0.0000,0.0000,0.0000,0.1193,0.0001,200,0.8812
0.1280,0.0000,0.0000,0.0000,0.1279,0.0001,200,0.8866
0.0807,0.0000,0.0000,0.0000,0.0805,0.0001,200,0.9437
0.0896,0.0000,0.0000,0.0001,0.0894,0.0001,200,0.9386
0.0749,0.0000,0.0000,0.0000,0.0747,0.0001,200,0.9596
0.0830,0.0000,0.0000,0.0000,0.0828,0.0001,200,0.9570
0.1046,0.0000,0.0000,0.0000,0.1044,0.0001,200,0.9591
0.1083,0.0000,0.0000,0.0000,0.1082,0.0000,200,0.9574
0.0824,0.0000,0.0000,0.0000,0.0823,0.0001,200,0.9945
0.1200,0.0000,0.0000,0.0000,0.1199,0.0001,200,0.9626
0.1096,0.0000,0.0000,0.0001,0.1094,0.0001,200,0.9794
0.1072,0.0000,0.0000,0.0000,0.1070,0.0001,200,0.9850
0.0985,0.0000,0.0000,0.0000,0.0983,0.0000,200,1.0006
0.1375,0.0000,0.0000,0.0000,0.1373,0.0001,200,0.9717
0.1158,0.0000,0.0000,0.0000,0.1157,0.0001,200,0.9987
0.1203,0.0000,0.0000,0.0000,0.1202,0.0001,200,0.9954
0.0876,0.0000,0.0000,0.0001,0.0873,0.0001,200,1.0282
0.1072,0.0000,0.0000,0.0000,0.1071,0.0000,200,1.0146
0.1009,0.0000,0.0000,0.0000,0.1008,0.0000,200,1.0244
0.0857,0.0000,0.0000,0.0000,0.0857,0.0000,200,1.0400
0.1044,0.0000,0.0000,0.0000,0.1043,0.0000,200,1.0345
0.1199,0.0000,0.0000,0.0000,0.1197,0.0001,200,1.0636
0.1208,0.0000,0.0000,0.0000,0.1207,0.0001,200,1.0657
0.1133,0.0000,0.0000,0.0000,0.1132,0.0000,200,1.0769
0.1136,0.0000,0.0000,0.0000,0.1134,0.0001,200,1.0825
0.1047,0.0000,0.0000,0.0000,0.1045,0.0001,200,1.0922
0.0896,0.0000,0.0000,0.0000,0.0895,0.0001,200,1.1091
0.0990,0.0000,0.0000,0.0000,0.0989,0.0000,200,1.1157
0.1284,0.0000,0.0000,0.0000,0.1283,0.0001,200,1.0890
0.1047,0.0000,0.0000,0.0000,0.1046,0.0001,200,1.1145
0.1233,0.0000,0.0000,0.0000,0.1232,0.0001,200,1.0991
0.1106,0.0000,0.0000,0.0000,0.1105,0.0001,200,1.1158
0.1051,0.0000,0.0000,0.0000,0.1050,0.0001,200,1.1218
0.1113,0.0000,0.0000,0.0000,0.1112,0.0001,200,1.1257
0.1167,0.0000,0.0000,0.0000,0.1166,0.0000,200,1.1253
0.1176,0.0000,0.0000,0.0000,0.1175,0.0000,200,1.1389
0.0821,0.0000,0.0000,0.0000,0.0819,0.0000,200,1.1835
0.0874,0.0000,0.0000,0.0000,0.0872,0.0001,200,1.1902
0.0918,0.0000,0.0000,0.0000,0.0917,0.0001,200,1.1961
0.1117,0.0000,0.0000,0.0000,0.1115,0.0001,200,1.1865
0.0942,0.0000,0.0000,0.0000,0.0941,0.0001,200,1.2147
0.0937,0.0000,0.0000,0.0000,0.0935,0.0001,200,1.2174
0.1146,0.0000,0.0000,0.0000,0.1144,0.0002,200,1.1987
0.1271,0.0000,0.0000,0.0000,0.1269,0.0001,200,1.1969
0.1038,0.0000,0.0000,0.0001,0.1036,0.0000,200,1.2270
0.1218,0.0000,0.0000,0.0000,0.1216,0.0001,200,1.2224
0.1269,0.0000,0.0000,0.0000,0.1268,0.0000,200,1.2193
0.1096,0.0000,0.0000,0.0000,0.1095,0.0000,200,1.2370
0.1223,0.0000,0.0000,0.0000,0.1222,0.0001,200,1.2264
0.1057,0.0000,0.0000,0.0000,0.1056,0.0001,200,1.2565
0.1203,0.0000,0.0000,0.0000,0.1202,0.0001,200,1.2420
0.0958,0.0000,0.0000,0.0000,0.0956,0.0002,200,1.2776
0.1143,0.0000,0.0000,0.0000,0.1141,0.0001,200,1.2655
0.0896,0.0000,0.0000,0.0000,0.0895,0.0001,200,1.2982
0.0965,0.0000,0.0000,0.0000,0.0963,0.0001,200,1.3111
0.1246,0.0000,0.0000,0.0000,0.1244,0.0001,200,1.2879
0.0962,0.0000,0.0000,0.0000,0.0960,0.0001,200,1.3239
0.1078,0.0000,0.0000,0.0000,0.1076,0.0001,200,1.3133
0.1126,0.0000,0.0000,0.0000,0.1125,0.0000,200,1.3089
0.0801,0.0000,0.0000,0.0000,0.0800,0.0001,200,1.3466
0.0871,0.0000,0.0000,0.0000,0.0870,0.0001,200,1.3487
0.1114,0.0000,0.0000,0.0000,0.1113,0.0001,200,1.3308
0.1053,0.0000,0.0000,0.0001,0.1051,0.0000,200,1.3443
0.0910,0.0000,0.0000,0.0000,0.0907,0.0002,200,1.3623
0.1075,0.0000,0.0000,0.0000,0.1073,0.0001,200,1.3462
0.1070,0.0000,0.0000,0.0000,0.1068,0.0000,200,1.3623
0.0988,0.0000,0.0000,0.0000,0.0987,0.0001,200,1.3798
0.1132,0.0000,0.0000,0.0001,0.1130,0.0001,200,1.3734
0.1129,0.0000,0.0000,0.0000,0.1127,0.0002,200,1.3879
0.0826,0.0000,0.0000,0.0000,0.0824,0.0001,200,1.4201
0.0939,0.0000,0.0000,0.0001,0.0937,0.0000,200,1.4125
0.0890,0.0000,0.0000,0.0000,0.0889,0.0001,200,1.4215
0.0915,0.0000,0.0000,0.0000,0.0914,0.0001,200,1.4211
0.1175,0.0000,0.0000,0.0000,0.1173,0.0001,200,1.4076
0.0893,0.0000,0.0000,0.0000,0.0892,0.0001,200,1.4422
0.1110,0.0000,0.0000,0.0000,0.1109,0.0001,200,1.4267
0.0786,0.0000,0.0000,0.0000,0.0785,0.0000,200,1.4692
0.1127,0.0000,0.0000,0.0000,0.1126,0.0001,200,1.4358
0.0799,0.0000,0.0000,0.0000,0.0798,0.0001,200,1.4787
