dns,tcp,user_gateway,gateway_fx
0.003264,0.003385,0.000275,0.002275
0.048092,0.048236,0.003306,0.003306
0.002039,0.00217,0.000497,0.002497
0.003719,0.003902,-0.000221,0.001779
0.00169,0.001826,0.002845,-0.000155
0.001777,0.001936,0.000916,0.000916
0.002065,0.002488,0.000269,0.003269
0.001989,0.002126,0.004,0.004
0.003844,0.003984,0.003795,0.003795
0.001853,0.001982,0.002631,-0.000369
0.003013,0.003175,0.004188,0.003188
0.112432,0.112709,0.000864,0.000864
0.001505,0.00165,0.002391,0.001391
0.002104,0.002237,0.003445,0.002445
0.003101,0.003232,0.001878,0.002878
0.131977,0.132372,0.003336,0.002336
0.001734,0.002049,-0.000765,0.000235
0.001848,0.002115,0.004236,0.001236
0.002272,0.002397,0.003453,0.000453
0.001915,0.002052,0.000884,0.001884
0.001625,0.001819,0.000328,0.001328
0.114456,0.114693,-4.1e-05,0.003959
0.002076,0.002361,-0.000324,0.000676
0.001888,0.00203,0.002702,0.001702
0.002318,0.002608,0.002515,0.003515
0.001728,0.001904,0.046455,0.045455
0.002155,0.002347,-0.000571,0.001429
0.002376,0.002674,0.001055,0.003055
0.001633,0.001761,0.003433,0.002433
0.002702,0.002851,0.000731,0.003731
0.118772,0.119093,0.002286,0.003286
0.044194,0.044359,0.000471,0.003471
0.001496,0.001763,0.002405,0.003405
0.001734,0.001865,0.002779,0.001779
0.001839,0.001984,0.000538,0.001538
0.002079,0.002204,0.002685,0.002685
0.003029,0.003154,-0.000615,0.001385
0.001944,0.002095,0.003721,0.003721
0.002427,0.002562,0.00173,0.00273
0.002782,0.002916,-6.3e-05,-6.3e-05
0.00259,0.002725,0.002736,0.000736
0.133118,0.133331,0.001898,0.000898
0.002247,0.002411,0.001223,0.002223
0.00277,0.003046,0.002891,-0.000109
0.001569,0.001869,-0.000514,0.002486
0.109335,0.109467,-4.5e-05,0.001955
0.001535,0.001669,0.003741,0.000741
0.001859,0.001985,0.000726,0.002726
0.002454,0.002756,0.004195,0.000195
0.001931,0.002069,0.000612,-0.000388
0.002386,0.002524,-0.000617,0.003383
0.094025,0.094454,0.00017,0.00417
0.001751,0.001974,-0.000231,0.000769
0.001743,0.001868,0.003745,0.000745
0.001668,0.001801,0.00377,-0.000231
0.004416,0.004569,0.000306,0.000306
0.002541,0.002855,0.002747,-0.000253
0.00225,0.002376,0.000782,-0.000218
0.002733,0.002966,0.002339,0.000339
0.002682,0.003039,-0.000616,0.002384
0.108172,0.108431,0.003882,-0.000118
0.031567,0.031706,0.000483,0.000483
0.002161,0.002509,0.000883,0.001883
0.00166,0.004024,0.000788,-0.000213
0.003011,0.003191,0.002963,-3.7e-05
0.00319,0.003466,0.004109,0.004109
0.002019,0.002203,0.002638,0.000638
0.002236,0.002446,0.003745,-0.000255
0.001997,0.002117,0.00246,0.00146
0.002403,0.002825,0.001765,-0.000235
0.002627,0.002982,0.000775,0.000775
0.078149,0.078451,0.002799,0.000799
0.00204,0.00233,0.001304,0.004304
0.001663,0.002012,0.000373,-0.000628
0.003365,0.003689,0.001165,0.002165
0.123859,0.124178,0.000316,0.003316
0.001775,0.001913,0.004091,0.002092
0.003053,0.003187,0.002127,0.000127
0.002104,0.002336,9.1e-05,9.1e-05
0.001532,0.001886,0.003225,0.000225
0.002163,0.002362,0.002887,0.000886
0.111979,0.112263,0.001376,0.000376
0.00206,0.002222,-0.000231,-0.000231
0.001823,0.00195,0.003772,0.001772
0.001694,0.001826,0.002678,0.000677
0.002754,0.003031,0.003271,0.000271
0.001578,0.001714,0.001685,0.002685
0.002091,0.002837,0.001659,0.000659
0.002047,0.002165,0.003355,0.002355
0.001881,0.002012,-0.000501,-0.000501
0.117973,0.118222,0.003425,0.002425
0.072572,0.073064,0.000246,0.003246
0.001841,0.001969,0.002013,0.001013
0.001973,0.002148,0.001733,0.001733
0.002001,0.002131,0.001587,0.003587
0.013442,0.013593,0.000673,0.002673
0.001917,0.002104,0.001675,-0.000325
0.003062,0.003202,-0.000457,-0.000457
0.001915,0.002057,0.001832,0.003832
0.001788,0.002074,0.00259,0.001591
0.002617,0.003164,0.000207,0.001207
0.105148,0.105355,0.001891,0.002891
0.001856,0.001999,0.001815,0.002815
0.002421,0.00278,0.000556,0.003556
0.001815,0.001936,0.003363,0.000363
0.11271,0.112832,0.007531,0.009531
0.001856,0.002139,-0.000215,-0.000215
0.001871,0.002035,0.00151,0.00351
0.00172,0.001931,0.002662,0.003662
0.002446,0.002632,0.002329,0.003329
0.003044,0.003206,0.004706,0.005706
0.109852,0.110195,0.002912,0.002912
0.00197,0.002103,0.001576,0.000576
0.003578,0.003789,0.000914,0.002914
0.002065,0.002238,0.0028,0.0038
0.001947,0.002213,0.001829,0.003829
0.001662,0.001837,0.000375,-0.000625
0.001695,0.001833,0.000353,0.003353
0.002381,0.002513,0.002844,-0.000156
0.001984,0.002159,0.003439,0.003439
