dns,tcp,user_gateway,gateway_fx
0.003524,0.003963,0.001769,0.00577
0.042632,0.066414,0.016501,0.018501
0.002211,0.036672,0.020766,0.017766
0.002632,0.028565,0.019138,0.018138
0.00224,0.028346,0.021044,0.018044
0.002127,0.041359,0.011579,0.015579
0.002839,0.035483,0.011941,0.014941
0.001999,0.036844,0.013694,0.017694
0.001429,0.038185,0.017673,0.016672
0.002675,0.034273,0.011807,0.013807
0.001508,0.040688,0.019693,0.018693
0.07244,0.110417,0.01869,0.01969
0.004399,0.033561,0.014443,0.016443
0.001552,0.030667,0.052429,0.054429
0.002444,0.040028,0.013657,0.013657
0.067001,0.087851,0.022734,0.024734
0.002644,0.030976,0.015144,0.017145
0.001851,0.033711,0.01763,0.01963
0.00167,0.034767,0.016061,0.019061
0.001757,0.032369,0.019056,0.017056
0.001827,0.042928,0.014361,0.013361
0.079091,0.117065,0.014617,0.016617
0.002828,0.03292,0.017727,0.016727
0.001788,0.02639,0.019008,0.019008
0.001541,0.033047,0.011308,0.013309
0.001935,0.024152,0.019599,0.021599
0.002697,0.041662,0.016241,0.017241
0.001588,0.029702,0.021555,0.019555
0.002159,0.043331,0.018711,0.020711
0.00156,0.031856,0.024585,0.024585
0.066588,0.098982,0.013328,0.016328
0.036439,0.055653,0.019352,0.017352
0.002567,0.026829,0.015488,0.015488
0.002048,0.040284,0.011173,0.014173
0.001442,0.027357,0.016443,0.016443
0.001738,0.033581,0.021398,0.022398
0.001706,0.034053,0.020415,0.018415
0.001903,0.027633,0.015062,0.015062
0.001827,0.027848,0.01756,0.01556
0.00155,0.034833,0.015481,0.013481
0.001952,0.042305,0.019759,0.019759
0.05942,0.09024,0.01814,0.01714
0.001756,0.035818,0.013792,0.013792
0.001907,0.036844,0.017515,0.018515
0.003599,0.035994,0.020048,0.016048
0.070648,0.095659,0.012113,0.011114
0.002497,0.037966,0.020101,0.020101
0.002011,0.032954,0.017862,0.018862
0.002729,0.037127,0.021243,0.021243
0.001958,0.034892,0.01835,0.01735
0.002532,0.04679,0.01855,0.01655
0.064028,0.096038,0.019384,0.019384
0.002306,0.03534,0.014065,0.015065
0.001585,0.023386,0.019085,0.016085
0.00218,0.035756,0.012637,0.016636
0.002187,0.033186,0.023879,0.021879
0.001956,0.030606,0.01711,0.02111
0.001963,0.038132,0.016436,0.016436
0.002716,0.04099,0.016463,0.016463
0.005711,0.038506,0.020323,0.020323
0.070535,0.090824,0.019065,0.016065
0.040311,0.074182,0.009159,0.010159
0.002809,0.029472,0.013561,0.013561
0.001777,0.030942,0.023275,0.022275
0.001613,0.039436,0.013562,0.013562
0.001365,0.036641,0.018222,0.017222
0.001437,0.029511,0.015845,0.017845
0.002699,0.02659,0.015786,0.015786
0.001554,0.027615,0.010126,0.014126
0.00275,0.032394,0.017387,0.016387
0.002297,0.025045,0.019499,0.016499
0.055187,0.083454,0.013156,0.013156
0.002053,0.034027,0.020785,0.022786
0.002297,0.039658,0.017946,0.015946
0.002645,0.034106,0.020328,0.018328
0.067315,0.096154,0.013985,0.015985
0.002912,0.042814,0.014809,0.016809
0.002191,0.041048,0.016535,0.015534
0.002664,0.037711,0.019226,0.016226
0.001953,0.029498,0.017486,0.014486
0.001887,0.043187,0.017495,0.015495
0.051646,0.079027,0.021348,0.018348
0.00342,0.040584,0.022909,0.022909
0.001797,0.027586,0.018996,0.017996
0.002509,0.038595,0.021149,0.017149
0.001778,0.034058,0.015682,0.016682
0.002148,0.039687,0.018759,0.016759
0.001584,0.030187,0.02116,0.02116
0.00181,0.042023,0.022477,0.019477
0.00163,0.034436,0.014537,0.014537
0.059434,0.099997,0.022505,0.020505
0.041452,0.069966,0.018313,0.017313
0.002344,0.034412,0.017767,0.018767
0.014002,0.033504,0.010291,0.011291
0.001878,0.034683,0.016696,0.013696
0.00234,0.036402,0.018378,0.020378
0.002552,0.026275,0.012814,0.015814
0.001973,0.035659,0.016194,0.017194
0.002127,0.057052,0.016458,0.015458
0.00207,0.035065,0.017572,0.016572
0.002198,0.031556,0.015808,0.017808
0.050441,0.083489,0.016436,0.015436
0.002237,0.03227,0.020515,0.018515
0.00179,0.04351,0.0177,0.0157
0.001835,0.028772,0.013993,0.014993
0.065468,0.090731,0.018149,0.018149
0.002168,0.036677,0.015177,0.015177
0.001611,0.029726,0.01722,0.018221
0.002736,0.041544,0.029367,0.028367
0.002282,0.035381,0.018339,0.016339
0.00251,0.030478,0.021499,0.020499
0.066916,0.098628,0.014798,0.015798
0.002204,0.024684,0.011158,0.011158
0.001687,0.031123,0.022416,0.021416
0.002211,0.026656,0.015165,0.018165
0.001734,0.041332,0.021651,0.018651
0.001797,0.027407,0.0183,0.0183
0.002352,0.0265,0.018431,0.017431
0.001569,0.033784,0.020643,0.020643
0.00248,0.025368,0.020893,0.017892
