dns,tcp,user_gateway,gateway_fx
0.00331,0.003609,0.005849,0.003849
0.030475,0.060877,0.025829,0.023829
0.001533,0.042326,0.028748,0.028748
0.001506,0.031777,0.028542,0.031542
0.001444,0.03864,0.03361,0.031609
0.002727,0.033538,0.034786,0.033786
0.002223,0.032256,0.0369,0.0339
0.001927,0.038645,0.028464,0.036464
0.001647,0.032308,0.031141,0.032141
0.001854,0.03094,0.04141,0.034409
0.00146,0.030796,0.035283,0.034283
0.06861,0.101468,0.021996,0.024996
0.001627,0.046846,0.029003,0.029003
0.002747,0.024488,0.028804,0.033804
0.003158,0.034344,0.038842,0.039842
0.070676,0.106707,0.030695,0.028695
0.002292,0.027457,0.038906,0.036907
0.001977,0.021337,0.034337,0.039337
0.001948,0.027413,0.03181,0.03481
0.001656,0.036899,0.034314,0.029314
0.002042,0.04163,0.025044,0.024044
0.065399,0.104391,0.039744,0.034744
0.001829,0.035823,0.036128,0.036128
0.002136,0.022556,0.043018,0.043018
0.001758,0.034888,0.034868,0.033868
0.001668,0.024134,0.028337,0.025336
0.001926,0.028166,0.032033,0.033032
0.003155,0.04006,0.026287,0.026287
0.002998,0.030758,0.031916,0.024916
0.001814,0.037212,0.036798,0.035798
0.063727,0.084305,0.035084,0.034084
0.027821,0.05364,0.027008,0.024008
0.002653,0.035993,0.024707,0.029707
0.002267,0.034971,0.030748,0.028748
0.003178,0.033136,0.028639,0.025639
0.002293,0.03263,0.036368,0.034368
0.001431,0.034689,0.032279,0.033279
0.002971,0.040264,0.031392,0.031392
0.002384,0.029351,0.037248,0.035248
0.00232,0.045586,0.02921,0.02721
0.001748,0.030781,0.018885,0.019885
0.065345,0.100767,0.034475,0.033475
0.00222,0.026169,0.035332,0.028332
0.001964,0.033411,0.042764,0.040764
0.001803,0.022327,0.028033,0.031033
0.08327,0.115741,0.038397,0.034397
0.002087,0.032792,0.038893,0.032893
0.001787,0.030227,0.031998,0.030998
0.003237,0.029748,0.024421,0.027421
0.001426,0.034732,0.027181,0.023181
0.001544,0.033674,0.031488,0.028488
0.065108,0.100737,0.033192,0.033192
0.002918,0.035206,0.063486,0.059486
0.002861,0.033637,0.033618,0.031618
0.001437,0.024893,0.028231,0.025231
0.002322,0.036997,0.035897,0.031897
0.002487,0.042855,0.029728,0.031728
0.001637,0.024056,0.030222,0.035222
0.001657,0.03167,0.037128,0.035128
0.001825,0.04524,0.033481,0.038481
0.060462,0.092262,0.039579,0.034579
0.025705,0.061336,0.033568,0.035568
0.002206,0.037295,0.033456,0.029456
0.001565,0.030954,0.030748,0.030748
0.002117,0.038683,0.020813,0.020813
0.001791,0.035111,0.026281,0.030281
0.001661,0.027848,0.02799,0.03399
0.002167,0.025663,0.038412,0.038412
0.001993,0.024263,0.027615,0.032615
0.001866,0.037118,0.034911,0.040911
0.001926,0.0436,0.034478,0.038478
0.058854,0.09181,0.033071,0.028071
0.001964,0.035584,0.030078,0.036078
0.001515,0.030407,0.030108,0.028108
0.002354,0.029418,0.035208,0.034208
0.059645,0.083174,0.034038,0.034038
0.002201,0.032743,0.027121,0.030121
0.002166,0.031775,0.027568,0.033568
0.00203,0.028569,0.026175,0.028175
0.001909,0.020097,0.041482,0.044482
0.002155,0.034678,0.026693,0.030693
0.058544,0.09314,0.028858,0.027858
0.00242,0.03298,0.038175,0.039175
0.001575,0.03283,0.024917,0.025917
0.002734,0.042193,0.030657,0.030657
0.001556,0.04148,0.037004,0.041004
0.001366,0.026954,0.040354,0.038354
0.001443,0.032076,0.032565,0.027565
0.00154,0.028294,0.028166,0.028166
0.002048,0.023063,0.033691,0.028691
0.072532,0.099517,0.037349,0.034349
0.03293,0.058847,0.029447,0.035447
0.002381,0.021967,0.031696,0.029696
0.001396,0.032375,0.025164,0.025164
0.002346,0.026273,0.034082,0.037082
0.001982,0.02882,0.034091,0.028091
0.002876,0.028961,0.036032,0.037032
0.002427,0.029326,0.035252,0.031252
0.002395,0.032616,0.030686,0.033686
0.002596,0.035079,0.039698,0.040698
0.002176,0.034644,0.029346,0.032347
0.064924,0.096734,0.041481,0.039481
0.002335,0.029578,0.032774,0.029774
0.002571,0.043029,0.038071,0.038071
0.001473,0.031851,0.033568,0.032567
0.069432,0.093794,0.028017,0.026017
0.002989,0.026384,0.038772,0.037772
0.001819,0.030454,0.025899,0.031899
0.001799,0.031643,0.034128,0.030128
0.001632,0.02399,0.030178,0.036178
0.001607,0.030296,0.034016,0.033016
0.083449,0.105453,0.033008,0.036008
0.001435,0.030607,0.037311,0.03331
0.001684,0.02902,0.034567,0.031567
0.0026,0.039286,0.034437,0.036436
0.002022,0.033458,0.037226,0.037226
0.001718,0.035709,0.033273,0.036273
0.002106,0.034729,0.0356,0.0346
0.002666,0.031631,0.036794,0.031794
0.002022,0.034072,0.027563,0.028563
