dns,tcp,user_gateway,gateway_fx
0.006941,0.000305,0.000796,0.002796
0.127454,0.000201,0.000493,0.002493
0.001751,0.000155,0.002515,0.000515
0.001884,0.000184,0.00341,0.000591
0.001852,0.000132,0.002828,0.000827
0.001738,0.00014,0.000588,0.002588
0.002477,0.000185,0.002177,0.000177
0.001887,0.000261,0.002254,0.002254
0.002423,0.00014,0.002659,0.000659
0.001649,0.000122,0.002777,0.002777
0.001403,0.000125,0.000256,0.002256
0.233968,0.000118,0.027483,0.027483
0.002454,0.000161,0.005951,0.003951
0.002209,0.000135,0.00338,0.000619
0.002055,0.000215,0.002591,0.000591
0.192547,0.000619,0.001052,0.003052
0.001673,0.000155,0.002648,0.000648
0.002362,0.000362,0.000883,0.002883
0.001477,0.000142,0.041457,0.041457
0.001769,0.000127,0.002528,0.000528
0.002264,0.000173,0.002606,0.000606
0.180785,0.000249,0.003595,0.000405
0.001957,0.000158,0.003617,0.000383
0.008675,0.000212,0.002393,0.000393
0.003103,0.000194,0.002862,0.000861
0.002333,0.000199,0.002738,0.000737
0.001828,0.000175,0.001392,0.001392
0.001679,0.000113,0.003476,0.000524
0.002171,0.000157,0.00257,0.00057
0.001597,0.00031,0.000693,0.002693
0.240821,0.000198,0.002556,0.000556
0.084334,0.000172,0.00211,0.00211
0.002266,0.000136,0.002884,0.000884
0.002756,0.000364,0.002697,0.000696
0.001738,0.000136,0.001731,0.001731
0.001998,0.000397,0.003387,0.000613
0.001564,0.000249,0.001689,0.001689
0.002774,0.000174,0.002963,0.000963
0.002054,0.000198,0.001282,0.003282
0.002289,0.000266,0.001992,0.001992
0.002184,0.000131,0.002422,0.000422
0.213845,0.000227,0.00252,0.00452
0.001833,0.000158,0.002655,0.000655
0.001494,0.000125,0.003555,0.000445
0.001551,0.000159,0.001296,0.001296
0.207163,0.000233,0.002917,0.000917
0.001936,0.001153,0.001881,0.001881
0.001894,0.00012,0.003538,0.000462
0.002122,0.000142,0.003605,0.000395
0.001985,0.000146,0.002818,0.000818
0.001606,0.000126,0.00277,0.00277
0.197674,0.000138,0.000232,0.002232
0.001892,0.000302,0.003333,0.005333
0.001902,0.000283,0.001454,0.001454
0.001706,0.00013,0.003825,0.000175
0.002414,0.000215,0.006626,0.008626
0.003194,0.00028,0.000753,0.002753
0.002238,0.000166,0.004165,0.006165
0.002254,0.000191,0.003727,0.000273
0.002131,0.000124,0.002017,0.002017
0.16097,0.000211,0.002815,0.000815
0.10704,0.000113,0.000852,0.002853
0.00277,0.00033,0.001588,0.001588
0.001869,0.00076,0.004182,0.000182
0.002284,0.000118,0.004319,0.006319
0.001768,0.000187,0.003595,0.000406
0.00167,0.000129,0.001407,0.001407
0.007721,0.000398,0.00276,0.00076
0.001882,0.000133,0.000806,0.002806
0.002746,0.000288,0.005884,0.001884
0.002603,0.000123,0.006688,0.002688
0.162062,0.000239,0.004643,0.000643
0.002348,0.000175,0.002893,0.000893
0.001771,0.000146,0.000792,0.002792
0.001876,0.000205,0.00352,0.00048
0.212123,0.000236,0.004742,0.000742
0.002975,0.000143,0.003613,0.000387
0.001927,0.000152,0.00299,0.00099
0.002573,0.000157,0.001679,0.001679
0.003516,0.000135,0.004342,0.004342
0.002071,0.000174,0.004738,0.002738
0.192023,0.000152,0.00093,0.00293
0.002284,0.00016,0.002723,0.000723
0.001981,0.000172,0.001904,0.001904
0.001498,0.000148,0.003785,0.001785
0.001502,0.00026,0.003762,0.000238
0.001868,0.000143,0.002521,0.000521
0.002199,0.000295,0.005423,0.001423
0.001734,0.000141,0.003195,0.000805
0.001749,0.000119,0.002701,0.000701
0.201902,0.000229,0.000721,0.004721
0.117807,0.000223,0.00235,0.00235
0.001884,0.000263,0.000836,0.002836
0.002003,0.000125,0.00228,0.00028
0.001438,0.000124,0.001782,0.001782
0.002922,0.000112,0.000691,0.002691
0.00161,0.000165,0.008108,0.004108
0.002058,0.000187,8.4e-05,0.004084
0.001445,0.000113,0.000196,0.002196
0.001591,0.000632,0.000807,0.002807
0.002766,0.000753,0.002032,0.002032
0.185987,0.00018,0.000722,0.002722
0.010924,0.000283,0.002751,0.002751
0.002063,0.000173,0.000686,0.002686
0.00157,0.000117,0.001659,0.001659
0.201591,0.000244,0.003947,0.001947
0.001496,0.000377,0.001825,0.001825
0.003395,0.000128,0.002587,0.000587
0.002267,0.000257,0.003458,0.000543
0.002421,0.000188,0.002747,0.000747
0.003059,0.000123,0.0006,0.0026
0.201622,0.000277,0.000396,0.002396
0.001803,0.000297,0.004214,0.004214
0.002221,0.000128,0.009343,0.005343
0.00171,0.000136,0.00166,0.00166
0.002271,0.000331,0.003978,0.005978
0.004043,0.000137,0.005874,0.005874
0.002357,0.000278,0.005512,0.003512
0.001525,0.000127,0.002,0.002
0.002674,0.000275,0.002613,0.000612
