dns,tcp,user_gateway,gateway_fx
0.00216,0.000489,0.001031,0.00504
0.002416,0.013182,0.011882,0.007424
0.002121,0.009837,0.015958,0.006225
0.002044,0.009108,0.012113,0.005756
0.001956,0.009986,0.014855,0.007549
0.002117,0.009167,0.006509,0.007167
0.002924,0.010082,0.01046,0.007897
0.002392,0.010461,0.006224,0.006549
0.002328,0.010045,0.010304,0.005222
0.002776,0.010028,0.002709,0.007793
0.019027,0.013825,0.009816,0.005834
0.001439,0.010996,0.011102,0.006814
0.00163,0.015755,0.009705,0.006661
0.001489,0.015131,0.003934,0.007058
0.030872,0.009841,0.011988,0.005171
0.00186,0.01724,0.006623,0.006827
0.001525,0.014598,0.009067,0.006236
0.001989,0.006685,0.007353,0.006725
0.001843,0.012233,0.01616,0.006733
0.001969,0.010006,0.011269,0.005585
0.028364,0.011574,0.008934,0.006015
0.001407,0.011239,0.012111,0.005486
0.001625,0.007943,0.005713,0.006767
0.002335,0.011741,0.010187,0.006091
0.001735,0.012888,0.013497,0.00745
0.001465,0.008726,0.051297,0.006537
0.001888,0.019095,0.00801,0.007306
0.002277,0.008461,0.016968,0.006314
0.00213,0.012257,0.014869,0.005143
0.019349,0.012512,0.00971,0.007205
0.009774,0.01151,0.010288,0.005486
0.00212,0.015537,0.004096,0.006471
0.002884,0.009861,0.010778,0.006249
0.001752,0.008226,0.016843,0.006129
0.00182,0.013411,0.012288,0.005739
0.001947,0.011529,0.009515,0.005441
0.002256,0.012138,0.012614,0.00645
0.002088,0.012964,0.012082,0.006469
0.002063,0.007681,0.004025,0.005811
0.001915,0.013466,0.006006,0.006469
0.020639,0.011239,0.006666,0.005151
0.002764,0.005972,0.015114,0.007274
0.001596,0.014827,0.007651,0.007432
0.001624,0.010205,0.011369,0.00652
0.031883,0.014035,0.007194,0.005788
0.002093,0.006812,0.009482,0.007598
0.002571,0.011921,0.013207,0.006127
0.003052,0.00829,0.007052,0.007848
0.002352,0.008808,0.00909,0.005048
0.001566,0.011239,0.012338,0.007697
0.030719,0.005399,0.006208,0.006737
0.002606,0.01268,0.007941,0.005976
0.001568,0.011626,0.005934,0.005046
0.001989,0.010228,0.00857,0.005307
0.001452,0.005016,0.005547,0.006845
0.002443,0.011237,0.011535,0.006533
0.002269,0.012576,0.010724,0.00654
0.001664,0.012549,0.008259,0.007758
0.002184,0.011868,0.013843,0.005316
0.018903,0.012463,0.006023,0.007753
0.009514,0.007867,0.011648,0.006041
0.001488,0.005869,0.00389,0.005
0.001997,0.010076,0.009185,0.006585
0.002183,0.009321,0.013512,0.006108
0.001408,0.013723,0.010631,0.006207
0.001851,0.012732,0.009697,0.007661
0.002275,0.013201,0.014804,0.005083
0.001466,0.010581,0.004639,0.005952
0.002302,0.010604,0.009901,0.006103
0.001941,0.012027,0.005012,0.006044
0.020969,0.004789,0.012178,0.005903
0.001431,0.017405,0.010007,0.005907
0.001775,0.010404,0.010034,0.006446
0.001895,0.013981,0.008222,0.005942
0.026745,0.01065,0.009061,0.006184
0.002268,0.007334,0.005577,0.006194
0.002729,0.010109,0.009244,0.007734
0.002838,0.012326,0.011595,0.006862
0.001567,0.009141,0.011086,0.006337
0.001494,0.012982,0.002479,0.006786
0.027059,0.007717,0.007835,0.006262
0.001488,0.009904,0.013096,0.006998
0.001476,0.012088,0.010418,0.005251
0.001625,0.005255,0.003023,0.006399
0.001731,0.007201,0.007898,0.006786
0.001965,0.013464,0.014689,0.006672
0.002338,0.008396,0.005605,0.005049
0.001996,0.007924,0.001306,0.007564
0.002407,0.015503,0.011188,0.005206
0.032279,0.010171,0.007287,0.005119
0.014488,0.009335,0.006479,0.007368
0.002805,0.006225,0.00569,0.005984
0.001509,0.008384,0.012841,0.005808
0.002209,0.008979,0.003662,0.007905
0.003515,0.01092,0.011218,0.005798
0.001462,0.012381,0.005954,0.006507
0.001699,0.014213,0.008522,0.00623
0.001611,0.006133,0.008523,0.006853
0.002087,0.011581,0.006555,0.006181
0.001879,0.010581,0.010952,0.00746
0.019312,0.017619,0.009593,0.006191
0.002994,0.011141,0.008649,0.005111
0.002407,0.012615,0.008602,0.007996
0.001624,0.010246,0.006129,0.007315
0.027588,0.019152,0.003577,0.007647
0.001769,0.006663,0.002139,0.007353
0.002128,0.010432,0.006392,0.007533
0.001587,0.009869,0.004123,0.006398
0.002108,0.010643,0.005053,0.006494
0.002131,0.01254,0.009128,0.007123
0.028156,0.010975,0.010866,0.00537
0.002538,0.009386,0.007245,0.005627
0.002262,0.010071,0.010297,0.006536
0.002289,0.013374,0.006105,0.007293
0.001908,0.007646,0.008802,0.007117
0.001641,0.011288,0.003252,0.007648
0.001544,0.012017,0.009842,0.005925
0.003005,0.009206,0.011113,0.006142
0.001494,0.016534,0.006042,0.007313
0.032586,0.014451,0.00171,0.007947
