dns,tcp,user_gateway,gateway_fx
0.002227,0.000407,0.003696,0.001696
0.003017,0.086772,0.099977,0.099977
0.002196,0.08876,0.106821,0.104821
0.001558,0.099742,0.121727,0.117727
0.002612,0.086767,0.105169,0.103169
0.002046,0.098524,0.101865,0.105865
0.001348,0.119111,0.084894,0.088894
0.178758,0.090553,0.089785,0.087785
0.001966,0.080307,0.09939,0.10339
0.00206,0.096386,0.072382,0.068382
0.198712,0.112133,0.116126,0.120126
0.00223,0.118826,0.129677,0.133677
0.002183,0.075436,0.114711,0.118711
0.002924,0.083934,0.117892,0.117892
0.00176,0.102717,0.10921,0.10721
0.002463,0.104675,0.09232,0.094321
0.208538,0.085744,0.10865,0.10665
0.002517,0.102097,0.108563,0.104563
0.001435,0.089734,0.101804,0.103804
0.002866,0.107222,0.104607,0.100607
0.001959,0.107256,0.094651,0.092651
0.001718,0.105418,0.10222,0.10422
0.001864,0.110334,0.088802,0.090802
0.218877,0.112884,0.096537,0.092537
0.001434,0.068281,0.121084,0.121084
0.101793,0.109215,0.09093,0.09293
0.001606,0.119268,0.114265,0.110265
0.002161,0.095944,0.094261,0.096261
0.002741,0.117343,0.13141,0.12741
0.002566,0.129797,0.081478,0.085478
0.001888,0.102171,0.078835,0.078835
0.001741,0.087915,0.123753,0.125753
0.001677,0.134339,0.098649,0.102649
0.002146,0.068264,0.120646,0.124646
0.199173,0.110273,0.105017,0.107017
0.002209,0.094859,0.112174,0.112174
0.222456,0.092708,0.10478,0.10278
0.002027,0.11072,0.118988,0.114988
0.002357,0.092893,0.083669,0.081669
0.00153,0.066514,0.101506,0.099506
0.001966,0.066676,0.084607,0.084607
0.001887,0.08638,0.077954,0.073954
0.002057,0.120645,0.130296,0.126296
0.177003,0.093641,0.098,0.1
0.002322,0.115295,0.093724,0.097724
0.002091,0.11515,0.11548,0.11748
0.001949,0.070106,0.099821,0.101821
0.002073,0.136839,0.09943,0.09943
0.003166,0.075792,0.089193,0.093193
0.24307,0.099907,0.093001,0.097001
0.001723,0.085076,0.119307,0.115307
0.001939,0.096297,0.079663,0.075663
0.114359,0.092026,0.082757,0.086758
0.003915,0.078159,0.109421,0.105421
0.001751,0.120757,0.095363,0.097363
0.002747,0.104857,0.116901,0.114901
0.001609,0.097489,0.109928,0.109928
0.002685,0.106022,0.087388,0.083388
0.002021,0.122374,0.085131,0.085131
0.002131,0.082874,0.133354,0.131354
0.00179,0.090408,0.114496,0.118496
0.195488,0.141057,0.115559,0.115559
0.190046,0.074184,0.130025,0.128025
0.001845,0.116665,0.091554,0.087554
0.001592,0.076139,0.10699,0.10699
0.002361,0.087424,0.102063,0.104063
0.002129,0.080636,0.094993,0.096993
0.001708,0.124842,0.109775,0.105775
0.002189,0.124309,0.08505,0.08905
0.001748,0.077877,0.090649,0.094649
0.224662,0.131375,0.089136,0.093136
0.001898,0.122235,0.117595,0.113595
0.004011,0.077051,0.110863,0.110863
0.004404,0.101603,0.102581,0.104581
0.002444,0.126322,0.097536,0.095536
0.212854,0.08489,0.08857,0.09057
0.001629,0.113687,0.127381,0.123381
0.002135,0.084203,0.109095,0.109095
0.002112,0.111105,0.112557,0.112557
0.247475,0.105178,0.116179,0.114179
0.001677,0.09348,0.115073,0.119073
0.002208,0.097472,0.115058,0.111058
0.001956,0.109433,0.129437,0.129437
0.0019,0.135006,0.091738,0.087738
0.003801,0.111543,0.114037,0.110037
0.001645,0.083714,0.087647,0.087647
0.00185,0.075328,0.101282,0.103282
0.002363,0.067661,0.119646,0.115645
0.202505,0.113346,0.109183,0.105183
0.120474,0.061797,0.119681,0.123681
0.002723,0.072809,0.114287,0.118287
0.00179,0.131964,0.100416,0.098416
0.00201,0.102241,0.088018,0.086018
0.00202,0.111475,0.086334,0.084334
0.001933,0.111515,0.118641,0.116641
0.001835,0.108415,0.092344,0.092344
0.002219,0.115245,0.112527,0.110527
0.002089,0.113986,0.088191,0.086191
0.173278,0.106969,0.119575,0.115575
0.002596,0.091573,0.094278,0.094278
0.001998,0.088276,0.109374,0.113374
0.214049,0.098263,0.079247,0.081247
0.001999,0.073516,0.09762,0.09762
0.00269,0.136687,0.104501,0.104501
0.001949,0.079526,0.13204,0.13404
0.002217,0.087342,0.100972,0.096972
0.001843,0.096445,0.10595,0.10995
0.208417,0.069314,0.112736,0.112736
0.001575,0.11482,0.0831,0.0871
0.001549,0.098739,0.085434,0.085434
0.001808,0.075468,0.08334,0.08334
0.001391,0.112204,0.102735,0.098735
0.002554,0.072955,0.090752,0.090752
0.001595,0.109617,0.108256,0.110256
0.252802,0.09884,0.120121,0.118121
0.001427,0.080897,0.105765,0.101765
0.12174,0.112786,0.090376,0.092377
0.001433,0.084567,0.093742,0.097742
0.001564,0.113284,0.119738,0.115738
0.006996,0.119609,0.109214,0.107214
