response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
14.6850,0.0029,0.0017,0.0001,14.6818,0.0001,200,20.0074
14.7083,0.0041,0.0030,0.0002,14.7039,0.0001,200,20.0068
14.7091,0.0045,0.0031,0.0004,14.7042,0.0000,200,20.0065
14.7135,0.0054,0.0033,0.0002,14.7078,0.0001,200,20.0061
14.7132,0.0043,0.0031,0.0003,14.7085,0.0000,200,20.0066
14.7199,0.0078,0.0059,0.0003,14.7118,0.0001,200,20.0049
14.7196,0.0067,0.0061,0.0000,14.7127,0.0000,200,20.0055
14.7188,0.0051,0.0032,0.0001,14.7134,0.0001,200,20.0064
14.7190,0.0055,0.0032,0.0003,14.7132,0.0000,200,20.0061
14.7200,0.0057,0.0029,0.0001,14.7142,0.0000,200,20.0074
14.7209,0.0043,0.0031,0.0002,14.7162,0.0000,200,20.0066
14.7210,0.0033,0.0030,0.0000,14.7176,0.0001,200,20.0072
14.7251,0.0071,0.0058,0.0003,14.7176,0.0000,200,20.0038
14.7221,0.0036,0.0030,0.0027,14.7157,0.0001,200,20.0071
14.7278,0.0073,0.0058,0.0004,14.7200,0.0001,200,20.0037
14.7253,0.0046,0.0032,0.0004,14.7202,0.0000,200,20.0064
14.7270,0.0059,0.0033,0.0003,14.7207,0.0000,200,20.0060
0.0407,0.0000,0.0000,0.0000,0.0406,0.0000,200,34.6924
14.7276,0.0067,0.0060,0.0001,14.7208,0.0000,200,20.0056
14.7290,0.0069,0.0061,0.0002,14.7219,0.0000,200,20.0055
14.7771,0.0079,0.0059,0.0003,14.7688,0.0001,200,20.0049
0.0642,0.0000,0.0000,0.0000,0.0641,0.0001,200,34.7196
0.0641,0.0000,0.0000,0.0000,0.0640,0.0000,200,34.7198
0.0589,0.0000,0.0000,0.0000,0.0588,0.0000,200,34.7251
0.0604,0.0000,0.0000,0.0000,0.0603,0.0001,200,34.7250
0.0612,0.0000,0.0000,0.0000,0.0611,0.0001,200,34.7252
0.0618,0.0000,0.0000,0.0000,0.0617,0.0001,200,34.7249
0.0601,0.0000,0.0000,0.0000,0.0600,0.0001,200,34.7274
0.0607,0.0000,0.0000,0.0000,0.0606,0.0001,200,34.7275
0.0624,0.0000,0.0000,0.0000,0.0623,0.0001,200,34.7282
0.0625,0.0000,0.0000,0.0000,0.0624,0.0001,200,34.7289
0.0624,0.0000,0.0000,0.0000,0.0623,0.0001,200,34.7292
0.0623,0.0000,0.0000,0.0000,0.0622,0.0001,200,34.7316
0.0624,0.0000,0.0000,0.0000,0.0623,0.0001,200,34.7316
0.0624,0.0000,0.0000,0.0000,0.0623,0.0001,200,34.7330
0.0637,0.0000,0.0000,0.0000,0.0636,0.0001,200,34.7331
0.0638,0.0000,0.0000,0.0000,0.0637,0.0000,200,34.7333
0.0628,0.0000,0.0000,0.0000,0.0627,0.0000,200,34.7344
14.7935,0.0075,0.0059,0.0005,14.7855,0.0001,200,20.0050
14.7918,0.0059,0.0030,0.0001,14.7857,0.0000,200,20.0072
0.0198,0.0000,0.0000,0.0000,0.0195,0.0001,200,34.7820
0.0193,0.0000,0.0000,0.0001,0.0191,0.0001,200,34.7840
0.0152,0.0000,0.0000,0.0000,0.0151,0.0001,200,34.7882
0.0222,0.0000,0.0000,0.0000,0.0221,0.0001,200,34.7839
0.0195,0.0000,0.0000,0.0000,0.0194,0.0001,200,34.7875
0.0234,0.0000,0.0000,0.0000,0.0233,0.0000,200,34.7838
0.0171,0.0000,0.0000,0.0000,0.0170,0.0000,200,34.7915
14.8056,0.0064,0.0059,0.0025,14.7966,0.0001,200,20.0042
0.0245,0.0000,0.0000,0.0001,0.0243,0.0001,200,34.7854
0.0263,0.0000,0.0000,0.0000,0.0262,0.0001,200,34.7864
0.0239,0.0000,0.0000,0.0000,0.0238,0.0001,200,34.7907
0.0202,0.0000,0.0000,0.0000,0.0200,0.0001,200,34.7970
0.0233,0.0000,0.0000,0.0000,0.0232,0.0001,200,34.7940
0.0259,0.0000,0.0000,0.0000,0.0258,0.0000,200,34.7915
0.0223,0.0000,0.0000,0.0000,0.0222,0.0001,200,34.7954
0.0208,0.0000,0.0000,0.0000,0.0207,0.0000,200,34.7969
0.0203,0.0000,0.0000,0.0000,0.0202,0.0000,200,34.7985
0.0328,0.0000,0.0000,0.0000,0.0327,0.0000,200,34.7867
0.0224,0.0000,0.0000,0.0000,0.0224,0.0000,200,34.7972
0.0286,0.0000,0.0000,0.0000,0.0285,0.0000,200,34.7940
0.0212,0.0000,0.0000,0.0000,0.0211,0.0000,200,34.8017
0.0240,0.0000,0.0000,0.0000,0.0238,0.0000,200,34.7990
14.8198,0.0074,0.0060,0.0004,14.8119,0.0000,200,20.0050
0.0220,0.0000,0.0000,0.0000,0.0219,0.0001,200,34.8034
0.0212,0.0000,0.0000,0.0000,0.0210,0.0001,200,34.8070
0.0207,0.0000,0.0000,0.0000,0.0206,0.0000,200,34.8086
0.0203,0.0000,0.0000,0.0000,0.0201,0.0001,200,34.8099
0.0270,0.0000,0.0000,0.0000,0.0269,0.0000,200,34.8034
0.0208,0.0000,0.0000,0.0000,0.0207,0.0000,200,34.8099
0.0253,0.0000,0.0000,0.0000,0.0252,0.0001,200,34.8061
0.0257,0.0000,0.0000,0.0000,0.0256,0.0000,200,34.8072
14.8290,0.0073,0.0059,0.0003,14.8214,0.0001,200,20.0051
0.0228,0.0000,0.0000,0.0000,0.0227,0.0001,200,34.8127
0.0192,0.0000,0.0000,0.0000,0.0191,0.0001,200,34.8195
0.0228,0.0000,0.0000,0.0000,0.0226,0.0002,200,34.8177
0.0233,0.0000,0.0000,0.0000,0.0230,0.0002,200,34.8173
