response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
17.3681,0.0011,0.0000,0.0000,17.3626,0.0001,200,0.0066
17.3909,0.0062,0.0015,0.0001,17.3846,0.0001,200,0.0066
17.3908,0.0044,0.0031,0.0000,17.3837,0.0002,200,0.0068
17.3907,0.0027,0.0015,0.0002,17.3847,0.0002,200,0.0069
17.3922,0.0059,0.0016,0.0000,17.3862,0.0001,200,0.0065
17.3923,0.0044,0.0031,0.0001,17.3853,0.0000,200,0.0067
17.3943,0.0049,0.0040,0.0001,17.3890,0.0001,200,0.0070
17.3952,0.0057,0.0035,0.0000,17.3883,0.0001,200,0.0070
0.0090,0.0000,0.0000,0.0000,0.0088,0.0001,200,17.3975
17.4019,0.0068,0.0031,0.0000,17.3925,0.0020,200,0.0062
17.4021,0.0028,0.0016,0.0000,17.3966,0.0001,200,0.0069
0.0121,0.0000,0.0000,0.0000,0.0120,0.0001,200,17.3977
0.0107,0.0000,0.0000,0.0000,0.0106,0.0001,200,17.4089
0.0177,0.0000,0.0000,0.0000,0.0176,0.0000,200,17.4021
17.4130,0.0023,0.0014,0.0000,17.4074,0.0000,200,0.0069
0.0134,0.0000,0.0000,0.0000,0.0132,0.0002,200,17.4066
0.0214,0.0000,0.0000,0.0000,0.0213,0.0000,200,17.3987
0.0189,0.0000,0.0000,0.0000,0.0189,0.0000,200,17.4012
0.0111,0.0000,0.0000,0.0000,0.0110,0.0000,200,17.4098
17.4150,0.0042,0.0031,0.0001,17.4082,0.0000,200,0.0067
0.0147,0.0000,0.0000,0.0000,0.0146,0.0000,200,17.4081
17.4214,0.0052,0.0037,0.0000,17.4144,0.0001,200,0.0067
0.0098,0.0000,0.0000,0.0000,0.0097,0.0001,200,17.4200
0.0100,0.0000,0.0000,0.0000,0.0100,0.0000,200,17.4199
0.0104,0.0000,0.0000,0.0000,0.0102,0.0001,200,17.4197
0.0109,0.0000,0.0000,0.0000,0.0108,0.0000,200,17.4199
0.0135,0.0000,0.0000,0.0000,0.0134,0.0001,200,17.4202
0.0173,0.0000,0.0000,0.0000,0.0172,0.0001,200,17.4201
17.4306,0.0024,0.0015,0.0000,17.4253,0.0000,200,0.0069
0.0167,0.0000,0.0000,0.0000,0.0166,0.0001,200,17.4208
0.0175,0.0000,0.0000,0.0000,0.0173,0.0001,200,17.4229
