response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
19.7475,0.0073,0.0061,0.0001,19.7398,0.0002,200,0.0372
19.7803,0.0110,0.0067,0.0000,19.7690,0.0002,200,0.0381
19.7790,0.0059,0.0048,0.0000,19.7729,0.0000,200,0.0394
19.7800,0.0110,0.0069,0.0000,19.7687,0.0003,200,0.0385
19.7815,0.0110,0.0070,0.0000,19.7704,0.0001,200,0.0386
19.7809,0.0061,0.0048,0.0001,19.7745,0.0000,200,0.0393
19.7873,0.0071,0.0058,0.0000,19.7800,0.0001,200,0.0377
19.7871,0.0110,0.0064,0.0001,19.7760,0.0001,200,0.0380
19.7881,0.0111,0.0070,0.0001,19.7767,0.0001,200,0.0382
19.7873,0.0064,0.0047,0.0001,19.7807,0.0001,200,0.0391
19.7905,0.0111,0.0068,0.0001,19.7791,0.0001,200,0.0382
19.7896,0.0074,0.0055,0.0000,19.7821,0.0001,200,0.0391
19.7961,0.0062,0.0048,0.0001,19.7897,0.0001,200,0.0395
19.7980,0.0069,0.0058,0.0001,19.7908,0.0001,200,0.0377
19.8075,0.0075,0.0060,0.0000,19.7999,0.0001,200,0.0377
19.8062,0.0073,0.0055,0.0001,19.7988,0.0001,200,0.0391
19.8188,0.0109,0.0067,0.0001,19.8077,0.0001,200,0.0380
0.0306,0.0000,0.0000,0.0001,0.0304,0.0001,200,19.8264
0.0310,0.0000,0.0000,0.0000,0.0309,0.0000,200,19.8265
0.0369,0.0000,0.0000,0.0001,0.0367,0.0001,200,19.8250
0.0369,0.0000,0.0000,0.0000,0.0368,0.0001,200,19.8251
0.0336,0.0000,0.0000,0.0000,0.0335,0.0000,200,19.8287
0.0347,0.0000,0.0000,0.0000,0.0346,0.0001,200,19.8286
0.0289,0.0000,0.0000,0.0000,0.0288,0.0001,200,19.8357
0.0291,0.0000,0.0000,0.0000,0.0290,0.0001,200,19.8356
0.0254,0.0000,0.0000,0.0000,0.0253,0.0001,200,19.8453
0.0256,0.0000,0.0000,0.0000,0.0253,0.0002,200,19.8453
19.8324,0.0109,0.0070,0.0000,19.8213,0.0000,200,0.0385
19.8323,0.0073,0.0056,0.0000,19.8248,0.0001,200,0.0389
19.8339,0.0057,0.0051,0.0001,19.8280,0.0001,200,0.0387
19.8349,0.0063,0.0048,0.0001,19.8284,0.0000,200,0.0393
0.0191,0.0000,0.0000,0.0000,0.0189,0.0001,200,19.8569
0.0278,0.0000,0.0000,0.0000,0.0276,0.0001,200,19.8575
19.8511,0.0060,0.0048,0.0001,19.8449,0.0001,200,0.0394
0.0313,0.0000,0.0000,0.0000,0.0312,0.0001,200,19.8619
0.0295,0.0000,0.0000,0.0000,0.0294,0.0001,200,19.8647
0.0341,0.0000,0.0000,0.0001,0.0339,0.0001,200,19.8620
0.0328,0.0000,0.0000,0.0000,0.0326,0.0001,200,19.8634
0.0337,0.0000,0.0000,0.0000,0.0336,0.0001,200,19.8647
0.0285,0.0000,0.0000,0.0000,0.0284,0.0001,200,19.8709
0.0304,0.0000,0.0000,0.0000,0.0303,0.0001,200,19.8709
0.0273,0.0000,0.0000,0.0000,0.0272,0.0001,200,19.8741
0.0447,0.0000,0.0000,0.0000,0.0446,0.0001,200,19.8569
0.0329,0.0000,0.0000,0.0000,0.0328,0.0001,200,19.8712
0.0419,0.0000,0.0000,0.0000,0.0418,0.0001,200,19.8623
0.0359,0.0000,0.0000,0.0000,0.0358,0.0001,200,19.8708
0.0343,0.0000,0.0000,0.0000,0.0342,0.0000,200,19.8726
0.0323,0.0000,0.0000,0.0000,0.0322,0.0001,200,19.8760
0.0262,0.0000,0.0000,0.0000,0.0260,0.0001,200,19.8853
19.8746,0.0075,0.0061,0.0001,19.8668,0.0001,200,0.0372
0.0615,0.0000,0.0000,0.0000,0.0614,0.0001,200,19.8933
0.0589,0.0000,0.0000,0.0000,0.0588,0.0000,200,19.8961
0.0591,0.0000,0.0000,0.0000,0.0590,0.0001,200,19.8985
0.0628,0.0000,0.0000,0.0000,0.0626,0.0001,200,19.8962
