response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
10.0171,0.1143,0.1135,0.0003,9.9022,0.0002,200,0.0028
0.0034,0.0000,0.0000,0.0000,0.0031,0.0002,200,10.0199
0.0026,0.0000,0.0000,0.0000,0.0024,0.0001,200,10.0233
0.0022,0.0000,0.0000,0.0001,0.0020,0.0000,200,10.0259
0.0023,0.0000,0.0000,0.0000,0.0022,0.0001,200,10.0281
0.0029,0.0000,0.0000,0.0000,0.0029,0.0000,200,10.0304
0.0023,0.0000,0.0000,0.0000,0.0022,0.0001,200,10.0333
0.0021,0.0000,0.0000,0.0000,0.0020,0.0000,200,10.0356
0.0211,0.0000,0.0000,0.0000,0.0210,0.0001,200,10.0377
0.0040,0.0000,0.0000,0.0000,0.0039,0.0001,200,10.0588
0.0038,0.0000,0.0000,0.0000,0.0037,0.0000,200,10.0628
0.0028,0.0000,0.0000,0.0000,0.0027,0.0001,200,10.0665
0.0024,0.0000,0.0000,0.0001,0.0022,0.0001,200,10.0694
0.0021,0.0000,0.0000,0.0000,0.0020,0.0000,200,10.0718
0.0020,0.0000,0.0000,0.0000,0.0019,0.0000,200,10.0739
0.0018,0.0000,0.0000,0.0000,0.0017,0.0000,200,10.0759
0.0019,0.0000,0.0000,0.0000,0.0018,0.0001,200,10.0777
0.0020,0.0000,0.0000,0.0000,0.0019,0.0001,200,10.0795
0.0020,0.0000,0.0000,0.0000,0.0019,0.0001,200,10.0816
0.0026,0.0000,0.0000,0.0000,0.0024,0.0000,200,10.0835
0.0025,0.0000,0.0000,0.0000,0.0024,0.0001,200,10.0861
0.0022,0.0000,0.0000,0.0000,0.0021,0.0001,200,10.0886
0.0024,0.0000,0.0000,0.0000,0.0023,0.0000,200,10.0908
0.0019,0.0000,0.0000,0.0000,0.0018,0.0001,200,10.0932
0.0019,0.0000,0.0000,0.0000,0.0018,0.0000,200,10.0951
0.0020,0.0000,0.0000,0.0000,0.0019,0.0000,200,10.0970
0.0023,0.0000,0.0000,0.0000,0.0022,0.0001,200,10.0990
0.0091,0.0000,0.0000,0.0000,0.0090,0.0001,200,10.1013
0.0049,0.0000,0.0000,0.0000,0.0048,0.0001,200,10.1104
0.0025,0.0000,0.0000,0.0000,0.0023,0.0001,200,10.1153
0.0024,0.0000,0.0000,0.0000,0.0022,0.0001,200,10.1178
0.0024,0.0000,0.0000,0.0001,0.0022,0.0001,200,10.1202
0.0032,0.0000,0.0000,0.0001,0.0030,0.0001,200,10.1225
0.0027,0.0000,0.0000,0.0000,0.0025,0.0001,200,10.1257
0.0030,0.0000,0.0000,0.0000,0.0029,0.0001,200,10.1284
0.0027,0.0000,0.0000,0.0000,0.0026,0.0001,200,10.1314
0.0023,0.0000,0.0000,0.0000,0.0022,0.0000,200,10.1342
0.0035,0.0000,0.0000,0.0000,0.0034,0.0001,200,10.1365
0.0030,0.0000,0.0000,0.0000,0.0028,0.0001,200,10.1399
0.0034,0.0000,0.0000,0.0000,0.0032,0.0001,200,10.1429
0.0031,0.0000,0.0000,0.0000,0.0030,0.0000,200,10.1463
0.0033,0.0000,0.0000,0.0000,0.0032,0.0001,200,10.1494
0.0025,0.0000,0.0000,0.0000,0.0024,0.0000,200,10.1527
0.0023,0.0000,0.0000,0.0000,0.0023,0.0001,200,10.1552
0.0023,0.0000,0.0000,0.0000,0.0022,0.0001,200,10.1575
0.0023,0.0000,0.0000,0.0000,0.0022,0.0001,200,10.1598
0.0024,0.0000,0.0000,0.0000,0.0022,0.0001,200,10.1621
0.0023,0.0000,0.0000,0.0000,0.0022,0.0000,200,10.1645
0.0028,0.0000,0.0000,0.0000,0.0027,0.0000,200,10.1667
0.0025,0.0000,0.0000,0.0000,0.0024,0.0000,200,10.1695
0.0081,0.0000,0.0000,0.0000,0.0080,0.0000,200,10.1720
0.0025,0.0000,0.0000,0.0000,0.0024,0.0001,200,10.1801
0.0028,0.0000,0.0000,0.0000,0.0027,0.0000,200,10.1827
0.0025,0.0000,0.0000,0.0000,0.0024,0.0000,200,10.1854
0.0028,0.0000,0.0000,0.0000,0.0027,0.0000,200,10.1879
0.0022,0.0000,0.0000,0.0000,0.0021,0.0001,200,10.1907
0.0021,0.0000,0.0000,0.0000,0.0019,0.0000,200,10.1930
0.0050,0.0000,0.0000,0.0000,0.0049,0.0001,200,10.1951
0.0042,0.0000,0.0000,0.0000,0.0040,0.0001,200,10.2001
0.0031,0.0000,0.0000,0.0000,0.0031,0.0000,200,10.2043
0.0030,0.0000,0.0000,0.0000,0.0029,0.0001,200,10.2074
0.0030,0.0000,0.0000,0.0000,0.0028,0.0001,200,10.2105
0.0028,0.0000,0.0000,0.0000,0.0027,0.0001,200,10.2134
0.0023,0.0000,0.0000,0.0000,0.0022,0.0000,200,10.2162
0.0024,0.0000,0.0000,0.0000,0.0023,0.0000,200,10.2185
0.0024,0.0000,0.0000,0.0000,0.0023,0.0001,200,10.2209
0.0020,0.0000,0.0000,0.0000,0.0019,0.0000,200,10.2233
0.0021,0.0000,0.0000,0.0000,0.0020,0.0000,200,10.2253
0.0024,0.0000,0.0000,0.0000,0.0023,0.0001,200,10.2273
0.0024,0.0000,0.0000,0.0000,0.0023,0.0000,200,10.2297
0.0023,0.0000,0.0000,0.0000,0.0022,0.0000,200,10.2321
0.0022,0.0000,0.0000,0.0000,0.0022,0.0000,200,10.2344
0.0021,0.0000,0.0000,0.0000,0.0020,0.0000,200,10.2366
0.0019,0.0000,0.0000,0.0000,0.0018,0.0000,200,10.2387
0.0018,0.0000,0.0000,0.0000,0.0018,0.0000,200,10.2406
0.0022,0.0000,0.0000,0.0000,0.0021,0.0000,200,10.2424
0.0022,0.0000,0.0000,0.0000,0.0021,0.0000,200,10.2446
0.0023,0.0000,0.0000,0.0000,0.0022,0.0000,200,10.2468
0.0022,0.0000,0.0000,0.0000,0.0021,0.0000,200,10.2491
0.0035,0.0000,0.0000,0.0000,0.0034,0.0000,200,10.2513
0.0040,0.0000,0.0000,0.0000,0.0039,0.0000,200,10.2548
0.0026,0.0000,0.0000,0.0000,0.0025,0.0000,200,10.2588
0.0025,0.0000,0.0000,0.0000,0.0024,0.0000,200,10.2614
0.0020,0.0000,0.0000,0.0000,0.0019,0.0000,200,10.2639
