response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.2166,0.1432,0.0923,0.0005,0.0726,0.0002,200,0.0022
0.0552,0.0000,0.0000,0.0000,0.0549,0.0002,200,0.2188
0.0638,0.0000,0.0000,0.0001,0.0634,0.0002,200,0.2740
0.0442,0.0000,0.0000,0.0001,0.0439,0.0001,200,0.3378
0.0672,0.0000,0.0000,0.0000,0.0670,0.0001,200,0.3820
0.0514,0.0000,0.0000,0.0000,0.0512,0.0001,200,0.4492
0.0675,0.0000,0.0000,0.0000,0.0673,0.0001,200,0.5006
0.0449,0.0000,0.0000,0.0000,0.0447,0.0001,200,0.5681
0.0547,0.0000,0.0000,0.0000,0.0545,0.0001,200,0.6130
0.0510,0.0000,0.0000,0.0000,0.0508,0.0001,200,0.6677
0.0618,0.0000,0.0000,0.0001,0.0614,0.0001,200,0.7186
0.0627,0.0000,0.0000,0.0000,0.0626,0.0001,200,0.7804
0.0779,0.0000,0.0000,0.0000,0.0778,0.0001,200,0.8431
0.0555,0.0000,0.0000,0.0000,0.0554,0.0001,200,0.9210
0.0788,0.0000,0.0000,0.0000,0.0785,0.0001,200,0.9765
0.0465,0.0000,0.0000,0.0000,0.0464,0.0001,200,1.0553
0.0525,0.0000,0.0000,0.0001,0.0523,0.0001,200,1.1018
0.0739,0.0000,0.0000,0.0001,0.0737,0.0001,200,1.1544
0.0701,0.0000,0.0000,0.0000,0.0700,0.0001,200,1.2283
0.0671,0.0000,0.0000,0.0000,0.0669,0.0001,200,1.2984
0.0564,0.0000,0.0000,0.0001,0.0562,0.0001,200,1.3655
0.0435,0.0000,0.0000,0.0000,0.0433,0.0001,200,1.4220
0.0443,0.0000,0.0000,0.0000,0.0441,0.0001,200,1.4655
0.0656,0.0000,0.0000,0.0000,0.0654,0.0001,200,1.5098
0.0792,0.0000,0.0000,0.0000,0.0790,0.0001,200,1.5754
0.0558,0.0000,0.0000,0.0000,0.0556,0.0001,200,1.6546
0.0482,0.0000,0.0000,0.0001,0.0479,0.0001,200,1.7104
0.0528,0.0000,0.0000,0.0000,0.0526,0.0001,200,1.7586
0.0423,0.0000,0.0000,0.0000,0.0421,0.0001,200,1.8114
0.0721,0.0000,0.0000,0.0000,0.0719,0.0001,200,1.8537
0.0476,0.0000,0.0000,0.0000,0.0474,0.0001,200,1.9258
0.0656,0.0000,0.0000,0.0000,0.0654,0.0001,200,1.9733
0.0408,0.0000,0.0000,0.0000,0.0407,0.0001,200,2.0389
0.0453,0.0000,0.0000,0.0000,0.0451,0.0001,200,2.0797
0.0651,0.0000,0.0000,0.0000,0.0650,0.0001,200,2.1250
0.0542,0.0000,0.0000,0.0000,0.0541,0.0001,200,2.1901
0.0662,0.0000,0.0000,0.0000,0.0661,0.0001,200,2.2444
0.0523,0.0000,0.0000,0.0001,0.0520,0.0001,200,2.3106
0.0545,0.0000,0.0000,0.0000,0.0543,0.0001,200,2.3629
0.0591,0.0000,0.0000,0.0000,0.0589,0.0001,200,2.4173
0.0346,0.0000,0.0000,0.0000,0.0345,0.0001,200,2.4764
0.0592,0.0000,0.0000,0.0000,0.0590,0.0001,200,2.5110
0.0454,0.0000,0.0000,0.0000,0.0453,0.0001,200,2.5702
0.0427,0.0000,0.0000,0.0000,0.0426,0.0001,200,2.6157
0.0351,0.0000,0.0000,0.0000,0.0349,0.0002,200,2.6583
0.0702,0.0000,0.0000,0.0000,0.0700,0.0001,200,2.6934
0.0498,0.0000,0.0000,0.0000,0.0497,0.0001,200,2.7636
0.0542,0.0000,0.0000,0.0000,0.0541,0.0001,200,2.8134
0.0622,0.0000,0.0000,0.0000,0.0620,0.0001,200,2.8677
0.0476,0.0000,0.0000,0.0000,0.0474,0.0001,200,2.9299
0.0436,0.0000,0.0000,0.0000,0.0434,0.0001,200,2.9775
0.0322,0.0000,0.0000,0.0000,0.0319,0.0002,200,3.0211
0.0584,0.0000,0.0000,0.0000,0.0582,0.0001,200,3.0533
0.0365,0.0000,0.0000,0.0000,0.0364,0.0001,200,3.1116
0.0526,0.0000,0.0000,0.0000,0.0524,0.0001,200,3.1481
0.0531,0.0000,0.0000,0.0000,0.0530,0.0001,200,3.2008
0.0444,0.0000,0.0000,0.0000,0.0442,0.0001,200,3.2539
0.0725,0.0000,0.0000,0.0000,0.0723,0.0001,200,3.2983
0.0452,0.0000,0.0000,0.0000,0.0451,0.0001,200,3.3709
0.0758,0.0000,0.0000,0.0000,0.0756,0.0001,200,3.4161
0.0414,0.0000,0.0000,0.0000,0.0411,0.0001,200,3.4919
0.0611,0.0000,0.0000,0.0001,0.0609,0.0001,200,3.5333
0.0747,0.0000,0.0000,0.0000,0.0745,0.0001,200,3.5944
0.0720,0.0000,0.0000,0.0000,0.0719,0.0001,200,3.6691
0.0631,0.0000,0.0000,0.0000,0.0630,0.0001,200,3.7411
0.0553,0.0000,0.0000,0.0000,0.0551,0.0001,200,3.8042
0.0728,0.0000,0.0000,0.0000,0.0726,0.0001,200,3.8595
0.0532,0.0000,0.0000,0.0000,0.0530,0.0001,200,3.9323
0.0635,0.0000,0.0000,0.0001,0.0632,0.0001,200,3.9855
0.0550,0.0000,0.0000,0.0000,0.0548,0.0001,200,4.0491
0.0775,0.0000,0.0000,0.0000,0.0773,0.0001,200,4.1041
0.0566,0.0000,0.0000,0.0000,0.0565,0.0001,200,4.1816
0.0393,0.0000,0.0000,0.0000,0.0391,0.0001,200,4.2383
0.0668,0.0000,0.0000,0.0000,0.0664,0.0003,200,4.2775
0.0370,0.0000,0.0000,0.0001,0.0368,0.0001,200,4.3443
0.0498,0.0000,0.0000,0.0000,0.0496,0.0001,200,4.3813
0.0421,0.0000,0.0000,0.0000,0.0419,0.0001,200,4.4311
0.0688,0.0000,0.0000,0.0000,0.0686,0.0001,200,4.4731
0.0467,0.0000,0.0000,0.0001,0.0464,0.0001,200,4.5420
0.0555,0.0000,0.0000,0.0000,0.0553,0.0002,200,4.5887
0.0473,0.0000,0.0000,0.0000,0.0471,0.0001,200,4.6442
0.0472,0.0000,0.0000,0.0000,0.0469,0.0002,200,4.6916
0.0581,0.0000,0.0000,0.0001,0.0578,0.0001,200,4.7388
0.0545,0.0000,0.0000,0.0000,0.0543,0.0001,200,4.7969
0.0695,0.0000,0.0000,0.0000,0.0694,0.0001,200,4.8514
0.0601,0.0000,0.0000,0.0000,0.0599,0.0001,200,4.9210
0.0482,0.0000,0.0000,0.0000,0.0481,0.0001,200,4.9811
0.0556,0.0000,0.0000,0.0000,0.0554,0.0001,200,5.0293
0.0407,0.0000,0.0000,0.0001,0.0404,0.0001,200,5.0849
0.0677,0.0000,0.0000,0.0000,0.0675,0.0001,200,5.1256
