response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
10.8028,0.1443,0.0884,0.0002,10.6581,0.0001,200,0.0034
0.0656,0.0000,0.0000,0.0000,0.0654,0.0002,200,10.8062
0.0635,0.0000,0.0000,0.0000,0.0633,0.0001,200,10.8719
0.0684,0.0000,0.0000,0.0000,0.0683,0.0001,200,10.9354
0.0442,0.0000,0.0000,0.0000,0.0441,0.0001,200,11.0038
0.0595,0.0000,0.0000,0.0000,0.0593,0.0001,200,11.0481
0.0540,0.0000,0.0000,0.0000,0.0538,0.0001,200,11.1075
0.0764,0.0000,0.0000,0.0001,0.0762,0.0001,200,11.1615
0.0435,0.0000,0.0000,0.0000,0.0433,0.0001,200,11.2378
0.0534,0.0000,0.0000,0.0000,0.0533,0.0001,200,11.2813
0.0465,0.0000,0.0000,0.0000,0.0463,0.0001,200,11.3347
0.0529,0.0000,0.0000,0.0001,0.0526,0.0001,200,11.3812
0.0638,0.0000,0.0000,0.0000,0.0636,0.0002,200,11.4341
0.0558,0.0000,0.0000,0.0000,0.0557,0.0001,200,11.4979
0.0511,0.0000,0.0000,0.0000,0.0510,0.0001,200,11.5538
0.0685,0.0000,0.0000,0.0000,0.0682,0.0002,200,11.6049
0.0554,0.0000,0.0000,0.0000,0.0553,0.0001,200,11.6734
0.0574,0.0000,0.0000,0.0000,0.0572,0.0002,200,11.7288
0.0595,0.0000,0.0000,0.0000,0.0593,0.0001,200,11.7862
0.0760,0.0000,0.0000,0.0000,0.0759,0.0001,200,11.8457
0.0485,0.0000,0.0000,0.0000,0.0482,0.0002,200,11.9216
0.0551,0.0000,0.0000,0.0000,0.0549,0.0002,200,11.9701
0.0517,0.0000,0.0000,0.0001,0.0515,0.0001,200,12.0252
0.0736,0.0000,0.0000,0.0000,0.0734,0.0001,200,12.0770
0.0495,0.0000,0.0000,0.0000,0.0494,0.0001,200,12.1506
0.0608,0.0000,0.0000,0.0000,0.0607,0.0001,200,12.2001
0.0530,0.0000,0.0000,0.0000,0.0528,0.0001,200,12.2609
0.0604,0.0000,0.0000,0.0000,0.0601,0.0002,200,12.3139
0.0483,0.0000,0.0000,0.0000,0.0482,0.0001,200,12.3743
0.0550,0.0000,0.0000,0.0000,0.0548,0.0001,200,12.4227
0.0578,0.0000,0.0000,0.0000,0.0575,0.0001,200,12.4777
0.0553,0.0000,0.0000,0.0000,0.0550,0.0002,200,12.5354
0.0675,0.0000,0.0000,0.0001,0.0672,0.0001,200,12.5907
0.0591,0.0000,0.0000,0.0001,0.0588,0.0001,200,12.6582
0.0563,0.0000,0.0000,0.0001,0.0561,0.0002,200,12.7172
0.0756,0.0000,0.0000,0.0001,0.0752,0.0001,200,12.7736
0.0685,0.0000,0.0000,0.0001,0.0683,0.0001,200,12.8491
0.0727,0.0000,0.0000,0.0001,0.0724,0.0002,200,12.9176
0.0467,0.0000,0.0000,0.0001,0.0464,0.0001,200,12.9904
0.0687,0.0000,0.0000,0.0000,0.0685,0.0001,200,13.0370
0.0564,0.0000,0.0000,0.0000,0.0563,0.0001,200,13.1057
0.0351,0.0000,0.0000,0.0000,0.0349,0.0001,200,13.1621
0.0444,0.0000,0.0000,0.0001,0.0442,0.0001,200,13.1972
0.0523,0.0000,0.0000,0.0001,0.0521,0.0001,200,13.2417
0.0655,0.0000,0.0000,0.0000,0.0653,0.0001,200,13.2940
0.0681,0.0000,0.0000,0.0000,0.0678,0.0001,200,13.3595
0.0426,0.0000,0.0000,0.0001,0.0424,0.0001,200,13.4275
0.0453,0.0000,0.0000,0.0000,0.0452,0.0001,200,13.4702
0.0302,0.0000,0.0000,0.0001,0.0300,0.0001,200,13.5155
0.0634,0.0000,0.0000,0.0000,0.0632,0.0001,200,13.5457
0.0458,0.0000,0.0000,0.0000,0.0455,0.0001,200,13.6091
0.0589,0.0000,0.0000,0.0000,0.0587,0.0001,200,13.6549
0.0545,0.0000,0.0000,0.0000,0.0542,0.0001,200,13.7138
0.0488,0.0000,0.0000,0.0000,0.0486,0.0001,200,13.7682
0.0645,0.0000,0.0000,0.0000,0.0643,0.0001,200,13.8170
0.0668,0.0000,0.0000,0.0000,0.0667,0.0001,200,13.8815
0.0458,0.0000,0.0000,0.0001,0.0456,0.0001,200,13.9483
0.0618,0.0000,0.0000,0.0000,0.0616,0.0001,200,13.9941
0.0576,0.0000,0.0000,0.0000,0.0575,0.0001,200,14.0559
0.0498,0.0000,0.0000,0.0000,0.0496,0.0001,200,14.1135
0.0471,0.0000,0.0000,0.0000,0.0468,0.0002,200,14.1633
0.0536,0.0000,0.0000,0.0000,0.0534,0.0001,200,14.2104
0.0416,0.0000,0.0000,0.0001,0.0414,0.0001,200,14.2640
0.0379,0.0000,0.0000,0.0000,0.0377,0.0001,200,14.3056
0.0463,0.0000,0.0000,0.0001,0.0461,0.0001,200,14.3435
0.0364,0.0000,0.0000,0.0000,0.0361,0.0002,200,14.3898
0.0615,0.0000,0.0000,0.0001,0.0613,0.0001,200,14.4262
0.0638,0.0000,0.0000,0.0000,0.0636,0.0001,200,14.4877
0.0774,0.0000,0.0000,0.0000,0.0771,0.0001,200,14.5515
0.0568,0.0000,0.0000,0.0000,0.0567,0.0001,200,14.6289
0.0515,0.0000,0.0000,0.0001,0.0513,0.0001,200,14.6857
0.0619,0.0000,0.0000,0.0001,0.0617,0.0001,200,14.7372
0.0426,0.0000,0.0000,0.0000,0.0425,0.0001,200,14.7992
0.0453,0.0000,0.0000,0.0000,0.0451,0.0001,200,14.8417
0.0576,0.0000,0.0000,0.0001,0.0574,0.0001,200,14.8870
0.0422,0.0000,0.0000,0.0000,0.0420,0.0001,200,14.9446
0.0520,0.0000,0.0000,0.0001,0.0518,0.0001,200,14.9868
0.0396,0.0000,0.0000,0.0000,0.0395,0.0001,200,15.0388
0.0460,0.0000,0.0000,0.0000,0.0459,0.0001,200,15.0784
0.0721,0.0000,0.0000,0.0001,0.0719,0.0001,200,15.1245
0.0398,0.0000,0.0000,0.0000,0.0396,0.0001,200,15.1966
0.0656,0.0000,0.0000,0.0000,0.0654,0.0001,200,15.2364
0.0514,0.0000,0.0000,0.0000,0.0511,0.0001,200,15.3020
0.0463,0.0000,0.0000,0.0000,0.0461,0.0002,200,15.3534
0.0413,0.0000,0.0000,0.0001,0.0411,0.0001,200,15.3997
0.0766,0.0000,0.0000,0.0001,0.0763,0.0001,200,15.4410
0.0686,0.0000,0.0000,0.0000,0.0684,0.0001,200,15.5175
0.0328,0.0000,0.0000,0.0000,0.0326,0.0001,200,15.5862
0.0649,0.0000,0.0000,0.0001,0.0647,0.0002,200,15.6190
0.0568,0.0000,0.0000,0.0001,0.0565,0.0002,200,15.6839
0.0435,0.0000,0.0000,0.0001,0.0432,0.0001,200,15.7407
0.0442,0.0000,0.0000,0.0000,0.0441,0.0001,200,15.7842
