response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1042,0.0995,0.0990,0.0002,0.0042,0.0002,200,0.0038
0.0039,0.0000,0.0000,0.0000,0.0036,0.0002,200,0.1081
0.0021,0.0000,0.0000,0.0000,0.0020,0.0000,200,0.1120
0.0018,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.1140
0.0016,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.1158
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.1174
0.0016,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.1191
0.0020,0.0000,0.0000,0.0000,0.0019,0.0000,200,0.1207
0.0019,0.0000,0.0000,0.0000,0.0019,0.0000,200,0.1227
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.1246
0.0018,0.0000,0.0000,0.0000,0.0018,0.0000,200,0.1263
0.0015,0.0000,0.0000,0.0000,0.0014,0.0000,200,0.1281
0.0015,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.1296
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.1312
0.0016,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.1328
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.1345
0.0017,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.1362
0.0017,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.1379
0.0018,0.0000,0.0000,0.0000,0.0018,0.0000,200,0.1396
0.0016,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.1414
0.0017,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.1430
0.0016,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.1447
0.0016,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.1463
0.0019,0.0000,0.0000,0.0000,0.0018,0.0000,200,0.1479
0.0019,0.0000,0.0000,0.0000,0.0018,0.0000,200,0.1498
0.0018,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.1517
0.0020,0.0000,0.0000,0.0000,0.0019,0.0001,200,0.1535
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.1555
0.0020,0.0000,0.0000,0.0000,0.0020,0.0000,200,0.1571
0.0016,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.1592
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.1608
0.0017,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.1625
0.0019,0.0000,0.0000,0.0000,0.0019,0.0000,200,0.1642
0.0017,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.1661
0.0018,0.0000,0.0000,0.0000,0.0018,0.0000,200,0.1679
0.0016,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.1697
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.1713
0.0017,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.1730
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.1747
0.0019,0.0000,0.0000,0.0000,0.0018,0.0000,200,0.1764
0.0018,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.1783
0.0018,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.1801
0.0018,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.1819
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.1836
0.0017,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.1853
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.1870
0.0031,0.0000,0.0000,0.0000,0.0030,0.0001,200,0.1887
0.0027,0.0000,0.0000,0.0000,0.0026,0.0000,200,0.1918
0.0021,0.0000,0.0000,0.0000,0.0020,0.0000,200,0.1945
0.0018,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.1966
0.0019,0.0000,0.0000,0.0000,0.0018,0.0001,200,0.1984
0.0036,0.0000,0.0000,0.0000,0.0035,0.0000,200,0.2003
0.0031,0.0000,0.0000,0.0000,0.0030,0.0000,200,0.2039
0.0018,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.2070
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.2088
