response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0816,0.0770,0.0764,0.0001,0.0036,0.0002,200,0.0079
0.0026,0.0000,0.0000,0.0001,0.0024,0.0001,200,0.0895
0.0023,0.0000,0.0000,0.0000,0.0022,0.0001,200,0.0921
0.0019,0.0000,0.0000,0.0000,0.0018,0.0000,200,0.0944
0.0017,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.0963
0.0018,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.0980
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.0998
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.1015
0.0018,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.1032
0.0017,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.1050
0.0017,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.1067
0.0020,0.0000,0.0000,0.0000,0.0019,0.0000,200,0.1084
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.1104
0.0016,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.1122
0.0024,0.0000,0.0000,0.0000,0.0023,0.0000,200,0.1138
0.0018,0.0000,0.0000,0.0000,0.0018,0.0000,200,0.1161
0.0015,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.1180
0.0016,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.1195
0.0018,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.1212
0.0016,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.1229
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.1246
0.0016,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.1262
0.0016,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.1278
0.0016,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.1294
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.1310
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.1327
0.0016,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.1344
0.0018,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.1360
0.0018,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.1378
0.0016,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.1396
0.0017,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.1412
0.0016,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.1429
0.0017,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.1445
0.0019,0.0000,0.0000,0.0000,0.0018,0.0000,200,0.1463
0.0018,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.1482
0.0019,0.0000,0.0000,0.0000,0.0018,0.0000,200,0.1500
0.0020,0.0000,0.0000,0.0000,0.0019,0.0000,200,0.1519
0.0022,0.0000,0.0000,0.0000,0.0022,0.0000,200,0.1539
0.0027,0.0000,0.0000,0.0000,0.0026,0.0000,200,0.1562
0.0020,0.0000,0.0000,0.0000,0.0019,0.0000,200,0.1589
0.0027,0.0000,0.0000,0.0000,0.0026,0.0000,200,0.1608
0.0036,0.0000,0.0000,0.0000,0.0035,0.0001,200,0.1636
0.0016,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.1671
0.0017,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.1688
0.0030,0.0000,0.0000,0.0000,0.0030,0.0000,200,0.1705
0.0033,0.0000,0.0000,0.0000,0.0032,0.0000,200,0.1735
0.0025,0.0000,0.0000,0.0000,0.0025,0.0000,200,0.1768
0.0022,0.0000,0.0000,0.0000,0.0022,0.0000,200,0.1794
0.0023,0.0000,0.0000,0.0000,0.0022,0.0000,200,0.1816
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.1839
0.0020,0.0000,0.0000,0.0000,0.0019,0.0000,200,0.1856
0.0033,0.0000,0.0000,0.0000,0.0032,0.0000,200,0.1876
0.0036,0.0000,0.0000,0.0000,0.0034,0.0001,200,0.1909
0.0025,0.0000,0.0000,0.0000,0.0024,0.0000,200,0.1945
0.0023,0.0000,0.0000,0.0000,0.0023,0.0000,200,0.1970
0.0026,0.0000,0.0000,0.0000,0.0024,0.0000,200,0.1993
0.0023,0.0000,0.0000,0.0000,0.0022,0.0000,200,0.2019
0.0027,0.0000,0.0000,0.0000,0.0026,0.0001,200,0.2042
0.0043,0.0000,0.0000,0.0000,0.0042,0.0001,200,0.2069
0.0027,0.0000,0.0000,0.0000,0.0026,0.0001,200,0.2112
0.0025,0.0000,0.0000,0.0000,0.0023,0.0001,200,0.2139
0.0089,0.0000,0.0000,0.0000,0.0088,0.0001,200,0.2163
0.0032,0.0000,0.0000,0.0000,0.0030,0.0001,200,0.2252
0.0029,0.0000,0.0000,0.0000,0.0028,0.0001,200,0.2284
0.0025,0.0000,0.0000,0.0000,0.0024,0.0001,200,0.2313
0.0143,0.0000,0.0000,0.0000,0.0142,0.0001,200,0.2338
0.0034,0.0000,0.0000,0.0000,0.0033,0.0001,200,0.2481
0.0028,0.0000,0.0000,0.0000,0.0027,0.0001,200,0.2515
0.0025,0.0000,0.0000,0.0000,0.0024,0.0000,200,0.2543
0.0030,0.0000,0.0000,0.0000,0.0029,0.0000,200,0.2568
0.0029,0.0000,0.0000,0.0000,0.0028,0.0000,200,0.2598
0.0033,0.0000,0.0000,0.0000,0.0032,0.0000,200,0.2627
0.0024,0.0000,0.0000,0.0000,0.0023,0.0000,200,0.2660
0.0025,0.0000,0.0000,0.0000,0.0024,0.0000,200,0.2684
0.0029,0.0000,0.0000,0.0000,0.0028,0.0000,200,0.2708
0.0028,0.0000,0.0000,0.0000,0.0027,0.0000,200,0.2737
0.0027,0.0000,0.0000,0.0000,0.0026,0.0000,200,0.2765
0.0020,0.0000,0.0000,0.0000,0.0019,0.0001,200,0.2792
0.0024,0.0000,0.0000,0.0000,0.0023,0.0001,200,0.2811
