response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1875,0.1500,0.1148,0.0000,0.0373,0.0001,200,0.0078
0.1901,0.1513,0.1145,0.0000,0.0361,0.0001,200,0.0058
0.1903,0.1470,0.1146,0.0001,0.0407,0.0000,200,0.0058
0.1927,0.1478,0.1148,0.0000,0.0448,0.0001,200,0.0078
0.1926,0.1509,0.1125,0.0000,0.0415,0.0000,200,0.0097
0.1973,0.1671,0.1125,0.0000,0.0301,0.0001,200,0.0104
0.2017,0.1515,0.1147,0.0000,0.0486,0.0000,200,0.0069
0.2014,0.1522,0.1148,0.0000,0.0491,0.0000,200,0.0077
0.2009,0.1468,0.1125,0.0000,0.0541,0.0001,200,0.0096
0.2017,0.1382,0.1125,0.0001,0.0633,0.0001,200,0.0105
0.2026,0.1517,0.1125,0.0001,0.0508,0.0000,200,0.0100
0.2038,0.1564,0.1125,0.0001,0.0472,0.0000,200,0.0102
0.2064,0.1636,0.1147,0.0000,0.0426,0.0000,200,0.0084
0.2076,0.1625,0.1107,0.0000,0.0421,0.0000,200,0.0075
0.2070,0.1481,0.1125,0.0001,0.0587,0.0001,200,0.0103
0.2086,0.1554,0.1125,0.0000,0.0531,0.0000,200,0.0101
0.2137,0.1692,0.1148,0.0002,0.0424,0.0000,200,0.0058
0.2150,0.1684,0.1147,0.0001,0.0439,0.0000,200,0.0059
0.2141,0.1667,0.1299,0.0001,0.0457,0.0000,200,0.0069
0.2124,0.1601,0.1125,0.0000,0.0521,0.0000,200,0.0100
0.2179,0.1630,0.1174,0.0000,0.0546,0.0000,200,0.0046
0.2130,0.1502,0.1125,0.0000,0.0627,0.0000,200,0.0097
0.2142,0.1709,0.1300,0.0000,0.0432,0.0000,200,0.0086
0.2126,0.1478,0.1125,0.0001,0.0647,0.0000,200,0.0106
0.2145,0.1648,0.1297,0.0000,0.0496,0.0000,200,0.0089
0.2162,0.1629,0.1148,0.0000,0.0532,0.0000,200,0.0076
0.2162,0.1473,0.1146,0.0001,0.0687,0.0000,200,0.0079
0.2165,0.1700,0.1147,0.0000,0.0465,0.0000,200,0.0085
0.2150,0.1627,0.1125,0.0001,0.0521,0.0000,200,0.0102
0.2144,0.1679,0.1271,0.0001,0.0464,0.0000,200,0.0111
0.2158,0.1640,0.1125,0.0000,0.0517,0.0000,200,0.0103
0.2189,0.1613,0.1148,0.0000,0.0576,0.0000,200,0.0078
0.2181,0.1457,0.1125,0.0000,0.0723,0.0000,200,0.0101
0.2182,0.1640,0.1125,0.0000,0.0542,0.0000,200,0.0102
0.2181,0.1695,0.1125,0.0001,0.0484,0.0000,200,0.0103
0.2187,0.1621,0.1125,0.0001,0.0564,0.0001,200,0.0098
0.2176,0.1712,0.1271,0.0001,0.0463,0.0000,200,0.0111
0.2219,0.1557,0.1147,0.0000,0.0645,0.0000,200,0.0069
0.2184,0.1660,0.1272,0.0000,0.0523,0.0000,200,0.0109
0.2193,0.1594,0.1125,0.0001,0.0597,0.0000,200,0.0106
0.2195,0.1703,0.1125,0.0000,0.0491,0.0000,200,0.0106
0.2213,0.1684,0.1125,0.0001,0.0528,0.0000,200,0.0098
0.2206,0.1705,0.1125,0.0001,0.0500,0.0000,200,0.0105
0.2223,0.1664,0.1147,0.0000,0.0559,0.0000,200,0.0089
0.2218,0.1688,0.1125,0.0001,0.0528,0.0000,200,0.0096
0.2225,0.1554,0.1125,0.0000,0.0671,0.0000,200,0.0097
0.2245,0.1754,0.1145,0.0001,0.0489,0.0000,200,0.0083
0.2273,0.0000,0.1146,0.0000,0.0375,0.0000,200,0.0059
0.2253,0.1650,0.1147,0.0000,0.0602,0.0001,200,0.0084
0.2258,0.1625,0.1146,0.0000,0.0632,0.0000,200,0.0083
0.2245,0.1636,0.1125,0.0000,0.0609,0.0000,200,0.0104
0.2247,0.1703,0.1126,0.0000,0.0543,0.0000,200,0.0107
0.2306,0.1688,0.1173,0.0001,0.0615,0.0001,200,0.0048
0.2271,0.1755,0.1146,0.0000,0.0515,0.0000,200,0.0083
0.2282,0.1795,0.1288,0.0001,0.0465,0.0000,200,0.0074
0.2305,0.1765,0.1147,0.0000,0.0539,0.0000,200,0.0077
0.2271,0.1692,0.1272,0.0000,0.0579,0.0000,200,0.0113
0.2307,0.1755,0.1148,0.0000,0.0552,0.0000,200,0.0079
0.2306,0.1811,0.1287,0.0001,0.0494,0.0000,200,0.0094
0.2314,0.1679,0.1125,0.0000,0.0634,0.0000,200,0.0099
0.2311,0.1767,0.1125,0.0000,0.0543,0.0000,200,0.0104
