response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.2163,0.1382,0.1083,0.0001,0.0778,0.0001,200,0.0281
0.2150,0.1403,0.1094,0.0001,0.0745,0.0001,200,0.0322
0.2356,0.1428,0.1094,0.0000,0.0927,0.0001,200,0.0321
0.2367,0.1393,0.1094,0.0001,0.0973,0.0000,200,0.0321
0.2422,0.1534,0.1097,0.0001,0.0887,0.0000,200,0.0310
0.2419,0.1413,0.1083,0.0000,0.1005,0.0000,200,0.0323
0.2421,0.1569,0.1080,0.0000,0.0850,0.0000,200,0.0338
0.2457,0.1497,0.1081,0.0001,0.0958,0.0000,200,0.0338
0.2520,0.1663,0.1141,0.0000,0.0857,0.0000,200,0.0277
0.2471,0.1616,0.1081,0.0000,0.0853,0.0000,200,0.0326
0.2537,0.1475,0.1137,0.0001,0.1059,0.0000,200,0.0273
0.2498,0.1494,0.1084,0.0000,0.1003,0.0000,200,0.0324
0.2517,0.1622,0.1097,0.0001,0.0894,0.0000,200,0.0314
0.2549,0.1727,0.1322,0.0000,0.0821,0.0000,200,0.0284
0.2510,0.1648,0.1082,0.0001,0.0861,0.0000,200,0.0336
0.2545,0.1565,0.1302,0.0001,0.0978,0.0000,200,0.0302
0.2539,0.1578,0.1097,0.0000,0.0960,0.0000,200,0.0309
0.2561,0.1650,0.1097,0.0001,0.0910,0.0000,200,0.0310
0.2566,0.1673,0.1097,0.0000,0.0892,0.0000,200,0.0311
0.2628,0.1661,0.1134,0.0000,0.0964,0.0000,200,0.0270
0.2625,0.1597,0.1138,0.0000,0.1027,0.0000,200,0.0274
0.2587,0.1410,0.1098,0.0000,0.1176,0.0000,200,0.0313
0.2631,0.1521,0.1135,0.0000,0.1108,0.0000,200,0.0272
0.2617,0.1358,0.1097,0.0001,0.1258,0.0000,200,0.0311
0.2640,0.1705,0.1313,0.0000,0.0934,0.0000,200,0.0293
0.2673,0.1647,0.1138,0.0000,0.1025,0.0000,200,0.0275
0.2634,0.1452,0.1094,0.0000,0.1181,0.0000,200,0.0318
0.2640,0.1577,0.1082,0.0000,0.1062,0.0000,200,0.0323
0.2671,0.1587,0.1309,0.0001,0.1083,0.0000,200,0.0300
0.2647,0.1390,0.1084,0.0000,0.1256,0.0000,200,0.0326
0.2669,0.1725,0.1097,0.0001,0.0941,0.0001,200,0.0309
0.2654,0.1513,0.1084,0.0000,0.1139,0.0001,200,0.0325
0.2704,0.1715,0.1316,0.0000,0.0983,0.0000,200,0.0287
0.2668,0.1726,0.1084,0.0001,0.0941,0.0000,200,0.0325
0.2682,0.1528,0.1097,0.0000,0.1153,0.0000,200,0.0312
0.2674,0.1758,0.1094,0.0001,0.0914,0.0000,200,0.0322
0.2676,0.1562,0.1094,0.0001,0.1113,0.0001,200,0.0321
0.2703,0.1704,0.1309,0.0001,0.0998,0.0000,200,0.0299
0.2693,0.1576,0.1096,0.0000,0.1116,0.0000,200,0.0316
0.2710,0.1563,0.1098,0.0000,0.1146,0.0000,200,0.0310
0.2728,0.1758,0.1313,0.0000,0.0968,0.0000,200,0.0294
0.2723,0.1717,0.1301,0.0000,0.1006,0.0000,200,0.0302
0.2730,0.1589,0.1299,0.0001,0.1140,0.0001,200,0.0305
0.2711,0.1551,0.1085,0.0000,0.1158,0.0000,200,0.0326
0.2727,0.1629,0.1098,0.0000,0.1097,0.0000,200,0.0313
0.2740,0.1670,0.1304,0.0001,0.1069,0.0000,200,0.0304
0.2741,0.1613,0.1095,0.0001,0.1127,0.0000,200,0.0308
0.2773,0.1810,0.1081,0.0001,0.0961,0.0000,200,0.0279
0.2779,0.1610,0.1140,0.0000,0.1168,0.0001,200,0.0276
0.2744,0.1346,0.1098,0.0001,0.1394,0.0000,200,0.0312
0.2737,0.1524,0.1094,0.0001,0.1211,0.0000,200,0.0320
0.2727,0.1573,0.1081,0.0000,0.1153,0.0000,200,0.0339
0.2786,0.1682,0.1082,0.0007,0.1096,0.0000,200,0.0281
0.2772,0.1565,0.1094,0.0000,0.1200,0.0000,200,0.0314
0.2792,0.1815,0.1309,0.0001,0.0973,0.0000,200,0.0295
0.2768,0.1596,0.1081,0.0001,0.1170,0.0000,200,0.0323
0.2810,0.1833,0.1322,0.0000,0.0976,0.0000,200,0.0285
0.2764,0.1658,0.1081,0.0000,0.1106,0.0000,200,0.0332
0.2826,0.1705,0.1136,0.0000,0.1119,0.0000,200,0.0272
0.2796,0.1398,0.1079,0.0002,0.1395,0.0001,200,0.0338
0.2832,0.1678,0.1303,0.0000,0.1153,0.0000,200,0.0304
0.2837,0.1840,0.1298,0.0000,0.0996,0.0000,200,0.0307
0.2850,0.1673,0.1298,0.0000,0.1176,0.0000,200,0.0305
0.2851,0.1628,0.1298,0.0001,0.1221,0.0001,200,0.0305
0.2848,0.1694,0.1097,0.0000,0.1153,0.0000,200,0.0309
0.2825,0.1641,0.1083,0.0001,0.1182,0.0000,200,0.0337
0.2878,0.1823,0.1322,0.0001,0.1053,0.0000,200,0.0286
0.2891,0.1686,0.1137,0.0001,0.1205,0.0000,200,0.0274
0.2899,0.1582,0.1064,0.0000,0.1313,0.0001,200,0.0278
0.2875,0.1939,0.1304,0.0001,0.0935,0.0000,200,0.0304
0.2881,0.1812,0.1309,0.0000,0.1068,0.0000,200,0.0300
0.2849,0.1596,0.1081,0.0000,0.1251,0.0001,200,0.0333
0.2907,0.1800,0.1322,0.0003,0.1104,0.0000,200,0.0279
0.2894,0.1763,0.1083,0.0000,0.1131,0.0000,200,0.0324
0.2882,0.1588,0.1080,0.0000,0.1292,0.0000,200,0.0337
0.2902,0.1765,0.1095,0.0000,0.1137,0.0000,200,0.0317
0.2935,0.1796,0.1323,0.0001,0.1138,0.0000,200,0.0284
0.2935,0.1877,0.1322,0.0001,0.1057,0.0000,200,0.0286
0.2919,0.1770,0.1298,0.0001,0.1147,0.0000,200,0.0307
0.2928,0.1814,0.1301,0.0000,0.1113,0.0000,200,0.0302
0.2963,0.1977,0.1320,0.0001,0.0983,0.0000,200,0.0282
0.2950,0.1772,0.1308,0.0001,0.1177,0.0000,200,0.0301
0.2970,0.1770,0.1322,0.0000,0.1198,0.0000,200,0.0282
0.2976,0.1784,0.1141,0.0000,0.1190,0.0000,200,0.0277
0.3002,0.1646,0.1081,0.0001,0.1355,0.0000,200,0.0280
0.3039,0.1841,0.1140,0.0002,0.1196,0.0000,200,0.0274
0.3032,0.1764,0.1312,0.0001,0.1253,0.0000,200,0.0283
0.2997,0.1534,0.1094,0.0000,0.1462,0.0000,200,0.0320
0.3014,0.1853,0.1298,0.0003,0.1157,0.0000,200,0.0308
0.3024,0.2037,0.1298,0.0001,0.0986,0.0000,200,0.0308
0.3056,0.1774,0.1322,0.0000,0.1281,0.0000,200,0.0285
0.3059,0.1952,0.1303,0.0000,0.1105,0.0001,200,0.0303
0.0568,0.0000,0.0000,0.0000,0.0568,0.0000,200,0.2797
0.3032,0.1721,0.1083,0.0001,0.1307,0.0000,200,0.0333
0.3067,0.1806,0.1298,0.0000,0.1260,0.0000,200,0.0306
0.0906,0.0000,0.0000,0.0000,0.0904,0.0000,200,0.2472
0.3095,0.1768,0.1322,0.0001,0.1326,0.0000,200,0.0283
0.3110,0.2044,0.1298,0.0001,0.1065,0.0000,200,0.0306
0.3119,0.1818,0.1085,0.0000,0.1300,0.0000,200,0.0325
0.0722,0.0000,0.0000,0.0000,0.0721,0.0000,200,0.2758
0.1059,0.0000,0.0000,0.0000,0.1058,0.0000,200,0.2444
0.0865,0.0000,0.0000,0.0000,0.0863,0.0000,200,0.2688
0.3282,0.1920,0.1142,0.0000,0.1360,0.0000,200,0.0278
0.3270,0.1972,0.1302,0.0001,0.1297,0.0000,200,0.0303
0.3273,0.1881,0.1303,0.0000,0.1391,0.0000,200,0.0304
0.0759,0.0000,0.0000,0.0000,0.0759,0.0000,200,0.2833
0.0971,0.0000,0.0000,0.0000,0.0970,0.0000,200,0.2742
0.0909,0.0000,0.0000,0.0000,0.0908,0.0000,200,0.2832
0.0912,0.0000,0.0000,0.0000,0.0911,0.0000,200,0.2846
0.0707,0.0000,0.0000,0.0000,0.0706,0.0000,200,0.3055
0.0842,0.0000,0.0000,0.0000,0.0842,0.0000,200,0.2952
0.1136,0.0000,0.0000,0.0000,0.1135,0.0000,200,0.2678
0.0912,0.0000,0.0000,0.0000,0.0912,0.0000,200,0.2903
0.0792,0.0000,0.0000,0.0000,0.0791,0.0000,200,0.3050
0.0773,0.0000,0.0000,0.0000,0.0772,0.0000,200,0.3086
0.0970,0.0000,0.0000,0.0000,0.0969,0.0000,200,0.2899
0.1146,0.0000,0.0000,0.0000,0.1146,0.0000,200,0.2732
0.0769,0.0000,0.0000,0.0000,0.0768,0.0000,200,0.3135
0.0920,0.0000,0.0000,0.0000,0.0919,0.0001,200,0.2993
0.0681,0.0000,0.0000,0.0000,0.0680,0.0001,200,0.3251
0.0962,0.0000,0.0000,0.0000,0.0962,0.0000,200,0.2972
0.0975,0.0000,0.0000,0.0000,0.0974,0.0000,200,0.2978
0.1016,0.0000,0.0000,0.0000,0.1015,0.0000,200,0.2949
0.0875,0.0000,0.0000,0.0000,0.0875,0.0000,200,0.3098
0.1111,0.0000,0.0000,0.0000,0.1110,0.0000,200,0.2871
0.1161,0.0000,0.0000,0.0000,0.1160,0.0001,200,0.2822
0.1097,0.0000,0.0000,0.0000,0.1096,0.0000,200,0.2900
0.1074,0.0000,0.0000,0.0000,0.1074,0.0000,200,0.2929
0.1221,0.0000,0.0000,0.0000,0.1221,0.0000,200,0.2796
0.1090,0.0000,0.0000,0.0000,0.1089,0.0000,200,0.2933
0.0704,0.0000,0.0000,0.0000,0.0703,0.0000,200,0.3332
